Idiom,Meaning,Example
"In for a penny, in for a pound",That someone is intentionally investing his time or money for a particular project or task.,"When Athlead was booming, Jim was in for a penny and in for a pound, that’s how dedicated he was."
A bird in the hand is better than two in the bush,"An opportunity in hand, currently, is better than a prospect in the future, because time never repeats itself.","The detective apprehended 3 criminals and saw another one running but didn’t chase him, because she knew a bird in one hand was better than two in the bush."
Chip off the old block,A person is similar in behaviour or actions to his parents.,"When grandmother saw her grandson collecting coins like her son used to do, she knew he was a Chip off the old block."
Do unto others as you would have them do unto you,Treat people the same way you want to be treated.,"I felt Peter was a little cold today towards that homeless man, he should do unto others as he would have them do unto him, because who knows about time."
Don’t cry over spilt milk,Don’t cry over what has happened as it can not be fixed.,"Walter failed his examination but his dad came and said just one thing, “Son, Don’t cry over spilt milk.”"
Every cloud has a silver lining,Bad things one day eventually lead to good things.,"See, yesterday you were so morose as your phone was stolen but look at you today, you got a promotion. Is it rightly said that every cloud has a silver lining?"
Beside yourself with joy,To be extremely happy.,"I can see that you are beside yourself with joy on being selected for the job, congratulations."
Fair and square,Being direct or fair.,"To tell you fair and square, I did everything that I was meant to do, but I still feel unfulfilled."
Having an Ace up the sleeve,Have an advantage that is currently being withheld for future purposes.,"Brian kept quiet at the board meeting, who knew he had an Ace hidden up his sleeve the whole time?"
A black sheep,Being a disgrace to the family.,"They don’t talk about Olive anymore, turns out he was the Black sheep for the family, and he married someone else while he was still married to his fiancé."
"Hook, line and sinker",Doing something or trying to achieve something with thoroughness and passion.,"I have set my mind to go through the spreadsheets by Monday and I am working for it Hook, line and sinker."
Looking to your laurels,Do not be lost in your achievements and lose sight of what is supposed to happen.,Look on your laurels but do not rest on them.
Bear a grudge,To continue to feel angry or unfriendly toward someone or something because of a particular past incident.,I Bear a grudge against him for not taking me into confidence.
By the skin of your teeth,To just barely get by or make it.,"Lester made the dance team By the skin of his teeth, you see the audition gates were about to get closed."
Down for the count,Tired; giving up.,My pet dog is down for the count after playing the whole day with the frisbee.
Draw the line,To stop before a point where something okay gets not okay.,"Hey buddy, that’s enough, Draw the line before someone comes and beats you to a pulp."
Easier said than done,Not as easy as it appears to be.,"Listen, losing weight is easier said than done, many people lack commitment."
Break a leg,Saying good luck to someone.,"Hey Barry, it’s time for you to get on the stage and present your monologue, break a leg."
Up a creek without a paddle,In an unlucky situation.,"Dan tried to dine and dash yesterday at a Chinese place but he was stopped by the waiters, guess he was up a creek without a paddle yesterday."
Give it a whirl,To give something a try.,"I am terrified of skydiving, but I think once in my life, I will give it a whirl."
Fish out of water,To be out of your comfort zone.,Tom felt like a fish out of water when his girlfriend took him to a Star Wars convention in LA.
In the fast lane,A life filled with excitement.,"When Chris turned forty, he decided to live his life in the fast lane and quit his job for his hobbies."
Go the extra mile,To make an extra effort.,"He was willing to go the extra mile for the love of his life, Mia."
Snug as a bug in a rug,Warm and cosy.,The baby looks as snug as a bug in a rug next to her mother.
Step up your game,To start performing better,Jennifer better step up her game if she wants to make big in Basketball.
To not see the wood for the trees,To be so involved in trivial matters that you don’t get the important facts.,"He always argues on the silliest topics, it’s like he can’t see wood for the trees."
Lose your marbles,To go insane.,"Our mailman has lost his marbles, every day he drops Mr. Smith’s mail on our door."
Straight from the Horse’s mouth,Directly from the person involved.,"Listen to the news straight from the horse’s mouth, his factory burned down right in front of his eyes."
