Idiom,Part_of_Speech,Meaning,Example
abs,n.,abdominal  muscles.,Nice abs. You been working out?
ace,n.,best;  top-notch; most competent person, 
ace,v.,do extremely  well on a test or exam.,I aced that exam.
acid,n.,lysergic acid  diethylamide.,Have you ever dropped acid?
acid head,n.,user of LSD.,He was an acid head in college but hasn't used since.
action,n.,excitement;  activity in general; share of winnings or booty; sexual activity, 
adult,adj.,sexually  explicit, 
AFAIK,abbr.,as far as I  know (computers and Web usage).,"AFAIK, it's not a problem."
AFK,abbr.,away from  keyboard, 
a-hole,n.,"asshole; a very  annoying, dumb person (usually used in reference to men)", 
air ball,n.,a throw in  basketball that entirely misses the net.,Air balls all the time. You can't  ever make a shot.
air boss,n.,head of the  flight deck on an aircraft carrier.,Ask the air boss what to do about it.
air rage,n.,"passenger on an  airplane, who is out of control", 
airhead,n.,dimwit; stupid  person (usually said of women).,"She's a total airhead, can't even spell her  own name."
all-nighter,n.,"an activity  that goes on all night long (e.g.: party, study session, test preparation).",She pulled an all-nighter to finish her term paper.
also-ran,n.,somebody or  something that performs poorly in a race or other competitio, 
ambo,n.,ambulance, 
Amped-out,adj.,fatigue after  using amphetamine, 
angel lust,n.,death erection;  male cadaver with an erection, 
angels,n.,altitude in  thousands of feet, 
anke biter,n.,child; kid, 
antifreeze,n.,"liquor, usually  strong", 
apeshit,adj.,excited;  upset.,He's apeshit about his new job.
apple,n.,"native American  person who adopts the lifestyle, attitudes, and such of White people", 
apples and oranges,idiom.,two things that cannot be compared.,It's apples  and oranges. You can't compare them.
appy,n.,appendicitis;  appendectomy, 
armpit,n.,"an undesirable  place or location, often a city or state..",New Jersey was once called the  armpit of America.
Army brat,n.,child in a  regular Army family, 
arse,n.,ass; rear end;  buttocks, 
as if,exclam.,a strong  expression of disbelief said in response to something that is false but the  speaker wishes were true.,Go on a date with him. As if!
ASL,abbr.,"age, sex,  and location (question posed in chat rooms online)", 
ass,n.,"a worthless,  descpicable perso", 
ass,n.,a person (used  in reference to the entire person).,Get your ass in here right now.
ass,n.,a woman as a  sexual object.,I gotta get me some ass.
ass,n.,buttocks;  rear-end.,She's got a great ass.
ass bandit,n.,male homosexual, 
ass wipe,n.,an annoying  person of little or no value, 
asshole,n.,an annoying  person of little or no value.,Don't be an asshole. Try being nice for once.
asshole,n.,the anus; the  opening at the rectum, 
ass-kisser,n.,someone who  flatters for personal gain; a toady.,"He is such an ass-kisser, always  complimenting our boss."
ass-licker,n.,someone who  flatters for personal gain; a toady, 
ate up,adj.,clueless;  stupid; incompetent; messed up, 
atomic wedgie,n.,the act of  pulling the underwear of a boy up from behind so that it creates discomfort  around the genitals in a particularly harsh manner, 
aural sex,n.,phone sex, 
Aussie,n.,Australian  person, 
awesome,adj.,great;  excellent, 
ax,n.,saxophone;  other horn or similar instrument, 
baby catcher,n.,obstetrician, 
back of beyond,n.,"remote,  isolated area (often far from even a small town)", 
backassed,adj.,backward;  poorly arranged or structured; awkward.,That was a backassed solution to the  problem.
back-ender,n.,automobile  collision in which one car strikes the back or another, 
backer,n.,investor;  financial supporter, 
bad,adj.,intense;  powerful; suitable; excellent, 
bad girl,n.,woman who  behaves dangerously or irresponsibly by normal social standards, 
bad guy,n.,man blamed or  held responsible for something, 
bad rap,n.,a false  criminal accusation or convictio, 
bad rap,n.,"a poor  reputation, usually not deserved.","She's got a bad rap as a bitch, but she's  actually nice."
bag,v.,capture; seize;  arrest.,The cops bagged another pimp last night.
bag,n.,"an ugly,  usually older woman", 
bag,v.,use a bag  breathing apparatus to get air into someone's lungs (standard phrase in  medicine), 
bag,n.,condom, 
bag man,n.,"person who  transports money; a person who supplies narcotics or other drugs, a pusher", 
bail,v.,abandon;  depart; leave.,I bailed on my calculus class because I was tired.
BAK,abbr.,back at  keyboard, 
baldie,n.,bald man (used  as a nickname at times), 
ball,n.,"a good time;  great fun (at a party, etc.).",We had a ball at that party last night.
ball,n.,testicle, 
ball,v.,have sexual  intercourse with someone, 
ball of wax,n.,"whole  situation; all factors, elements, or aspects of something", 
ballpark figure,n.,estimate;  approximate figure, 
balls,exclam.,Indicates  disbelief or rejectio, 
balls,n.,courage; guts;  daring-do (usually used to describe men), 
balls,n.,testicles, 
ballsy,adj.,aggressive.,Don't be so ballsy. People don't like it.
ballsy,adj.,daring;  courageous.,That was a ballsy maneuver. I'm surprised you tried it.
bamboozle,v.,deceive or  confuse someone, 
