Idiom,literal_translation,Meaning
"A buen hambre, no hay pan duro.",To good hunger there is no hard bread.,Beggars can’t be choosers.
estar como unasopa,to be like a soup,to be soaked to the bone
estar como un fideo,to be like a noodle,to be thin as a rail
estar como un queso,to be like a cheese,to be hot (sexually attractive)
no importar un pepino,to not give a cucumber,to not care at all
ponerse como un tomate,to turn into a tomato,to blush
ser del año de la pera,to be from the year of the pear,to be out of fashion
ser pan comido,to be eaten bread,to be a piece of cake
acostarse con las gallinas,to sleep with the chickens,to go to sleep early
"A perro flaco, todo son pulgas.","To a skinny dog, everything is fleas.",When it rains it pours.
dar gato por liebre,to give a cat instead of a hare,to take for a ride
estar en la edad del pavo,to be in the turkey’s age,to be at that difficult/awkward age
La curiosidad mató al gato.,Curiosity killed the cat.,Don’t try to find out about something that doesn’t concern you.
¿Se te ha comido la lengua elgato?,Has the cat eaten your tongue?,Cat got your tongue?
costar un ojo de la cara,to cost an eye from the face,to cost an arm and a leg
estar hasta las narices,to be up to the noses,to be fed up
hablar hasta por los codos,to talk even through your elbows,to talk up a storm
no pegar ojo,to not paste an eye,to not sleep a wink
no tener ni pies ni cabeza,to not have either feet or head,to make no sense
no tener pelos en la lengua,to not have hairs on the tongue,to be outspoken
quemarse las pestañas,to singe one’s eyelashes,to burn the midnight oil
ser uña y carne,to be nail and flesh,to be joined at the hip
tomar el pelo,to grab by the hair,to pull someone’s leg
no ahogarse en un vaso de agua,to not drown yourself in a glass of water,to not sweat the small stuff
"Al mal tiempo, buena cara.","To bad weather, good face.","When life gives you lemons, make lemonade."
buscarle tres pies al gato,to look for three feet on the cat,to make something more complicated than necessary
Camarón que se duerme se lo lleva la corriente.,A shrimp that falls asleep is taken away by the current.,Pay attention or the opportunities will pass you by.
consultar con la almohada,to consult the pillow,to sleep on it
"En casa del herrero, cuchillo de palo.","In the house of the blacksmith, knife of wood.","When you’re an expert in something, you don’t apply it to your own life."
"Cuando se cierra una puerta, se abre una ventana.","When a door closes, a window opens.","Where one door closes, another one opens."
Las palabras se las lleva el viento.,Words are taken by the wind.,Actions speak louder than words.
Más vale pájaro en mano que ciento volando.,One bird in the hand is more valuable than one hundred flying birds.,Focus on what you have instead of what you don’t have.
meterse en camisa de once varas,to get into a 30-foot-long shirt,to be out of your depth
Un clavo saca a otro clavo.,One nail pulls out another nail.,A new person will make you forget the old one.
"Zapatero, a tus zapatos.",Shoemaker to your shoes.,Focus on doing what you’re good at.
despedirse a la francesa,to say goodbye the French style,to leave without saying goodbye
"De tal palo, tal astilla.","As such the stick, such the splinter.",The apple doesn’t fall far from the tree.
Dios los cría y ellos se juntan.,God raises them and they come together.,Birds of a feather flock together.
dormirse en los laureles,to fall asleep in the laurels,to rest on your laurels
echar agua al mar,to throw water to the sea,to do something pointless
echarle leña al fuego,to add wood to the fire,to make matters worse
faltarle un tornillo,to be missing a screw,to have a screw loose
irse por las ramas,to go along the branches,to beat around the bush
subirse al carro,to get in the car,to jump on the bandwagon
ver todo color de rosa,to see everything in pink color,to see through rose-colored glasses
estar como unas castañuelas,to be like a pair of castanets,to be happy as a clam
estar de mala leche,to be of bad milk,to be in a bad mood
estar frito,to be fried,to be done for
estar hecho polvo,to have been turned into dust,to be exhausted
estar hecho un ají,to have become a chile,to be very angry
estar loco de contento,to be crazy with happiness,to be over the moon
estar de mala uva,to be bad grapes,to be in a bad mood
quedarse de piedra,to stay like a stone,to be shocked
Cada loco con su tema.,Each crazy with his theme.,To each their own.
dar en el clavo,to hit on the nail,to hit the nail on the head
llover a cántaros,to rain in pitchers,to rain cats and dogs
meter la pata,to put the paw,to mess up
matar dos pájaros de un tiro,to kill two birds with one shot,to kill two birds with one stone
perder los estribos,to lose the stirrup,to fly off the handle
tirar la casa por la ventana,to throw the house out the window,to spare no expense
