,Idiom,Meaning,literal_translation,Example,Translation_to_ENG_batch
0,"A buen hambre, no hay pan duro.",Beggars can’t be choosers.,To good hunger there is no hard bread., ,A good hunger no hard bread.
1,estar como unasopa,to be soaked to the bone,to be like a soup, ,be like a soup
2,estar como un fideo,to be thin as a rail,to be like a noodle, ,be like a noodle
3,estar como un queso,to be hot (sexually attractive),to be like a cheese, ,be like cheese
4,no importar un pepino,to not care at all,to not give a cucumber, ,not giving a damn
5,ponerse como un tomate,to blush,to turn into a tomato, ,turn like a tomato
6,ser del año de la pera,to be out of fashion,to be from the year of the pear, ,be from the year of the pear
7,ser pan comido,to be a piece of cake,to be eaten bread, ,be a cinch
8,acostarse con las gallinas,to go to sleep early,to sleep with the chickens, ,lie down with the chickens
9,"A perro flaco, todo son pulgas.",When it rains it pours.,"To a skinny dog, everything is fleas.", ,"To a skinny dog, everything is fleas."
10,dar gato por liebre,to take for a ride,to give a cat instead of a hare, ,take for a ride
11,estar en la edad del pavo,to be at that difficult/awkward age,to be in the turkey’s age, ,be at turkey age
12,La curiosidad mató al gato.,Don’t try to find out about something that doesn’t concern you.,Curiosity killed the cat., ,Curiosity killed the cat.
13,¿Se te ha comido la lengua elgato?,Cat got your tongue?,Has the cat eaten your tongue?, ,Has the cat got your tongue?
14,costar un ojo de la cara,to cost an arm and a leg,to cost an eye from the face, ,cost an arm and a leg
15,estar hasta las narices,to be fed up,to be up to the noses, ,be fed up
16,hablar hasta por los codos,to talk up a storm,to talk even through your elbows, ,To talk too much
17,no pegar ojo,to not sleep a wink,to not paste an eye, ,not sleep
18,no tener ni pies ni cabeza,to make no sense,to not have either feet or head, ,having neither head nor foot
19,no tener pelos en la lengua,to be outspoken,to not have hairs on the tongue, ,not mince words
20,quemarse las pestañas,to burn the midnight oil,to singe one’s eyelashes, ,Burn your eyelashes
21,ser uña y carne,to be joined at the hip,to be nail and flesh, ,be hand in glove
22,tomar el pelo,to pull someone’s leg,to grab by the hair, ,pull the wool over eyes
23,no ahogarse en un vaso de agua,to not sweat the small stuff,to not drown yourself in a glass of water, ,do not drown in a glass of water
24,"Al mal tiempo, buena cara.","When life gives you lemons, make lemonade.","To bad weather, good face.", ,"To bad weather, good face."
25,buscarle tres pies al gato,to make something more complicated than necessary,to look for three feet on the cat, ,look for three feet for the cat
26,Camarón que se duerme se lo lleva la corriente.,Pay attention or the opportunities will pass you by.,A shrimp that falls asleep is taken away by the current., ,"Shrimp that falls asleep, it carries current."
27,consultar con la almohada,to sleep on it,to consult the pillow, ,consult with the pillow
28,"En casa del herrero, cuchillo de palo.","When you’re an expert in something, you don’t apply it to your own life.","In the house of the blacksmith, knife of wood.", ,"In the blacksmith's house, a wooden knife."
29,"Cuando se cierra una puerta, se abre una ventana.","Where one door closes, another one opens.","When a door closes, a window opens.", ,"When a door closes, a window opens."
30,Las palabras se las lleva el viento.,Actions speak louder than words.,Words are taken by the wind., ,Do the words are gone with the wind.
31,Más vale pájaro en mano que ciento volando.,Focus on what you have instead of what you don’t have.,One bird in the hand is more valuable than one hundred flying birds., ,A bird in the hand is worth two in the bush.
32,meterse en camisa de once varas,to be out of your depth,to get into a 30-foot-long shirt, ,get into eleven rods shirt
33,Un clavo saca a otro clavo.,A new person will make you forget the old one.,One nail pulls out another nail., ,A nail drives out another nail.
34,"Zapatero, a tus zapatos.",Focus on doing what you’re good at.,Shoemaker to your shoes., ,"Shoemaker, to your shoes."
35,despedirse a la francesa,to leave without saying goodbye,to say goodbye the French style, ,say goodbye to the French
36,"De tal palo, tal astilla.",The apple doesn’t fall far from the tree.,"As such the stick, such the splinter.", ,Like father Like Son.
37,Dios los cría y ellos se juntan.,Birds of a feather flock together.,God raises them and they come together., ,Birds of a feather flock together.
38,dormirse en los laureles,to rest on your laurels,to fall asleep in the laurels, ,rest on one's laurels
39,echar agua al mar,to do something pointless,to throw water to the sea, ,pour water into the sea
40,echarle leña al fuego,to make matters worse,to add wood to the fire, ,add fuel to the fire
41,faltarle un tornillo,to have a screw loose,to be missing a screw, ,missing a screw
42,irse por las ramas,to beat around the bush,to go along the branches, ,beat around the bush
43,subirse al carro,to jump on the bandwagon,to get in the car, ,get in the car
44,ver todo color de rosa,to see through rose-colored glasses,to see everything in pink color, ,see everything pink
45,estar como unas castañuelas,to be happy as a clam,to be like a pair of castanets, ,be like castanets
46,estar de mala leche,to be in a bad mood,to be of bad milk, ,be in a bad mood
47,estar frito,to be done for,to be fried, ,be fried
48,estar hecho polvo,to be exhausted,to have been turned into dust, ,be buggered
49,estar hecho un ají,to be very angry,to have become a chile, ,be made into a chili
50,estar loco de contento,to be over the moon,to be crazy with happiness, ,be crazy happy
51,estar de mala uva,to be in a bad mood,to be bad grapes, ,be in a bad mood
52,quedarse de piedra,to be shocked,to stay like a stone, ,stay stone
53,Cada loco con su tema.,To each their own.,Each crazy with his theme., ,To each his own theme.
54,dar en el clavo,to hit the nail on the head,to hit on the nail, ,hit the nail on the head
55,llover a cántaros,to rain cats and dogs,to rain in pitchers, ,pour
56,meter la pata,to mess up,to put the paw, ,screw up
57,matar dos pájaros de un tiro,to kill two birds with one stone,to kill two birds with one shot, ,kill two birds with one shot
