Text_Chunks,Translation_to_SPA
"When that reality hit, it was like being dunked in ice water with a brick on top of your head.","Cuando esa realidad llegó, fue como si te sumergieran en agua helada con un ladrillo encima de la cabeza."
"It’s 2009 Alyssa Elliot is sitting at her desk at work, absolutely drowning in anxiety. The mortgage company has been calling and calling the debts and bills are piling up. And this isn’t like Alyssa, who has always done everything by the book. But that doesn’t matter to the debt collectors, the courts, even the people she’s confiding in, someone has to be held responsible. Even if that person only had the best intentions.","Es 2009, Alyssa Elliot está sentada en su escritorio en el trabajo, absolutamente ahogada en ansiedad. La compañía hipotecaria ha estado llamando y llamando porque las deudas y las facturas se están acumulando. Y esto no es propio de Alyssa, que siempre ha hecho todo según las reglas. Pero eso no les importa a los cobradores de deudas, a los tribunales, ni siquiera a las personas en las que ella confía: alguien tiene que ser considerado responsable. Incluso si esa persona sólo tuviera las mejores intenciones."
"You say things like I couldn’t have foreseen that this would happen, but like I really couldn’t. At the time I was in my early 20s I was young. I didn’t think that this would be what happens to me.","Dices cosas como si no hubiera podido prever que esto sucedería, pero realmente no podía. Cuando tenía poco más de 20 años, era joven. No pensé que esto sería lo que me pasaría."
"This is Last Day, a show about the moments that change us. I’m your host Stephanie Wittels Wachs. Today, the story of a decision that became $100,000 mistake, and how to make peace with that once you’re finally able to come up for air.","Este es Last Day, un programa sobre los momentos que nos cambian. Soy su anfitriona Stephanie Wittels Wachs. Hoy, la historia de una decisión que se convirtió en un error de 100.000 dólares y cómo hacer las paces con eso una vez que finalmente puedas salir a tomar aire."
"Alyssa grew up in Boise, Idaho with her mom, dad and sister and for all of you non Midwesterners,","Alyssa creció en Boise, Idaho con su mamá, su papá y su hermana y para todos ustedes que no son del Medio Oeste,"
That is with an S not a Z biggest pet peeve.,"Eso es con una S, no con una Z, lo que más le molesta."
"Alyssa is childhood in Boise with an S not a , Z, those were the good days, at least in hindsight.","Alyssa es la infancia en Boise con una S, no una Z, esos fueron los buenos días, al menos en retrospectiva."
"I had like what I think, or what I thought looking back was really great like early childhood, my parents were pretty cool and pretty creative. And my mom was one of those moms that everybody was jealous of and really loved. And that was like the coolest mom, she would, you know, bring treats to school and be really involved with like activities and crafts and fun stuff like that. And she was part of my girl scouts and you know, just the stuff that moms do when they’re really involved with their kids and it was off.","Me gustaba lo que pienso, o lo que pensaba mirando hacia atrás, que era realmente genial, como en la primera infancia, mis padres eran muy geniales y creativos. Y mi mamá era una de esas mamás de las que todo el mundo estaba celoso y realmente amaba. Y esa era como la mamá más genial, ella, ya sabes, traía golosinas a la escuela y se involucraba mucho en actividades similares, manualidades y cosas divertidas como esas. Y ella era parte de mis Girl Scouts y ya sabes, las cosas que hacen las mamás cuando están realmente involucradas con sus hijos y todo estaba mal."
She was like an early Pinterest mom before.,Antes era como una de las primeras mamás de Pinterest.
"I think she would have been a front runner in the contest click yeah, for sure. But yeah, like one year for my birthday, she forgot my presents. And we would always go camping for my birthday. And she panicked. We were camping two and a half hours from home in the mountains in north central Idaho. So she went to the gift shop at the little campground. And she found all these little tchotchkes and little Bitsy things, and she scavenged her way through the campground and begged of these random strangers to hide some of these presents admits their belongings. So I get to roam around the campground with these little clues. And then every different campsite I came to had a different tiny present that my mom had thought of and I was so excited by the action and the process of the thing that I didn’t even realize these are like ridiculous and stupid presents, like not things that I would have normally expected for a birthday. But it was like the magic of the thing that she had thought to conceive of in this weird circumstance was the best was so great. So that was kind of my mom in a nutshell was awesome.","Creo que ella habría sido una de las favoritas en el concurso, sí, seguro. Pero sí, como un año antes de mi cumpleaños, se olvidó de mis regalos. Y siempre íbamos a acampar para mi cumpleaños. Y ella entró en pánico. Estábamos acampando a dos horas y media de casa en las montañas del centro norte de Idaho. Entonces fue a la tienda de regalos del pequeño campamento. Y encontró todas estas pequeñas chucherías y pequeñas cosas de Bitsy, y se abrió camino por el campamento y les rogó a estos extraños al azar que escondieran algunos de estos regalos, admitiendo sus pertenencias. Entonces puedo deambular por el campamento con estas pequeñas pistas. Y luego, cada campamento al que vine tenía un pequeño regalo diferente que mi mamá había pensado y estaba tan emocionado por la acción y el proceso que ni siquiera me di cuenta de que eran regalos ridículos y estúpidos, como no cosas que normalmente hubiera esperado para un cumpleaños. Pero era como si la magia de lo que había pensado concebir en esta extraña circunstancia fuera lo mejor, fuera tan grandioso. Así que, en pocas palabras, mi mamá fue increíble."
"In many ways, Alissa’s childhood in Idaho was awesome, but it wasn’t carefree. Alyssa is the eldest daughter, and she’s a straight laced as they come. She was the kind of kid who only broke the rules when she wanted to read under the covers at night with a flashlight. And those are the kinds of kids who tend to catch on when the adults around them are having big, scary conversations. As a kid, did you talk about money? Did you talk about finances? Did you have any awareness of that?","En muchos sentidos, la infancia de Alissa en Idaho fue increíble, pero no sin preocupaciones. Alyssa es la hija mayor y es muy estricta. Ella era el tipo de niña que solo rompía las reglas cuando quería leer debajo de las sábanas por la noche con una linterna. Y ese es el tipo de niños que tienden a darse cuenta cuando los adultos que los rodean tienen conversaciones importantes y aterradoras. Cuando era niño, ¿hablaba de dinero? ¿Hablaste de finanzas? ¿Tenías alguna conciencia de eso?"
"Yeah, I think I had more awareness than I should have had. I had asthma when I was little. And in the 80s, pre ACA, pre existing conditions were exempt from coverage for your health care plan. And so my asthma was never covered. And that meant like a trip to the ER would be exorbitant. And a nebulizer was like, out of the question. Like, there’s no way we could afford it. And inhalers, you know, like 50-60 bucks a pop. And so I was constantly like, fearful of having an asthma attack and being, you know, a problem and I could overhear the conversations about like medical bills and you know, this doctor, this doctor or they want to send her to pulmonologist or an allergy and asthma doc, and we just can’t swing it and there’s no way and if I think I don’t think they intended for me to hear as much of that as I did. But I was very alert. And like, I paid a lot of attention to things that adults said. And so I heard more than I probably should have.","Sí, creo que tenía más conciencia de la que debería haber tenido. Tuve asma cuando era pequeña. Y en los años 80, antes de la ACA, las condiciones preexistentes estaban exentas de la cobertura de su plan de atención médica. Y por eso mi asma nunca estuvo cubierta. Y eso significaba que un viaje a urgencias sería exorbitante. Y un nebulizador estaba fuera de discusión. Es imposible que podamos permitírnoslo. Y los inhaladores, ya sabes, cuestan entre 50 y 60 dólares cada uno. Así que constantemente tenía miedo de tener un ataque de asma y ser, ya sabes, un problema y podía escuchar las conversaciones sobre facturas médicas y ya sabes, este médico, este médico o quieren enviarla a un neumólogo o a un médico de alergia y asma, y ​​simplemente no podemos cambiarlo y no hay manera y si creo que no creo que tuvieran la intención de que yo escuchara tanto de eso como lo hice. Pero estaba muy alerta. Y presté mucha atención a las cosas que decían los adultos. Y entonces escuché más de lo que probablemente debería haber escuchado."
