Text_Chunks,Translation_to_SPA
My name is Chloe.,Mi nombre es Chloe.
I’m Sy.,Soy Sy.
My name is Mariana.,Mi nombre es mariana.
I’m Jeffrey.,Soy Jeffrey.
"A few months ago, a documentary crew started following me and a few other trans friends around navigating everything from family, relationships, work, and more. There was always a story worth telling.","Hace unos meses, un equipo de documentales comenzó a seguirnos a mí y a algunos otros amigos trans para navegar por todo, desde la familia, las relaciones, el trabajo y más. Siempre hubo una historia que valía la pena contar."
"And that’s what you’re about to hear. You witness moments alongside us, and you’ll get into our heads. On this episode, we follow Chloe.","Y eso es lo que estás a punto de escuchar. Serás testigo de momentos junto a nosotros y te meterás en nuestras cabezas. En este episodio, seguimos a Chloe."
"Because I have so little experience in the dating world for the most part, and I’m just open to all kinds of people.",Porque en su mayor parte tengo muy poca experiencia en el mundo de las citas y estoy abierto a todo tipo de personas.
And we also follow Jeff.,Y también seguimos a Jeff.
"Oh my God, have you not seen that? Everybody’s getting married right now? This is BEING TRANS.","Dios mío, ¿no has visto eso? ¿Todos se van a casar ahora mismo? Esto es SER TRANS."
"Hey, how are you? My name is Chloe Corcoran. I am a 39-year-old trans woman from Rochester, New York working in higher education in Los Angeles, California.","¿Hola, qué tal? Mi nombre es Chloe Corcoran. Soy una mujer trans de 39 años de Rochester, Nueva York, que trabajo en educación superior en Los Ángeles, California."
"Oh my god, you play so nice. And you’re watching sport?","Dios mío, juegas tan bien. ¿Y estás viendo deportes?"
"I’m still relatively new to LA and Mariana, Who’s stopping by tonight is one of my first friends here. And she’s introduced me to some other trans people here through her meetup circle. And they’ve been really important in helping me acclimate to my new city. Oh my gosh, what is this","Todavía soy relativamente nuevo en Los Ángeles y Mariana, quien viene esta noche, es una de mis primeras amigas aquí. Y ella me presentó a otras personas trans aquí a través de su círculo de reuniones. Y han sido muy importantes para ayudarme a aclimatarme a mi nueva ciudad. Dios mío, ¿qué es esto?"
makeup we can play with makeup?,maquillaje ¿Podemos jugar con el maquillaje?
"Oh my gosh, thank you so much. Oh my gosh, this is fun","Dios mío, muchas gracias. Dios mío, esto es divertido."
"Like I’m seeing you right now. And I’m thinking like when we go out, maybe just a smoky eye. And maybe lips kind of like a nude but very like glossy.","Como si te estuviera viendo ahora mismo. Y estoy pensando que cuando salimos, tal vez solo un ojo ahumado. Y tal vez labios algo así como desnudos pero muy brillantes."
"I haven’t done in class, and I haven’t done the wings either. But I’d like to try both.",No lo he hecho en clase y tampoco he hecho las alas. Pero me gustaría probar ambos.
I have a dose and make you feel like so ready to go out? Like a superhero.,¿Tengo una dosis y te hago sentir con ganas de salir? Como un superhéroe.
Yeah. So how was your week?,"Sí. Entonces, ¿cómo fue tu semana?"
"Last night we had this party. And I’m still recovering. I was still like, oh my god. It was fun. But it was a lot of love a lot […] A lot of good-looking guys around. Shirtless over there. Do you ever go out?","Anoche tuvimos esta fiesta. Y todavía me estoy recuperando. Todavía estaba como, oh Dios mío. Fue divertido. Pero fue mucho amor, mucho […] Había muchos chicos guapos alrededor. Sin camisa por ahí. ¿Alguna vez sales?"
I’ve gone out by myself a few times. Because I don’t know how many people here. So hoping to change that.,He salido solo algunas veces. Porque no sé cuánta gente hay aquí. Así que espero cambiar eso.
Are you open to me like people?,¿Estás abierto a mí como la gente?
"I am. I’m trying to meet people. I’m on a lot of dating apps and stuff like that. But I guess I grew up with like an idealized version of like, what dating would be like, but I didn’t date for so long. While I was not dating, people moved into like a swipe culture or things moving a lot more quickly than maybe I was prepared for or used to, especially, you know, when I was first transitioning, and things like that. So it’s been interesting to think about, but like, that would hit me hard. I was like, oh, the whole dating game has changed. I kind of missed out on it. Before I came out publicly, I didn’t really see a romantic future because I wasn’t being myself. And I wasn’t being true to myself. And I guess one of the reasons I ventured out to Los Angeles, is because I am hoping to date and find a partner. On the flip side, dating as a trans person has been incredibly difficult. I’ll match with people and then they’ll read my profile, and they’ll quickly unmatch. Or, like, I’ll be talking with someone like a guy or girl and I like trying to get together. I was like, hey, let’s meet up for a drink. They’re like, cool your place? And I’m like, no, I would rather like go out for a drink or coffee or something like that. Just to like get to know somebody a little bit.","Soy. Estoy tratando de conocer gente. Estoy en muchas aplicaciones de citas y cosas así. Pero supongo que crecí con una versión idealizada de cómo serían las citas, pero no tuve citas por tanto tiempo. Mientras no estaba saliendo, la gente entró en una cultura de deslizar el dedo o las cosas se movían mucho más rápido de lo que tal vez estaba preparado o solía hacerlo, especialmente, ya sabes, cuando estaba en la transición por primera vez, y cosas así. Así que ha sido interesante pensar en ello, pero eso me afectaría mucho. Pensé, oh, todo el juego de las citas ha cambiado. Me lo perdí. Antes de salir del armario públicamente, realmente no veía un futuro romántico porque no estaba siendo yo mismo. Y no estaba siendo sincero conmigo mismo. Y supongo que una de las razones por las que me aventuré a Los Ángeles es porque espero tener una cita y encontrar una pareja. Por otro lado, tener citas como persona trans ha sido increíblemente difícil. Haré coincidir con personas y luego leerán mi perfil y rápidamente dejarán de coincidir. O, por ejemplo, estaré hablando con alguien como un chico o una chica y me gusta tratar de estar juntos. Pensé, oye, nos vemos para tomar una copa. Dicen, ¿cool tu lugar? Y yo digo, no, prefiero salir a tomar una copa o un café o algo así. Sólo para conocer un poco a alguien."
"Yeah, I mean, dating is sometimes they’re very open about like, you know, dating trans people, and sometimes they don’t want other people to know.","Sí, quiero decir, en las citas a veces son muy abiertos acerca de, ya sabes, salir con personas trans, y a veces no quieren que otras personas lo sepan."
"I struggle with that a lot. I really do. People get it on an intellectual level, like, okay, yes, trans people are real, their experiences are valid. And then it gets down to another level where people aren’t willing or ready to confront their attraction to trans people. And that’s part of what makes dating so hard.","Lucho mucho con eso. Realmente lo hago. La gente lo entiende a nivel intelectual, como, está bien, sí, las personas trans son reales, sus experiencias son válidas. Y luego llega a otro nivel en el que las personas no están dispuestas o preparadas para afrontar su atracción por las personas trans. Y eso es parte de lo que hace que las citas sean tan difíciles."
