Text_Chunks,Translation_to_SPA
"Something inside me said, go look through his stuff. I don’t know why I can’t explain it to this day, something said, go to his office and look through stuff.","Algo dentro de mí me dijo, ve a revisar sus cosas. No sé por qué no puedo explicarlo hasta el día de hoy, dijo algo, ve a su oficina y revisa las cosas."
"It’s 2019 and Carrie is standing outside her husband’s office. The doorway is the only thing separating her from the completely normal life she knows, and a secret that will ruin everything.","Es 2019 y Carrie está parada afuera de la oficina de su esposo. La puerta es lo único que la separa de la vida completamente normal que conoce, y un secreto que lo arruinará todo."
Got to bed and slept next to me every night like everything was fine and normal. Like how could I not have seen it? How could I have been so stupid? I have a doctorate For fuck sake. How did I not see this happening right in front of my face.,Me acosté y dormí a mi lado todas las noches como si todo estuviera bien y normal. ¿Cómo podría no haberlo visto? ¿Cómo he podido ser tan estúpido? Tengo un doctorado. Por el amor de Dios. ¿Cómo no vi que esto sucediera frente a mi cara?
"This is LAST DAY, a show about the moments that change us. I’m Stephanie Wittels Wachs. And today, we have one of the most egregious stories of betrayal you might ever hear. It’s the story of being deceived, manipulated, and swindled by the one person in the world, who vowed to love you forever, how you continue to put one foot in front of the other and start over with nothing.","Este es LAST DAY, un programa sobre los momentos que nos cambian. Soy Stephanie Wittels Wachs. Y hoy tenemos una de las historias de traición más atroces que jamás hayas escuchado. Es la historia de ser engañado, manipulado y estafado por la única persona en el mundo, que juró amarte para siempre, cómo continúas poniendo un pie delante del otro y empiezas de nuevo sin nada."
"Carrie met Joe when she was in graduate school studying to get her doctorate in veterinary medicine. And just a few years later, in 2006, they got married.","Carrie conoció a Joe cuando estaba en la escuela de posgrado estudiando para obtener su doctorado en medicina veterinaria. Y apenas unos años después, en 2006, se casaron."
"At the beginning, it was I think what anyone would describe their marriage partner. You know, I felt like I had a teammate. I knew I wanted to have children with him. We didn’t see eye to eye on everything. But we had what I thought was good communication. And I loved him. He was fun. Everyone likes hanging out with him. So he was just like a normal guy. Just, that’s how I can best describe it.","Al principio, creo que era lo que cualquiera describiría a su cónyuge. Sabes, sentí que tenía un compañero de equipo. Sabía que quería tener hijos con él. No estábamos de acuerdo en todo. Pero teníamos lo que pensé que era una buena comunicación. Y yo lo amaba. Fue divertido. A todos les gusta salir con él. Entonces él era como un chico normal. Simplemente, así es como puedo describirlo mejor."
Like a good guy.,Como un buen chico.
"A good guy. Yeah, he was good to his mom, you know, had a relationship with both of his parents liked animals like I did. And, you know, he just seemed like, a good, good person.","Un buen chico. Sí, era bueno con su madre, ya sabes, tenía una relación con sus dos padres y le gustaban los animales como a mí. Y, ya sabes, parecía una buena, buena persona."
"These two good people fall in love and eventually start a family. Four years after getting married, Carrie gives birth to their daughter. And four years later, their son, Carrie describes Jo as a doting dad, someone who often had more patience for the kids than she did. It was a good balance. But like she said, they didn’t always see eye to eye.","Estas dos buenas personas se enamoran y finalmente forman una familia. Cuatro años después de casarse, Carrie da a luz a su hija. Y cuatro años después, su hijo, Carrie, describe a Jo como un padre cariñoso, alguien que a menudo tenía más paciencia con los niños que ella. Fue un buen equilibrio. Pero como ella dijo, no siempre estuvieron de acuerdo."
"I am the kind of person that I mean, some people would say overly opinionated if I have a thought if I have a feeling. Let’s just put it out there. Now I want to talk about it now. And I always would joke that Joe had two sides, there was normal Joe, and there was like, unhappy slash angry, and not a lot of range in the emotional field, at least not that he would show. And so if there was ever a disagreement, I would say, I’d like to talk about this. And Joe would be time. But that time always turned into stretching it out so far that then I’d say okay, it’s been three days. We talked about this. Now, I don’t remember what it was about is that would be his response. So something like avoidant things, saying when he he needed time to focus on something, but then in the long run, really just avoiding the discussion. And I would say that was not as major at the beginning, but it was still there. Right. And I think it just grew larger over time.","Soy el tipo de persona que quiero decir, algunas personas dirían que es demasiado obstinada si tengo un pensamiento, si tengo un sentimiento. Dejémoslo ahí. Ahora quiero hablar de ello ahora. Y siempre bromeaba diciendo que Joe tenía dos lados, que estaba el Joe normal y el que estaba como, infeliz, enojado, y no había mucho rango en el campo emocional, al menos no que él mostraría. Entonces, si alguna vez hubiera un desacuerdo, diría que me gustaría hablar de esto. Y Joe llegaría a tiempo. Pero ese tiempo siempre se prolongaba tanto que luego decía: bueno, han pasado tres días. Hemos hablado de esto. Ahora, no recuerdo de qué se trataba, esa sería su respuesta. Entonces, algo así como evitar cosas, decir cuando necesitaba tiempo para concentrarse en algo, pero luego, a la larga, simplemente evitar la discusión. Y yo diría que eso no fue tan importante al principio, pero todavía estaba ahí. Bien. Y creo que simplemente creció con el tiempo."
"Joseph Boyden communication style aside, Carrie and Joe had a pretty typical marriage, and they were able to provide a comfortable life for their kids. Carrie had her accomplished, yet demanding career as a bet. And Joe, meanwhile, worked in the business world, sometimes for global corporations.","Dejando a un lado el estilo de comunicación de Joseph Boyden, Carrie y Joe tenían un matrimonio bastante típico y pudieron brindar una vida cómoda a sus hijos. Carrie tenía como apuesta su exitosa pero exigente carrera. Y Joe, mientras tanto, trabajó en el mundo empresarial, a veces para corporaciones globales."
"From the outside, we look like a very typical family. You know, we were friends with other families. We had couples friends that we hung out with a lot. Everyone thought we were fun. Everyone thought we had a good marriage. I had a friend that said, Oh, I wish I had a marriage like yours. I mean, there were ups and downs. I mean, every marriage has it your marriage you get it. It’s hard work to maintain a long term relationship, whether that’s romantic or otherwise it takes effort, but I feel like overall outwardly we appeared to be a pretty normal run of the mill family of four.","Desde fuera parecemos una familia muy típica. Ya sabes, éramos amigos de otras familias. Teníamos parejas de amigos con los que salíamos mucho. Todos pensaron que éramos divertidos. Todos pensaban que teníamos un buen matrimonio. Tenía un amigo que decía: Oh, desearía tener un matrimonio como el tuyo. Quiero decir, hubo altibajos. Quiero decir, cada matrimonio lo tiene, tu matrimonio lo obtienes. Es un trabajo duro mantener una relación a largo plazo, ya sea romántica o requiere esfuerzo, pero siento que, en general, exteriormente éramos una familia de cuatro miembros bastante normal."
In 2014 In the family moves to a different state. So Joe can work at an even bigger company.,"En 2014, la familia se muda a otro estado. Para que Joe pueda trabajar en una empresa aún más grande."
