Text_Chunks,Translation_to_SPA
"Hi, I’m Jessica St. Clair.","Hola, soy Jessica St. Clair."
"And I’m June Diane Raphael, and this is The Deep Dive.","Y yo soy June Diane Raphael, y esto es The Deep Dive."
We’re about to do what women have done for centuries. We are crowding around the fire with our generous hunches. We got babies hanging off our tips and we’re going to share with you our fears.,Estamos a punto de hacer lo que las mujeres han hecho durante siglos. Nos apiñamos alrededor del fuego con nuestras generosas corazonadas. Tenemos bebés que se resisten a nuestros consejos y vamos a compartir contigo nuestros miedos.
That’s right.,Así es.
"Our joy, our tips on how to stay alive.","Nuestra alegría, nuestros consejos sobre cómo seguir con vida."
"Now Jes, we’re heating a call that no one has made.","Ahora Jes, estamos calentando una llamada que nadie ha hecho."
Not a soul.,Ni un alma.
But you’re invited to listen.,Pero estás invitado a escuchar.
"Absolutely, because we make one promise and one promise only we will not Google a thing because frankly, we’re too damn tired. Please get ready to go on The Deep Dive.","Absolutamente, debido a que hacemos una promesa y solo una promesa, no buscaremos nada en Google porque, francamente, estamos demasiado cansados. Prepárese para realizar The Deep Dive."
"Hi, Jessica.","Hola, Jessica."
"Hello, June.",Hola junio.
How are you? What is going on?,¿Cómo estás? ¿Qué está pasando?
"I got COVID and my child sick. She doesn’t have COVID, just another cold.","Me puse COVID y mi hijo se enfermó. Ella no tiene COVID, solo otro resfriado."
I’m so confused.,Estoy tan confundida.
"Me too, turns out when I was talking about my low energy levels last week, it was because I was avec COVID and I didn’t realize it, so here we are.","Yo también resulta que cuando hablé de mis bajos niveles de energía la semana pasada, fue porque tenía COVID y no me di cuenta, así que aquí estamos."
"Here we are, so to face a couple.","Aquí estamos, así que para enfrentarnos a una pareja."
"I don’t even know at this point and this is not a medical podcast, but like do you I thought they just lifted the quarantines. I don’t know man, you know, honestly, does anyone really let us out of our homes during the day anyway? It’s like where am I going?","Ni siquiera lo sé en este momento y este no es un podcast médico, pero, como tú, pensé que acababan de levantar las cuarentenas. No lo sé hombre, ya sabes, honestamente, ¿alguien realmente nos deja salir de nuestras casas durante el día de todos modos? Es como ¿a dónde voy?"
Right?,¿Bien?
I wasn’t asked to the Vanity Fair Oscar party.,No me invitaron a la fiesta de los Oscar de Vanity Fair.
Right.,Bien.
"But yeah, you know it is, I wish honestly I’d known earlier so I could have like you got empathy talked about it more gotten out of more things you know hold but.","Pero sí, sabes que lo es, sinceramente desearía haberlo sabido antes para poder haber hablado más sobre ello, como si tuvieras empatía, de más cosas que sabes, pero."
"That’s when it’s like to not be able to use it for its greater good, you know, is a really upsetting.","Ahí es cuando es como si no poder usarlo para su bien mayor, ya sabes, es realmente perturbador."
"Quarantine, like, I would have been over in that GC by myself. But by the time I realized that the damage was done.","En cuarentena, habría terminado solo en esa general. Pero cuando me di cuenta de que el daño ya estaba hecho."
"Right, we’ve already done all of our exposure.","Bien, ya hemos hecho toda nuestra exposición."
"Imagine if I was over there. I would have been de couponing right now I would have been like, living my best. Oh god this I wouldn’t be stenciling I would have gotten out stencils.","Imagínate si estuviera allí. Habría estado desembolsando cupones en este momento. Habría estado viviendo lo mejor que pude. Oh Dios, esto no estaría haciendo plantillas. Habría sacado plantillas."
"Oh my God, Jess, I’m sorry […] You’re not feeling well.","Dios mío, Jess, lo siento […] No te sientes bien."
"No, I’m actually okay now. I think I realized at the tail end of it. I don’t know guy.","No, en realidad estoy bien ahora. Creo que me di cuenta al final. No lo sé chico."
