Text_Chunks,Translation_to_SPA
"On September 27, 2018, just about everyone I knew was glued to their TV screens as a woman wearing a blue suit walked into the Senate chamber to testify against Supreme Court nominee, Brett Kavanaugh. With a slew of photographers crouched in front of her, she raised her right hand and swore to tell the truth about what happened to her in the summer of 1982. She believed it was her civic duty to tell Congress that the man they were considering as the next Supreme Court justice had sexually assaulted her at a party when they were both teenagers. I for one, remember her testimony clear as day. I was stuck in a chair so much that summer and early fall nursing my baby who was born in May of 2018. And I vividly recall sitting in this salmon colored glider in my son’s nursery, watching this woman on my little iPhone screen, holding on to him and hanging on to her every word. Well, behind the images on the screen. Behind that blue suit was a real life human being a mother of two named Christine, a professor, a California resident, and a big fan of Soundgarden and Metallica. She’s someone who historically hasn’t gone by the formal three name moniker. We’ve come to know her by Christine Blasi Ford. She has been Dr. Blasi, we’re just Christine, even Chrissy to a select few. And she’s now the author of a new memoir called One Way Back, where she details the life she lived before that day in the Senate chamber and how she plans to keep living the version of it that she’s in now, on the other side. It’s a very different version of her life. One with security detail, and a dining room full of letters from 10s of 1000s of strangers. The underside of her hair is no longer dyed the vibrant blue she’d worn before her day in the Senate. Many of her relationships have changed, and she’s formed new ones, including with some of the most recognizable people in the world. Of course, these huge changes make Christine a perfect person to talk to about Last Days. So without further ado, this is Last Day, a show about the moments that change us. I’m your host Stephanie Wittels Wachs. Today, I give you the gift of Christine Blasi Ford.","El 27 de septiembre de 2018, casi todos mis conocidos estaban pegados a sus pantallas de televisión cuando una mujer vestida con un traje azul entró en la cámara del Senado para testificar contra el candidato a la Corte Suprema, Brett Kavanaugh. Con un grupo de fotógrafos agachados frente a ella, levantó la mano derecha y juró decir la verdad sobre lo que le sucedió en el verano de 1982. Creía que era su deber cívico decirle al Congreso que el hombre al que estaban considerando como el siguiente juez de la Corte Suprema la había agredido sexualmente en una fiesta cuando ambos eran adolescentes. Yo, por mi parte, recuerdo su testimonio tan claro como el día. Estuve atrapada en una silla durante mucho tiempo durante el verano y principios del otoño amamantando a mi bebé, que nació en mayo de 2018. Y recuerdo vívidamente estar sentada en este planeador de color salmón en la habitación de mi hijo, mirando a esta mujer en la pequeña pantalla de mi iPhone, sosteniendo a él y aferrándose a cada palabra de ella. Bueno, detrás de las imágenes en la pantalla. Detrás de ese traje azul había un ser humano de la vida real, madre de dos hijos, llamado Christine, profesora, residente de California y gran fanática de Soundgarden y Metallica. Ella es alguien que históricamente no ha usado el apodo formal de tres nombres. La conocemos por Christine Blasi Ford. Ella ha sido la Dra. Blasi, nosotros solo somos Christine, incluso Chrissy para unos pocos elegidos. Y ahora es autora de una nueva memoria llamada One Way Back, donde detalla la vida que vivió antes de ese día en la cámara del Senado y cómo planea seguir viviendo la versión que lleva ahora, en el otro lado. Es una versión muy diferente de su vida. Uno con detalles de seguridad y un comedor lleno de cartas de decenas de miles de extraños. La parte inferior de su cabello ya no está teñida del azul vibrante que llevaba antes de su día en el Senado. Muchas de sus relaciones han cambiado y ha formado otras nuevas, incluso con algunas de las personas más reconocidas del mundo. Por supuesto, estos enormes cambios hacen de Christine una persona perfecta con quien hablar sobre los Últimos Días. Así que sin más preámbulos, este es Last Day, un programa sobre los momentos que nos cambian. Soy su anfitriona Stephanie Wittels Wachs. Hoy les doy el regalo de Christine Blasi Ford."
Hi.,Hola.
"Hi, how are you?","¿Hola, cómo estás?"
"Wow, you’re wearing a Metallica shirt.","Vaya, llevas una camiseta de Metallica."
Can you see that?,¿Puedes ver eso?
"Oh, fuckin’ love it.","Oh, me encanta."
And pajama pants as well.,Y pantalones de pijama también.
Obsessed.,Obsesionado.
Yeah.,Sí.
"Oh, my God, yes. I just finished reading your book, I loved it so much. I just enjoyed you. And I’m thrilled to talk to you today.","Dios mío, sí. Acabo de terminar de leer tu libro, me encantó mucho. Simplemente te disfruté. Y estoy encantado de hablar contigo hoy."
