Text_Chunks,Translation_to_SPA
"Hi everybody, it’s your old pal Sarah. I was in the past few months has been a lot of press, a lot of gowns, a lot of things. And I was in a gown. So ridiculous. And I had to wear Spanx under it, not for shapewear reasons. Not that there’s anything wrong with that. But I had to because of thyroid because it was a tight dress. And when I can’t wear a tight, you know, skirt without like, shorts or something because I get thigh rub and it’s real. It like burns like fire. So I was wearing these Spanx, and then they to pee. There’s a slit in the Spanx that up through a hole, right. And I just thought it would be interesting to mention, because when you’re doing it, so I’m like basically holding a gown in my arms. And now kind of have to move it to one arm, like hold everything. And then open up this p whole envelope thing at my crotch. And then I have to have a conversation with myself. Because it feels like you’re peeing with pants on. And your body’s like, no. And I’m like, no trust me. And my body’s like, no there’s pants on. And I go, no, just relax trust me, there’s an opening. And I have to relax and I have to coax my urine out. That’s a lot going on.","Hola a todos, soy tu vieja amiga Sarah. Estuve en los últimos meses ha habido mucha prensa, muchos vestidos, muchas cosas. Y yo estaba en bata. Tan ridiculo. Y tuve que usar Spanx debajo, no por motivos de faja. No es que haya nada malo en eso. Pero tuve que hacerlo por culpa de la tiroides porque era un vestido ajustado. Y cuando no puedo usar una falda ajustada, ya sabes, sin pantalones cortos o algo así, porque me frotan los muslos y es real. Parece que arde como el fuego. Así que llevaba estos Spanx y luego los usaba para orinar. Hay una hendidura en el Spanx que pasa por un agujero, cierto. Y pensé que sería interesante mencionarlo, porque cuando lo haces, básicamente estoy sosteniendo un vestido en mis brazos. Y ahora tengo que moverlo a un brazo, como si sostuviera todo. Y luego abre todo este sobre en mi entrepierna. Y luego tengo que tener una conversación conmigo mismo. Porque se siente como si estuvieras orinando con los pantalones puestos. Y tu cuerpo dice, no. Y yo digo, no confíes en mí. Y mi cuerpo dice, no, hay pantalones puestos. Y yo digo, no, simplemente relájate, confía en mí, hay una oportunidad. Y tengo que relajarme y tengo que sacar mi orina. Están sucediendo muchas cosas."
I have a question. ask you about that.,Tengo una pregunta. preguntarte sobre eso.
"Okay, go on.","Está bien, continúa."
"When you because I’ve never been able to do that. Like, I feel like it still gets everywhere. Like, did you have a clean pee?",Cuando tú porque nunca he podido hacer eso. Siento que todavía llega a todas partes. ¿Tuviste una orina limpia?
"Shockingly, I did because usually my pee comes from I don’t know exactly where but I know at least three to four different places.","Sorprendentemente, lo hice porque normalmente mi orina proviene de no sé exactamente de dónde, pero conozco al menos de tres a cuatro lugares diferentes."
Because my fear with that is like up and then like you’re just sitting with a wet crotch the rest of the night.,Porque mi miedo con eso es como levantarme y luego estar sentado con la entrepierna mojada el resto de la noche.
"Yeah, like sometimes I pee one solid stream. And sometimes it’s like, sprinklers. It’s literally like, am I watering grass in a nearby area? Totally like, yeah. I mean, does that mean there’s because usually if you turn on your faucet and it goes different places, there’s like a clog somewhere that’s like pushing it. So is there a clog in my urethra?","Sí, a veces orino un chorro continuo. Y a veces es como aspersores. Es literalmente como, ¿estoy regando el césped de un área cercana? Totalmente parecido, sí. Quiero decir, ¿eso significa que hay porque generalmente si abres el grifo y va a diferentes lugares, hay como una obstrucción en alguna parte que es como empujarlo? Entonces, ¿hay una obstrucción en mi uretra?"
"Well, I’m sure this is a clinical reason, but it’s probably because your labia is like stuck together and it’s just bouncing.","Bueno, estoy seguro de que esto es una razón clínica, pero probablemente se deba a que tus labios vaginales están pegados y simplemente rebotan."
"Oh my god, wait. So if I pull open, my vulva, my labia majora, open that’s the sound it makes. It should be a single stream. But uh, you know if you’re I know what you mean when your lips are kind of sealed from like this. Like the I can picture like pee coming in almost like going straight to the back before like opening up. She’s dying. We have fun here at the Sarah Silverman podcast.","Dios mío, espera. Entonces, si abro, mi vulva, mis labios mayores, abro, ese es el sonido que hace. Debería ser una sola corriente. Pero, sabes, si lo eres, sé a qué te refieres cuando tus labios están sellados de esta manera. Puedo imaginarme como si la orina entrara casi como si fuera directamente hacia atrás antes de abrirse. Ella se está muriendo. Nos divertimos aquí en el podcast de Sarah Silverman."
The moral is it’s so much easier to pee when you’re a man it is period.,La moraleja es que es mucho más fácil orinar cuando eres hombre y punto.
