Text_Chunks,Translation_to_SPA
"What happened to your daughter, Tiffany? She was murdered. She had just gotten married three months before that. The entire community was in fear. Yes. There's a killer on the loose. Off-word, the girls, they were doing ordinary things. Laura Smith was jogging down the road. If you can remember anything, please contact the police Department. Kelly Cox was going to school. Tiffany Johnson was washing her car at a car wash. Jessica came to just having dinner with some friends. This is just snatching girls up in broad daylight. Then it just happened to cross the path of a serial killer. We could be the next one. There's nothing in this world more powerful or compelling than you're going to find your child. This case has been cold for so long, and there's finally an answer. One, they got from a stunning tape seen in public for the very first time tonight. As you relax and let go, you were turned into hypnosis. He was a pretty much one-man crime freak. You started driving until you found something. Constantly hunting He was a predator on the proud. Sounds like a monster. Four young women disappear in 1997. It's a mystery that baffles investigators and fuels their family's quest for answers for almost 25 years.","¿Qué pasó con tu hija, Tiffany? Ella fue asesinada. Ella acababa de casarse tres meses antes. Toda la comunidad estaba atemorizada. Sí. Hay un asesino suelto. Fuera de lo normal, las chicas estaban haciendo cosas ordinarias. Laura Smith estaba corriendo por la calle. Si recuerda algo, comuníquese con el Departamento de Policía. Kelly Cox iba a la escuela. Tiffany Johnson estaba lavando su auto en un lavadero de autos. Jessica vino recién a cenar con unos amigos. Esto no es más que secuestrar chicas a plena luz del día. Entonces se cruzó en el camino de un asesino en serie. Podríamos ser los siguientes. No hay nada en este mundo más poderoso o convincente que encontrar a su hijo. Este caso ha estado sin resolver durante mucho tiempo y finalmente hay una respuesta. Uno, lo obtuvieron de una impresionante cinta vista en público por primera vez esta noche. Cuando te relajas y te sueltas, te conviertes en hipnosis. Era prácticamente un fanático del crimen de un solo hombre. Empezaste a conducir hasta que encontraste algo. Cazando constantemente, era un depredador de los orgullosos. Suena como un monstruo. Cuatro mujeres jóvenes desaparecen en 1997. Es un misterio que desconcierta a los investigadores y alimenta la búsqueda de respuestas de su familia durante casi 25 años."
"The first to vanish is Laura Smither, just 12 years old. What was Laura like? She was a joy. She was so sweet and so caring and so fiercely loyal to all her girlfriends. She was one of my best friends. We spent a lot of time together. Everybody loved Laura. She was just one of those people. I always say she was touched by light because everybody loved her. She was the friend that would come over to your house and make you look bad because she would help put away the dishes after dinner. And Laura wasn't perfect. She was a normal kid, but she was very smart, wickedly smart. She could have done anything. She would have turned 13. She'd been counting down the days for 87 days. She was so excited to become a teenager. In 1997, Friendswood was just a very quiet small town. So we're about halfway between the city of Houston and Galveston. In '97, we had been voted one of the top 10 safest cities in America. Laura lived near the creek, and their house was magical because I would go there and they would always have the computers going, and we could go outside and explore and climb trees.","La primera en desaparecer es Laura Smither, de apenas 12 años. ¿Cómo era Laura? Ella era una alegría. Era tan dulce, tan cariñosa y tan ferozmente leal con todas sus amigas. Ella era una de mis mejores amigas. Pasamos mucho tiempo juntos. Todos amaban a Laura. Ella era sólo una de esas personas. Siempre digo que la luz la tocó porque todos la amaban. Ella era la amiga que iba a tu casa y te hacía quedar mal porque te ayudaba a recoger los platos después de cenar. Y Laura no era perfecta. Era una niña normal, pero muy inteligente, perversamente inteligente. Ella podría haber hecho cualquier cosa. Habría cumplido 13 años. Llevaba 87 días contando los días. Estaba muy emocionada de convertirse en adolescente. En 1997, Friendswood era sólo una pequeña ciudad muy tranquila. Estamos aproximadamente a medio camino entre la ciudad de Houston y Galveston. En 1997, fuimos elegidos como una de las 10 ciudades más seguras de Estados Unidos. Laura vivía cerca del arroyo y su casa era mágica porque yo iba allí y siempre tenían las computadoras encendidas y podíamos salir a explorar y trepar a los árboles."
"There wasn't a lot of development in the area. It was a quiet country road. Laura lived on Waredare at the end. And so if we were in the kitchen, you could see right to the end of the road from inside the house. Laura wanted to be a professional ballerina. She had just accepted into the Houston Ballet Academy. Ballet was probably the most important part of her life besides her family. She loved to dance. She was always choreographing little pieces, and she'd put on little plays for us. She started when she was six. She did ballet, tap, and jazz. Wow, for six years. But she just really loved ballet more than anything. Take me back to April third, 1997. What are you doing that morning here? It was a Thursday. Because I'd been out of town, I said, Okay, we'll do Pancakes with Bacon, which was Laura's favorite. She just finished reading a book, and it was all about running and exercise and building your endurance. She felt that if she did that, she could hold her arabesque longer, and it would make her stronger ballet. And her dad was a runner. He ran every day.","No hubo mucho desarrollo en la zona. Era un camino rural tranquilo. Laura vivió en Waredare al final. Y si estuviéramos en la cocina, podríamos ver hasta el final del camino desde el interior de la casa. Laura quería ser bailarina profesional. Acababa de ser aceptada en la Academia de Ballet de Houston. El ballet fue probablemente la parte más importante de su vida además de su familia. A ella le encantaba bailar. Ella siempre estaba coreografiando pequeñas piezas y nos montaba pequeñas obras de teatro. Empezó cuando tenía seis años. Hizo ballet, tap y jazz. Vaya, durante seis años. Pero ella realmente amaba el ballet más que nada. Llévame al 3 de abril de 1997. ¿Qué estás haciendo aquí esa mañana? Era un jueves. Como había estado fuera de la ciudad, dije: Está bien, haremos panqueques con tocino, que era el favorito de Laura. Acaba de terminar de leer un libro y se trataba de correr, hacer ejercicio y desarrollar la resistencia. Sintió que si hacía eso, podría sostener su arabesco por más tiempo y eso fortalecería su ballet. Y su padre era corredor. Corría todos los días."
"So I granted her permission to go running while we fixed breakfast. And of course, she didn't come back. We knew immediately that something was wrong. Immediately. And we called the police within an hour of that happening. But our top story tonight, she's only 12 years old, and at this hour, she's missing. It made the news that first day. While police concentrate the search near the girls' home, her parents wait and hope. It's just been concentrated here around the house. As far as I know, there are some open fields that she might have run by, and they've searched those areas very thoroughly. She is a very good girl. Something very unusual has happened that she would have been home. Someone had to have taken The search continues this morning for a missing 12-year-old Friendswood girl. Did you see anything unusual at this time yesterday? Nothing. Did you see my daughter? I ended up running the ground search, and I was drinking from my fire hose. Hundreds of people flattered to come help us search, and then it just exploded. Overnight, family, friends blanketed the neighborhood with flyers At daylight, a small army of searchers fanned out.","Así que le di permiso para salir a correr mientras preparábamos el desayuno. Y por supuesto, ella no volvió. Inmediatamente supimos que algo andaba mal. Inmediatamente. Y llamamos a la policía una hora después de que eso sucediera. Pero nuestra noticia principal esta noche es que solo tiene 12 años y a esta hora está desaparecida. Fue noticia ese primer día. Mientras la policía concentra la búsqueda cerca de la casa de las niñas, sus padres esperan y tienen esperanza. Simplemente se ha concentrado aquí alrededor de la casa. Hasta donde yo sé, hay algunos campos abiertos por los que ella podría haber pasado corriendo, y han buscado esas áreas muy a fondo. Ella es una muy buena chica. Ha sucedido algo muy inusual que ella hubiera estado en casa. Alguien tuvo que haber tomado La búsqueda continúa esta mañana de una niña desaparecida de Friendswood de 12 años. ¿Viste algo inusual ayer a esta hora? Nada. ¿Viste a mi hija? Terminé realizando la búsqueda en el terreno y estaba bebiendo de mi manguera contra incendios. Cientos de personas se sintieron halagadas de venir a ayudarnos en la búsqueda, y luego todo explotó. Durante la noche, familiares y amigos cubrieron el vecindario con folletos. Al amanecer, un pequeño ejército de buscadores se desplegó."
"Rory's dad went out with the first wave of volunteers, grateful for all the support. Someone encouraged by the turnout this morning. I've been overwhelmed by the community, the support and the police. What was it like for you and your family last night? Don't ask me. Laura was a 12-year-old little girl, and it just touched people. The community Friendswood is very close, and they felt that Laura was one of their own. I'm going home. I'm going to hug my kids and regroup a little bit, and I'll be ready to run in the morning. People from all over Houston put their lives on hold. The best came out in some people. We offer it to you and pray that you would watch over Laura wherever she is. People of different denominations, different faiths, all showing up together to pray for this child, hoping that maybe that will have some power. I just want to let her know that we are going to find you, and we're not going to stop until we do find you. Please keep her in your prayers. The FBI has been called in on this search, and now police are calling it an abduction.","El papá de Rory salió con la primera ola de voluntarios, agradecido por todo el apoyo. Alguien animado por la participación de esta mañana. Me he sentido abrumado por la comunidad, el apoyo y la policía. ¿Cómo fue para ti y tu familia anoche? No me preguntes. Laura era una niña de 12 años y eso conmovía a la gente. La comunidad de Friendswood es muy unida y sentían que Laura era una de los suyos. Me voy a casa. Voy a abrazar a mis hijos y reagruparme un poco, y estaré listo para correr por la mañana. Personas de todo Houston pusieron sus vidas en pausa. Lo mejor salió en algunas personas. Te lo ofrecemos y rezamos para que cuides de Laura dondequiera que esté. Personas de diferentes denominaciones, diferentes religiones, todos se presentan juntos para orar por este niño, con la esperanza de que tal vez eso tenga algún poder. Sólo quiero hacerle saber que te encontraremos y que no vamos a parar hasta encontrarte. Por favor mantenla en tus oraciones. Se ha llamado al FBI para esta búsqueda y ahora la policía lo califica de secuestro."
"Their parents grow more frantic by the hour. Volunteers trudged through swamps and dodged snakes, but by days in, there was nothing to report. It was a tough search for anyone involved in being out there. That went on for days. They covered over 75 square miles. They plan to do the same thing again until Laura is found. There is a maximum commitment to find you and do everything the law permits to bring you to justice. Just about every place they see an area was involved in a search. You have a 12-year-old girl who goes jogging 9:00 in the morning. For whatever reason, no one saw anything. She was here one second and gone the next. We were worried that whoever took her was still out there and that we could be the next one. And their top story this morning, what could be a nightmare comes true. She's like, deja vu. Somebody had to have taken her. It's like she just disappeared. It has almost picture-perfect ties to the Smithier case. The entire community was in fear. Yes. There's a killer on the loose. Exactly. The search goes on for 12-year-old Laura Kate Smithr. There's no sign of a 12-year-old girl.","Sus padres se vuelven más frenéticos cada hora. Los voluntarios caminaron penosamente a través de pantanos y esquivaron serpientes, pero al cabo de unos días no había nada que informar. Fue una búsqueda difícil para cualquiera involucrado en estar ahí fuera. Eso continuó durante días. Cubrieron más de 75 millas cuadradas. Planean hacer lo mismo nuevamente hasta que encuentren a Laura. Existe un compromiso máximo para encontrarte y hacer todo lo que la ley permita para llevarte ante la justicia. Casi todos los lugares donde ven un área estaban involucrados en una búsqueda. Tienes una niña de 12 años que sale a correr a las 9:00 de la mañana. Por alguna razón, nadie vio nada. Ella estuvo aquí un segundo y se fue al siguiente. Nos preocupaba que quien se la llevó todavía estuviera ahí y que pudiéramos ser los siguientes. Y su noticia principal esta mañana: lo que podría ser una pesadilla se hace realidad. Ella es como un deja vu. Alguien tuvo que habérsela llevado. Es como si ella simplemente hubiera desaparecido. Tiene vínculos casi perfectos con el caso Smithier. Toda la comunidad estaba atemorizada. Sí. Hay un asesino suelto. Exactamente. Continúa la búsqueda de Laura Kate Smithr, de 12 años. No hay señales de una niña de 12 años."
"The ground search is swelling into its sixth day. Whoever has Laura, we would like you to bring her home now. Three weeks after she disappears, there's a town hall made. Just remember sitting there feeling numb. This was for my child. You need to allow the chief and the FBI some time to analyze some of the information. It was a couple of hours later before the police chief made it here to tell us that indeed a body had been found. And it was like a dark blanket just swallowed the household. We just were silent. Nobody spoke. The police left, and we just all stayed in this room all night. Based on our knowledge of the case and evidence recovered at the scene, I am prepared to say that the young lady found is in fact, Laura K. Smith. She had a ring that she would wear. It had her initials, and she was wearing her socks. It's a It's a hole. It's just a void that exists for a long time, and even now. The city was heartbroken. People, I think, felt like that could have been their child. And so Laura was everybody's child. Once Laura was found, I think it was understood at that point that this was not an accident.","La búsqueda sobre el terreno avanza hacia su sexto día. Quien tenga a Laura, nos gustaría que la trajera a casa ahora. Tres semanas después de su desaparición, se organiza un ayuntamiento. Solo recuerda estar sentado allí sintiéndote entumecido. Esto fue para mi hijo. Debe darle tiempo al jefe y al FBI para analizar parte de la información. Pasaron un par de horas hasta que el jefe de policía llegó aquí para decirnos que efectivamente se había encontrado un cuerpo. Y fue como si una manta oscura se hubiera tragado a la familia. Simplemente nos quedamos en silencio. Nadie habló. La policía se fue y nos quedamos todos en esta habitación toda la noche. Según nuestro conocimiento del caso y las pruebas recuperadas en el lugar, estoy dispuesto a decir que la joven encontrada es, de hecho, Laura K. Smith. Tenía un anillo que usaría. Tenía sus iniciales y llevaba calcetines. Es un Es un agujero. Es simplemente un vacío que existe desde hace mucho tiempo, e incluso ahora. La ciudad estaba desconsolada. Creo que la gente sentía que ese podría haber sido su hijo. Y entonces Laura era hija de todos. Una vez que encontraron a Laura, creo que en ese momento se entendió que esto no fue un accidente."
"This was an intentional abduction and homicide of a 12-year-old. We were worried that whoever took her was still out there and that we could be the next one. Three months later, in 300 miles north, those worries proved true. When a Another woman goes missing. 20-year-old Kelly Cox heads out for the day and is never seen alive again. What was Kelly Cox like growing up? Growing up, she was always very independent, even as a little child. I mean, one time I told her, Don't put your fingers on that again. So she reached over with her toes. Kelly had a really good sense of humor. Kelly Cox is also a mom to her own independent daughter, Alexis. Say hi to the camera. Say hi to the red light. Hi. Kelly was a young mom. She had big plans and big dreams. You need to mom me some sugar. How old was she when she had Alexis? She was 19, just barely 19. Did she like motherhood? She said it was the happiest day of her life. Listen here, Ms. Zane, you need the last, last, last. The day that Alexis was born. And she said that any number of times.","Se trató de un secuestro y homicidio intencional de un niño de 12 años. Nos preocupaba que quien se la llevó todavía estuviera ahí y que pudiéramos ser los siguientes. Tres meses después, a 300 millas al norte, esas preocupaciones resultaron ciertas. Cuando otra mujer desaparece. Kelly Cox, de 20 años, sale a pasar el día y nunca más se la vuelve a ver con vida. ¿Cómo era Kelly Cox mientras crecía? Al crecer, ella siempre fue muy independiente, incluso cuando era una niña pequeña. Quiero decir, una vez le dije: No vuelvas a meter el dedo en eso. Entonces ella extendió los dedos de sus pies. Kelly tenía muy buen sentido del humor. Kelly Cox también es madre de su propia hija independiente, Alexis. Saluda a la cámara. Saluda a la luz roja. Hola. Kelly era una madre joven. Tenía grandes planes y grandes sueños. Necesitas darme un poco de azúcar. ¿Cuántos años tenía cuando tuvo a Alexis? Tenía 19 años, apenas 19. ¿Le gustaba la maternidad? Dijo que era el día más feliz de su vida. Escuche, Sra. Zane, necesita el último, el último, el último. El día que nació Alexis. Y ella dijo eso muchas veces."
"Happiest day of my life, Mom. Do you have memories of your mom, Kelly? I always knew I was loved. It was beautiful the way she giggles with me and the way I giggle back as a baby. She was an excellent student and very focused. She delivered Alexis, and a week later, she took her finals at the community college. Made all A's. Kelly breezes through community college. And then heads to the University of North Texas studying psychology and criminal justice with plans to be a therapist. I'm like, wow, you're really on track. She had a plan, and she was sticking to it. I mean, I think she would have been a phenomenal mother. Bettering her future so she could better our future. She said, Mom, I need to support Alexis and me. And that's one reason she insisted on summer school classes because She wanted to graduate in May of '98. She would have been a phenomenal role model as well. But sometimes it's the way that things go. Tell us about that morning. It's like it just happened yesterday. She was leaning back in her bed, her hair up on top of her head. I said, Have a good day.","El día más feliz de mi vida, mamá. ¿Tienes recuerdos de tu mamá, Kelly? Siempre supe que era amado. Fue hermosa la forma en que ella se ríe conmigo y la forma en que yo le devuelvo la risa cuando era un bebé. Era una excelente estudiante y muy centrada. Dio a luz a Alexis y, una semana después, tomó sus exámenes finales en el colegio comunitario. Sacó todas las A. Kelly avanza rápidamente en el colegio comunitario. Y luego se dirige a la Universidad del Norte de Texas para estudiar psicología y justicia penal con planes de ser terapeuta. Yo digo, vaya, realmente vas por buen camino. Tenía un plan y lo estaba cumpliendo. Quiero decir, creo que habría sido una madre fenomenal. Mejorar su futuro para poder mejorar nuestro futuro. Ella dijo: Mamá, necesito apoyarnos a Alexis y a mí. Y esa es una de las razones por las que insistió en las clases de verano, porque quería graduarse en mayo del 98. Ella también habría sido un modelo a seguir fenomenal. Pero a veces así son las cosas. Cuéntanos sobre esa mañana. Es como si acabara de suceder ayer. Estaba recostada en la cama, con el pelo recogido sobre la cabeza. Dije: Que tengas un buen día."
"I love you. I'll see you this afternoon. On July 15, 1997, Kelly was touring the city of Denton Jail for her criminal justice class. So she comes out of the building, and what happens? She tried to get into her car. She couldn't get into it.Couldn't open the door?Couldn't open the door. The key would not work. So she walks to a nearby convenience store to call her boyfriend for help. But by the time he arrives here, Kelly is nowhere to be found. When he got there, her car was there in the parking lot. But of course, she was nowhere to be seen. He opened the car, sat in there. She never showed up. So he left a note saying, Hey, it got hot. Call me. Kelly's seen on surveillance video. She was seen doing the tour of the jail. They didn't have cameras on the outside. There was no cameras or anything over there at the gas station. No cameras in the immediate vicinity. They confirmed that Kelly did go inside the gas station, so they knew that she was there, but no one saw where she went. She just disappeared. The police station is on one end of the road, and where Kelly was at is on the other end of the road.","Te amo. Te veré esta tarde. El 15 de julio de 1997, Kelly estaba de gira por la cárcel de la ciudad de Denton para asistir a su clase de justicia penal. Entonces ella sale del edificio y ¿qué pasa? Intentó subir a su coche. No podía entrar. ¿No podía abrir la puerta? No podía abrir la puerta. La clave no funcionaría. Así que camina hasta una tienda cercana para pedir ayuda a su novio. Pero cuando llega aquí, Kelly no se encuentra por ningún lado. Cuando llegó allí, su auto estaba en el estacionamiento. Pero, por supuesto, ella no estaba a la vista. Abrió el auto y se sentó allí. Ella nunca apareció. Entonces dejó una nota que decía: Oye, hace calor. Llámame. Kelly aparece en un vídeo de vigilancia. Se la vio haciendo el recorrido por la cárcel. No tenían cámaras en el exterior. No había cámaras ni nada allí en la gasolinera. No hay cámaras en las inmediaciones. Confirmaron que Kelly entró a la gasolinera, por lo que sabían que ella estaba allí, pero nadie vio a dónde fue. Ella simplemente desapareció. La estación de policía está en un extremo de la calle, y donde estaba Kelly está en el otro extremo de la calle."
