Text_Chunks,Translation_to_SPA
"Hey, I'm welcome to the Short Stuff. I'm Josh. There's Chuck and Ben's here too, sitting in for Dave.","Oye, soy bienvenido a Short Stuff. Soy josh. Están Chuck y Ben aquí también, reemplazando a Dave."
Ben.,Ben.
"This is short stuff, the New Reality.","Esto es breve, la Nueva Realidad."
"That's right. I'm glad that you found this because I have experienced this in a slightly different way, and I never knew that it was a thing, and now I do.","Así es. Me alegra que hayas encontrado esto porque lo he experimentado de una manera ligeramente diferente y nunca supe que existía, y ahora lo sé."
"Yeah, I had no idea it was a thing either. I don't remember where I heard of this. I'm guessing you me, it just seems like the kind of thing she would have sent me. But we have to shout out McGill University, IFL Science and Science Times for helping round this idea hour this story out. But we're talking about something called the Marico Aoki phenomenon, which is a very specific phenomenon. It's where some people go into a bookstore and are overwhelmed with the urge, sometimes an urgent urge to poop in that bookstore, not like in the aisles of the bookstore, but to go to the bathroom in the bookstore to poop.","Sí, yo tampoco tenía idea de que existiera. No recuerdo dónde escuché esto. Supongo que tú y yo, parece el tipo de cosas que ella me habría enviado. Pero tenemos que agradecer a la Universidad McGill, IFL Science y Science Times por ayudarnos a redondear esta idea a la hora de publicar esta historia. Pero estamos hablando de algo llamado fenómeno Marico Aoki, que es un fenómeno muy específico. Es donde algunas personas entran a una librería y les invaden las ganas, a veces unas ganas urgentes de hacer caca en esa librería, no como en los pasillos de la librería, sino de ir al baño de la librería a hacer caca."
"Yeah, so here's my story. In high school, still one of my very best friends, Jim, I say, you know, Jim, Jim and I had an afternoon radio show, which was over the intercom of the school, and it was basically instead of the principal reading the daily announcements, we asked if we could take it over and round it out with jokes and top ten lists and what have you. So we had WRHS was our dumb little show.","Sí, aquí está mi historia. En la escuela secundaria, todavía uno de mis mejores amigos, Jim, digo, ya sabes, Jim, Jim y yo teníamos un programa de radio por la tarde, que se transmitía por el intercomunicador de la escuela, y básicamente en lugar de que el director leyera el anuncios diarios, preguntamos si podíamos hacernos cargo y completarlo con chistes y listas de los diez mejores y lo que sea. Entonces teníamos WRHS como nuestro pequeño y tonto espectáculo."
"So wait, this was officially sanctioned. It wasn't pirate School Radio.","Espera, esto fue sancionado oficialmente. No era la Radio Escolar pirata."
"No, no, no. It was us in the principal's office like on the microphone every day. I mean that was looking back, it was the start of stuff you should know, which is funny. Oh wow, But we did. When we would meet to write the show. Every day, we would meet in the empty auditorium where they did school plays, and every time we were in there, both of us had to poop and we used to laugh about it and talk about it. And now that I see sort of some of the similarities between that empty, quiet auditorium and a sort of a large, maybe cavernous, quiet bookstore, I now know this is a thing.","No no no. Estábamos nosotros en la oficina del director como en el micrófono todos los días. Quiero decir, eso fue mirar hacia atrás, fue el comienzo de cosas que deberías saber, lo cual es gracioso. Oh, vaya, pero lo hicimos. Cuándo nos reuniríamos para escribir el programa. Todos los días nos reuníamos en el auditorio vacío donde hacían obras de teatro escolares, y cada vez que estábamos allí, ambos teníamos que hacer caca y nos reíamos y hablábamos de ello. Y ahora que veo algunas similitudes entre ese auditorio vacío y silencioso y una especie de librería grande, tal vez cavernosa y silenciosa, ahora sé que esto existe."
I was not expecting a personal anecdote from you for this one.,No esperaba una anécdota personal tuya para este.
"Yeah, I mean, this goes back to the eighties, Jim and I. He'll laugh when I tell him this is an actual thing.","Sí, quiero decir, esto se remonta a los años ochenta, Jim y yo. Se reirá cuando le diga que esto es algo real."
"Well, that's appropriate because the Marico Aoki phenomenon goes back to the eighties too, all.","Bueno, eso es apropiado porque el fenómeno Marico Aoki también se remonta a los años ochenta."
"Right, Yeah, so we should probably talk about where it came from, right.","Bien, sí, entonces probablemente deberíamos hablar de dónde vino, ¿verdad?"
"Yeah, it came from a Japanese woman named Mariko Aoki.","Sí, vino de una mujer japonesa llamada Mariko Aoki."
That's right. And she sent a letter to a magazine in what nineteen eighty five and the issue of han no Zashi? Is that right?,Así es. ¿Y envió una carta a una revista en mil novecientos ochenta y cinco y al número de Han no Zashi? ¿Está bien?
Close enough?,¿Suficientemente cerca?
How would you say it?,¿Cómo lo dirías?
Han no Zashi?,Han no Zashi?
Didn't that what I said?,¿No fue eso lo que dije?
Yeah?,¿Sí?
"Okay? And she wrote a letter to the you know, like a letter to the editor kind of thing, where she said, I'm not sure why, but since about two or three years ago, whenever I go to a bookstore, I'm struck by an urge to move my bowels. They printed it, just the letter to the editor, and then got so many responses from people saying me too, that the next issue had a fourteen page feature article on the headline was the phenomenon currently shaking the bookstore industry.","¿Bueno? Y ella le escribió una carta, ya sabes, algo así como una carta al editor, donde decía: No estoy segura de por qué, pero desde hace unos dos o tres años, cada vez que voy a una librería, Me asaltó la necesidad de defecar. Lo imprimieron, solo la carta al editor, y luego recibieron tantas respuestas de gente que decía que yo también, que el siguiente número tenía un artículo de catorce páginas en el titular: era el fenómeno que sacudía actualmente a la industria de las librerías."
