Text_Chunks,Translation_to_SPA
"My black and white Nike blazers hit the pavement in the parking lot of Men’s Central Jail. Immediately I felt the warm sun on my skin as I stepped off the LA County bus. The word probation was printed across the back of my shirt and down the side of my pants. A heavy silver chain had me bounds at the wrist and another one restraining my ankles. There is a long road ahead of me. This is only the beginning. Right now I am not sure that there is a light at the end of this tunnel. I’m only 17 and as a female, I was full of emotion, but had to learn the art of masking. I was scared of the unknown. On my way to court, surrounded me with all the women from Lynwood county dressed in all blue. The holding cells were packed with inmates on every side so much that corrections had nowhere to put me. Since I was a minor I had to be escorted. Today I was escorted to an old rusted filthy bathroom next to the holding cells.","Mis chaquetas Nike blancas y negras cayeron al pavimento en el estacionamiento de la Cárcel Central de Hombres. Inmediatamente sentí el cálido sol en mi piel cuando bajé del autobús del condado de Los Ángeles. La palabra libertad condicional estaba impresa en la parte posterior de mi camisa y en el costado de mis pantalones. Una pesada cadena de plata me tenía atado en las muñecas y otra sujetando mis tobillos. Hay un largo camino por delante. Este es sólo el comienzo. En este momento no estoy seguro de que haya una luz al final de este túnel. Solo tengo 17 años y, como mujer, estaba llena de emociones, pero tuve que aprender el arte de enmascarar. Tenía miedo de lo desconocido. De camino a la corte, me rodeó de todas las mujeres del condado de Lynwood vestidas todas de azul. Las celdas de detención estaban tan repletas de reclusos por todos lados que el correccional no tenía dónde ponerme. Como era menor de edad me tenían que acompañar. Hoy me acompañaron a un baño viejo, oxidado y sucio al lado de las celdas de detención."
"The smell of urine was overpowering as I walked through the door I heard it securely locked behind me. All the noise from people yelling, singing, laughing and talking started to drown out. To make myself as comfortable as possible. That’s a casino on the […] I was standing up against the wall. I chains were tight on my wrist. They were chafing my skin. I couldn’t relax. We’ll get out of them. I looked at the walls covered in peanut butter and jelly behind the sink and toilet bowl flooded with trash as I sit. Inmates were starting to get called out for court. He got quieter and quieter as people are getting escorted to their bus. Where is my bus? Did they forget me? I pounded on the door each time I heard keys passing by I was ignored. I started to think about my mom. She’s probably wondering where I’m at. I was no stranger to trouble. But this time there was no way out. I was powerless. Then someone yelled, little baby, are you still in there? I barely replied.","El olor a orina era abrumador cuando entré por la puerta y escuché que estaba bien cerrada detrás de mí. Todo el ruido de la gente gritando, cantando, riendo y hablando empezó a ahogarse. Para ponerme lo más cómodo posible. Eso es un casino en el […] Estaba parado contra la pared. Las cadenas estaban apretadas en mi muñeca. Estaban rozando mi piel. No podía relajarme. Saldremos de ellos. Mientras me sentaba, miré las paredes cubiertas de mantequilla de maní y mermelada detrás del lavabo y la taza del inodoro inundada de basura. Los reclusos empezaban a ser llamados a comparecer ante los tribunales. Se volvió cada vez más silencioso mientras escoltaban a la gente hasta su autobús. ¿Dónde está mi autobús? ¿Me olvidaron? Golpeé la puerta cada vez que escuchaba pasar las llaves, me ignoraban. Empecé a pensar en mi mamá. Probablemente se esté preguntando dónde estoy. No era ajeno a los problemas. Pero esta vez no había salida. Estaba impotente. Entonces alguien gritó, pequeña, ¿todavía estás ahí? Apenas respondí."
"Yeah. I saw her tattooed hand stretched through the gap between the floor and bottom of the door with a baby blue pocket Bible. She said, read this. I struggle to reach for it in my chamber. When I grabbed it. It was open to a chapter called James. It said my brethren, console joy when you fall into various trials, knowing that the testing of your faith produces patience, but let patients have it’s perfect work that you may be perfect and complete lacking nothing. Nothing changed. I was still in the same raggedy old field the bathroom […] of urine. Except I grabbed a hold of the idea that no struggle is forever. And I put my game face back on as soon as I heard a key answer that lock. When the sheriff opened the door. I thank the lady and threw her Bible back to her through the bars. My bus had finally come.","Sí. Vi su mano tatuada extendida a través del espacio entre el piso y la parte inferior de la puerta con una Biblia de bolsillo azul celeste. Ella dijo, lee esto. Lucho por alcanzarlo en mi habitación. Cuando lo agarré. Estaba abierto a un capítulo llamado James. Decía, hermanos míos, consolad el gozo cuando caigáis en diversas pruebas, sabiendo que la prueba de vuestra fe produce paciencia, pero dejad que los pacientes tengan su obra perfecta, para que seáis perfectos y completos, sin que os falte nada. Nada ha cambiado. Yo seguía en el mismo campo viejo y andrajoso el baño […] de orina. Excepto que me aferré a la idea de que ninguna lucha es para siempre. Y volví a poner mi cara de juego tan pronto como escuché una llave responder a ese bloqueo. Cuando el sheriff abrió la puerta. Le agradezco a la señora y le arrojé su Biblia a través de los barrotes. Mi autobús finalmente había llegado."
"I’m Walter Thompson-Hernandez and this is WRITTEN OFF. You just heard from actress Dascha Polanco, one of the Latinx stars of Netflix’s Orange is the New Black. She read The Unfit by IOW Alum Olivia Carrasco. Olivia is actually wearing Nike blazers during our conversation. Not the exact pair she mentioned at the beginning of her piece, but they still fit in with her all-black look. She’s also got these tiny diamonds on her white acrylic nails. The all black everything with a tiny bit of shine seems fitting even as one of the newest IOW Alum’s. Olivia was quick to show interest in taking part in this podcast. She’s got that confidence mixed in with humility that draws you to her when you meet. At first, she comes off quiet and timid, but the minute we start talking, she turns bright and confident. She’s self-assured. Even in her nerves. She definitely fits in here. What’s it feel like hearing someone read your story?","Soy Walter Thompson-Hernández y esto está CANCELADO. Acabas de escuchar a la actriz Dascha Polanco, una de las estrellas latinas de Orange is the New Black de Netflix. Ella leyó The Unfit de la alumna de la IOW Olivia Carrasco. De hecho, Olivia lleva chaquetas Nike durante nuestra conversación. No son el par exacto que mencionó al principio de su artículo, pero aún así encajan con su look completamente negro. También tiene estos pequeños diamantes en sus uñas acrílicas blancas. Todo lo negro con un poquito de brillo parece apropiado incluso como uno de los nuevos alumnos de IOW. Olivia rápidamente mostró interés en participar en este podcast. Tiene esa confianza mezclada con humildad que te atrae hacia ella cuando la conoces. Al principio, parece tranquila y tímida, pero en el momento en que empezamos a hablar, se vuelve brillante y segura. Ella es segura de sí misma. Incluso en sus nervios. Ella definitivamente encaja aquí. ¿Qué se siente al escuchar a alguien leer tu historia?"
"I feel like I just relived the whole thing. I was really blown away, by the way, she was able to, like capture my emotion in the piece of writing without even knowing. But I definitely felt like all emotions all over again. And I felt like I was there. So I think she did a good job of like, capturing what happened.","Siento que acabo de revivir todo el asunto. Me quedé realmente impresionado, por cierto, ella fue capaz de capturar mi emoción en el escrito sin siquiera saberlo. Pero definitivamente sentí todas las emociones de nuevo. Y sentí que estaba allí. Así que creo que hizo un buen trabajo al capturar lo que sucedió."
What kinds of motion did you feel?,¿Qué tipo de movimiento sentiste?
"All of them, like, I literally felt like I was in that bathroom again, and kind of being scared, because I didn’t know what was going to happen. But then at the same time, like, I was hopeless already. So I was just like, felt defeated, kind of.","Todos ellos, literalmente sentí como si estuviera en ese baño otra vez, y como asustado, porque no sabía lo que iba a pasar. Pero al mismo tiempo ya estaba desesperado. Así que me sentí derrotado, más o menos."
"And the actual, like, writing process. What was that like? Because it you know, it really feels like were there with you. Right? Whether it’s like the peanut butter and jelly reference, the Bible, the Nike blazers, the tattooed hand, reaching under that door, like how did you, how are you able to, to make that happen? How’d you do that?","Y el proceso de escritura real. ¿Como fue eso? Porque sabes, realmente se siente como si estuviera allí contigo. ¿Bien? Ya sea la referencia a la mantequilla de maní y la mermelada, la Biblia, las chaquetas Nike, la mano tatuada, metiendo la mano debajo de esa puerta, como ¿cómo pudiste, cómo pudiste, hacer que eso sucediera? ¿Cómo hiciste eso?"
"There are certain parts of my life that I can remember every detail of it, of that memory. So I guess as a writer, I’m able to keep captured what I felt at the moment, when I saw whatever I saw, or I did whatever I did, or whatever situation I was in. As a writer. I feel like putting it down on paper and expressing how everything was detail by detail, emotion by emotion is almost like therapeutic to me. So, writing the piece, I guess I kind of relive it every time. Like I write something in order to get like the full story. But I actually wrote that when I was in isolation, right before I got out. So I was kind of replaying my whole journey. And that was kind of at the beginning of my journey. And I wrote it when I was at the end of it.","Hay ciertas partes de mi vida que puedo recordar cada detalle de ella, de ese recuerdo. Así que supongo que, como escritor, puedo mantener capturado lo que sentí en ese momento, cuando vi lo que vi, o cuando hice lo que hice, o en cualquier situación en la que me encontré. Como escritor. Tengo ganas de plasmarlo en un papel y expresar cómo fue todo detalle a detalle, emoción a emoción, es casi terapéutico para mí. Entonces, al escribir la pieza, supongo que la revivo cada vez. Como si escribiera algo para ver la historia completa. Pero en realidad escribí eso cuando estaba aislado, justo antes de salir. Así que estaba repitiendo todo mi viaje. Y eso fue más o menos al comienzo de mi viaje. Y lo escribí cuando estaba al final."
"If you could walk me through actually writing it, like, sounds, smells, what you wrote it with, what that day was like?","Si pudieras explicarme cómo escribirlo, sonidos, olores, con qué lo escribiste, ¿cómo fue ese día?"
"It was cold. I remember. Even the bus was cold. And feeling the sun. Like the warmth, was like something that I craved because this like we never were, we’re out, I think and then all of those things, I think subconsciously, were affecting me and I didn’t realize is just kind of like the process of being incarcerated. But, the smells were so like, distinct, like, I can never forget them. They’re disgusting. But like, I wouldn’t just like seeing certain things. Certain memories just stuck in my head, I guess. And so that’s how I was able to just put it down on paper. But that was a really long day for me. And it turned out actually better than I expected in the end. Because at the end of that I felt more relieved. After I had captured that, like idea that this wasn’t gonna be forever, this wasn’t going to be my life forever. I wasn’t going to be stuck in that box forever. I had some kind of hope, I guess at the end of that day, but it was a hard day.","Hacía frío. Recuerdo. Incluso el autobús estaba frío. Y sintiendo el sol. Como la calidez, era como algo que ansiaba porque nunca lo habíamos sido, estábamos fuera, creo y luego todas esas cosas, creo que inconscientemente, me estaban afectando y no me di cuenta de que es algo así como el proceso de estar encarcelado. Pero los olores eran tan distintos que nunca podré olvidarlos. Son repugnantes. Pero no me gustaría simplemente ver ciertas cosas. Supongo que ciertos recuerdos se me quedaron grabados en la cabeza. Y así fue como pude plasmarlo en papel. Pero ese fue un día realmente largo para mí. Y al final resultó mejor de lo que esperaba. Porque al final me sentí más aliviado. Después de haber capturado esa idea de que esto no iba a ser para siempre, esta no iba a ser mi vida para siempre. No iba a quedar atrapado en esa caja para siempre. Supongo que al final de ese día tenía algún tipo de esperanza, pero fue un día difícil."
