Text_Chunks,Translation_to_SPA
"Welcome back to another episode of Add To Cart, I’m auntie Kuku Vilaysack.","Bienvenidos de nuevo a otro episodio de Agregar al carrito, soy la tía Kuku Vilaysack."
And I’m Auntie Susu Park.,Y yo soy la tía Susu Park.
"Su, I’m so excited for our guests today. He’s a friend of mine and the other half of XOXO Gossip Kings along with Mr. Sweet Treat Carl Tart. He is an actor, writer, comedian, and he’s got a new music album to promote. He’s been a writer on Grand Cru new growth Brooklyn 99 and Single Parents. His new album highly sensitive person is out now please add to cart, Lamar Woods.","Su, estoy muy emocionado por nuestros invitados de hoy. Es amigo mío y la otra mitad de XOXO Gossip Kings junto con Mr. Sweet Treat Carl Tart. Es actor, escritor, comediante y tiene un nuevo álbum de música que promocionar. Ha escrito sobre el nuevo crecimiento de Grand Cru Brooklyn 99 y Single Parents. Su nuevo álbum, Persona altamente sensible, ya está disponible, agréguelo al carrito, Lamar Woods."
"That was good, thank y’all for having me, man. I’m like so excited to be here. I’ve been waiting, they put this one early in the month. I was like, man, it’s coming up soon. I know what’s coming, as I was.","Eso estuvo bien, gracias a todos por invitarme, hombre. Estoy muy emocionado de estar aquí. He estado esperando, pusieron este a principios de mes. Pensé, hombre, llegará pronto. Sé lo que viene, como estaba."
"Already an anti fashion. When before we even started the recording. Ku, was already trying to fix the lighting in your room to light up your angel eyes, weren’t you?","Ya es una anti moda. Cuando incluso antes de comenzar la grabación. Ku, ya estabas tratando de arreglar la iluminación de tu habitación para iluminar tus ojos de ángel, ¿no?"
He has gorgeous eyes.,Tiene unos ojos preciosos.
"I know that. She’s like, I can’t see your beautiful face. Also, why are you blurring your background. I can’t see your beautiful one bedroom apartment. That barren apartment. Also, I didn’t know Yakata Carl, sweet treat, too. That’s crazy.","Yo sé eso. Ella dice: No puedo ver tu hermoso rostro. Además, ¿por qué estás borrando el fondo? No puedo ver tu hermoso apartamento de un dormitorio. Ese apartamento vacío. Además, no conocía a Yakata Carl, un dulce regalo también. Eso es una locura."
"Well, because he told us about how he loves a sweet treat at night.",Pues porque nos contó que le encantan los dulces por las noches.
"That’s true, yeah, he’s a he has a sweet.","Eso es cierto, sí, tiene un dulce."
I’ve never known anybody to eat more birthday cake slices. I still think about.,Nunca he conocido a nadie que haya comido más porciones de pastel de cumpleaños. Todavía lo pienso.
"Slices of cake, and he picks one up every week.",Rebanadas de pastel y recoge una cada semana.
"But I thank you for saying I have pretty eyes though, I appreciate that. That is my favorite attribute. I was with my therapist last week and I did this really cool thing where this cool thing. But like sometimes I just be making shit up, like this is what I would do if I was a therapist. I was like let’s write down all the things that I get insecure about when when a girl rejects me. And I wonder like because I’m not insecure about them all the time, only when you get rejected they all come out right? So we just wrapped I just we just made it list and we’re gonna go every week we’re going to talk about each one and try to figure out how to like not like fall slave to those insecurities.","Pero te agradezco que digas que tengo ojos bonitos, lo aprecio. Ese es mi atributo favorito. Estuve con mi terapeuta la semana pasada e hice algo realmente genial. Pero a veces simplemente estoy inventando cosas, como si esto fuera lo que haría si fuera terapeuta. Pensé: escribamos todas las cosas por las que me siento inseguro cuando una chica me rechaza. Y me pregunto porque no me siento inseguro acerca de ellos todo el tiempo, solo cuando te rechazan, todos salen bien. Así que acabamos de terminar, simplemente hicimos una lista y vamos a ir todas las semanas, hablaremos de cada uno y trataremos de descubrir cómo no gustarnos caer esclavos de esas inseguridades."
"Wow, New York Times, best seller number one straight to the top, Self Help.","Vaya, New York Times, el best seller número uno directo a la cima, Self Help."
"Wait, you’re right, Su.","Espera, tienes razón, Su."
"Straight to the top. Let me tell you how to be a therapist. We’re just workshopping titles, we’re just workshopping.","Directo a la cima. Déjame decirte cómo ser terapeuta. Solo estamos trabajando en títulos, solo estamos trabajando en títulos."
"Yeah, what do you think?","Sí, ¿qué opinas?"
"It’s good, it’s good.","Está bien, está bien."
"Su, as absolutely right. I want you to be journaling about this, taking notes about this because this could be a book.","Su, tiene toda la razón. Quiero que escribas un diario sobre esto, que tomes notas sobre esto porque podría ser un libro."
"Really, yeah.","De verdad, sí."
"Like I’m being serious, like, just do it for the sake of doing it. Yes, I’m getting serious.","Como si estuviera hablando en serio, simplemente hazlo por hacerlo. Sí, me estoy poniendo serio."
"Because when I told my therapist I was she was like, oh, that’s a good idea.","Porque cuando le dije a mi terapeuta que lo estaba, ella dijo, oh, es una buena idea."
"And she’s writing it, right now.",Y ella lo está escribiendo ahora mismo.
