Text_Chunks,Translation_to_ENG
"¿Cómo estás, soy turbulent? Y yo la burrita burrona. Y estamos muy contentos que después del presupuesto para después de tal no, Claro que no. ¿Y usted a lo mejor va a decir Este por qué están solas? Pues yo no. Las temporadas, las temporadas son largas.","How are you, am I turbulent? And I'm the donkey donkey. And we are very happy that after the budget for after such no, of course not. And maybe you're going to say why are you alone? Well not me. The seasons, the seasons are long."
"Son largas y aparte esta esta mención es. Para darle realce a nuestra gira, Claro, Claro, teníamos aquí a alguien sentado, no le íbamos a dar el. Lugar, pues no, porque no le íbamos a dar el lugar. En toda la persona, pero. Estamos también súper contentos porque a lo largo de este poquito tiempo que tenemos con el podcast del momento, pues han pasado cosas irreales.","They are long and apart from this this mention is. To highlight our tour, Of ​​course, Of course, we had someone sitting here, we weren't going to give him the. Place, well no, because we were not going to give him the place. In the whole person, but. We are also super happy because throughout this little time that we have with the podcast of the moment, unreal things have happened."
"Y han pasado personas muy importantes por estas. No y las que se vienen o sea usted a lo mejor ahorita dijo, Ah, pues nos están diciendo que se termina, se termina esta temporada este porque no le dimos como un cierre porque usted vio que se cambió la escenografía. Ajá. ¿Y usted no lo vio, pero no le no habíamos tenido el tiempo de dar como un cierre formal?","And very important people have passed through these. No, and the ones that are coming, or maybe right now you said, Oh, well, they are telling us that it is ending, this season is ending because we didn't give it a closure because you saw that the scenery was changed. AHA. And you didn't see it, but hadn't we had the time to give it as a formal closure?"
"Ciclo formal y a partir de aquí el podcast del momento viene con un giro. Viene con pura celebridad, celebridad internacional, no ha pasado ninguna de las que ya grabamos. No, no ha pasado el. Lunes este domingo esto ya es el domingo, no, hombre, no van a soportar si de por sí no nos pueden ver.","Formal cycle and from here the podcast of the moment comes with a twist. It comes with pure celebrity, international celebrity, none of the ones we already recorded have happened. No, it hasn't happened. Monday this Sunday this is already Sunday, no, man, they won't stand it if they can't see us."
"Pero hay que aclarar que obviamente seguiremos con nuestro marketing, que son muchas figuras regias, tenemos ya ya tenemos pactados a varios que ustedes van a disfrutar en un futuro y conocerán un poquito más de la cultura regiomontana. Y también nos gustaría que en este momento y en este video.","But it must be clarified that obviously we will continue with our marketing, which are many royal figures, we have already agreed to several that you will enjoy in the future and will know a little more about the Monterrey culture. And we would also like that at this moment and in this video."
"Si se aceptan comentarios de artistas que quieran que tengamos en el podcast del momento. Y también comentarios que ustedes, o sea la verdad, ha pasado mucho de esto. Mira, a lo largo de todo esto hemos ido aprendiendo a ser entrevistadoras que hay que aclarar algo. La neta es que cuando surgió el podcast del momento, nosotras nunca quisimos que fuéramos entrevistadoras nos gusta.","Yes, comments are accepted from artists who want us to have them on the podcast of the moment. And also comments that you, that is to say the truth, have been through a lot of this. Look, throughout all this we have been learning to be interviewers that we have to clarify something. The bottom line is that when the podcast of the moment emerged, we never wanted us to be interviewers, we like it."
"¿De hecho una de las reglas, cuando llega aquí nuestro invitado es, oye, Sabes qué? Aquí no hay línea. Y otra de las reglas es no pegarle a la mesa. ¿Verdad? Verdad, pareces nueva. Es que usted escucha un resorte en su interior, es porque esta niña está traca.","In fact one of the rules, when our guest comes here is, hey, you know what? There is no line here. And another rule is not to hit the table. TRUE? True, you look new. You hear a spring inside you, it's because this girl is crazy."
"Traca traca y eso ya no se debe de hacer. Yo no te digo nada, que tú estás así. Si por ello por eso estoy así, porque respeto la Mesa. Pues yo quiero estar acá en la mesa. Si no hay que ponerle más acolchonadito, porque si ustedes vieran solo esto está tapizado y acá. Burrita, eso no tienes por qué decir sigue.","Traca traca and that should no longer be done. I'm not telling you anything, because you are like this. Yes, that's why I'm like this, because I respect the Table. Well, I want to be here at the table. If not, you have to put more padding on it, because if you could see only this is upholstered and here. Burrita, you don't have to say that."
"Habiendo madera sin terminar, qué vergüenza. No si está terminada. Está tallada, está todo, nada más, no está forrada. Le falta la vestidura. Para qué quieres vestidular trabajos completos háganlos sino no hagan nada. Pues fue Pedro, fue Pedro.","Having unfinished wood, what a shame. Not if it's finished. It is carved, everything is there, nothing more, it is not lined. The clothing is missing. Why do you want to vest complete works, do them otherwise don't do anything. Well, it was Pedro, it was Pedro."
"Fue. Pedro, qué más, oigan, pero no. Yo creo que hablando de entrevistadoras la gente va a ver mi mi, cómo se dice mi fragmento entrevistadora en 2 domingos más, en 2 domingos más, porque.","Was. Pedro, what else, listen, but no. I think that talking about interviewers, people are going to see my my, how do you say my interviewer fragment in 2 more Sundays, in 2 more Sundays, because."
"Sí, me preparé para esa entrevista, sí, me preparé. A poco. Claro, tenía mis notas y todo, ni la. ¿Leíste la mentirosa? ¿Nada más llegaste preguntando en qué capítulo salió? No, no, no, no, no. Yo sí me preparé y la gente lo va a poder ver. Ahí lo veremos, ahí lo veremos.","Yes, I prepared for that interview, yes, I prepared. Little by little. Of course, I had my notes and everything, not even the. Did you read the liar? Did you just come asking what episode she was in? No no no no no. I did prepare and people will be able to see it. We'll see it there, we'll see it there."
"Y si califica y si no va Asus redes sociales y la bufa. Farsante me pone. Farsante, pásatela tú misma le dices, oigan, pero no. O sea, hemos visto comentarios de que Ay, es que no saben entrevistar. Ay que no. ¿No creo que canto, oiga, y también cuando ponen de que es que no dejan de hablar, es que a veces pues tenemos que hablar, porque sino cómo le podemos?","And if it qualifies and if it doesn't, Asus goes to social networks and mocks it. It makes me fake. You fake, take it yourself, you tell him, listen, but no. I mean, we have seen comments that Oh, they don't know how to interview. Oh no. I don't think I sing, listen, and also when they talk about what it is that they don't stop talking, it's just that sometimes we have to talk, because otherwise how can we?"
"Ay, aparte no podemos dejar en blanco al artista, tenemos que cuidarlo. Oye, y todos estos episodios que han pasado el el mazonado la gente bueno, muchos a mí me preguntan cuando me los topo, ya sea que si me topo algún ampon en la calle o en algún antro X oye, Sí me pregunta de que oye te iba a preguntar algo y dice, quiero saber si en realidad fue verdad el insomnio de la burrita.","Oh, apart from that we cannot leave the artist blank, we have to take care of him. Hey, and all these episodes that have happened in the mess, good people, many of them ask me when I run into them, whether if I run into some ampon on the street or in some club. I was going to ask you something and he says, I want to know if the donkey's insomnia was really true."
