Text_Chunks,Translation_to_ENG
"Bueno, buenas, buenas, ver a ver, a ver, a ver. Buenas, ahí dije 700 veces, buenas. Sí, escuchamos. ¿Viste semicorchea, no? Semi corchea, dale como están, cómo me les va new week New Episode, voy a empezar a tirar mucho inglés para que esta gente aprenda inglés con la grúa.","Well, good, good, let's see, let's see, let's see. Hello, there I said 700 times, good. Yes, we listen. You saw sixteenth notes, right? Semi quaver, keep it up, how are you doing new week New Episode, I'm going to start using a lot of English so that these people can learn English with the crane."
"Ay dónde presiste tanto tanto inglés con la grúa. Me gusta entonces New Episode es nueva semana, nuevo episodio. Eso es lo que aprendimos esta semana. La otra semana vamos a practicar lo que aprendimos esta y vamos a aprender algo más hasta que lleguemos al episodio. Todo el. Inglés, hágale.","Oh, where does so much English work with the crane? I like it then New Episode is new week, new episode. That's what we learned this week. The other week we are going to practice what we learned this week and we are going to learn something else until we get to the episode. All the. English, do it."
"¿Te imaginas? Que sea un plan. Que sea un plan y. ¿Bueno, cómo están, cómo me les vale, hijita, cómo estás, cómo estás? Muy bien. Con la actitud en el cielo, en el cielo, en el cielo. Yo estoy muy contento porque monté una está aquí arriba hay una luz, aquí arriba hay una luz, hay una luz y yo la instalé.","You imagine? Let it be a plan. Make it a plan and. Well, how are you, how are you doing, daughter, how are you, how are you? Very good. With the attitude in heaven, in heaven, in heaven. I am very happy because I installed one, there is a light up here, there is a light up here, there is a light and I installed it."
"Manica me quedó súper bien instalada. Entonces muy contento. Yo, yo, yo yo estoy contenta porque antes de estar contenta quiero confesar. ¿Que suena envidiosa de miércoles, sí, qué envidie?","Manica was super well installed for me. So very happy. I, I, I am happy because before being happy I want to confess. That sounds envious of Wednesday, yes, envy?"
"Exageradamente a las personas que pudieron tomarse unas. De vacaciones, o sea, ustedes están viendo de su martes. Pero para muchos, la Semana Santa, la Semana Santa. No, esa no, porque esta semana también.","Exaggeratedly to the people who were able to take some. On vacation, that is, you are looking at your Tuesday. But for many, Holy Week, Holy Week. No, not that one, because this week too."
"¿Es de amación? Sí es desalación. La Semana Santa para muchas personas no empezó, pues como en los días festivos me refiero el Jueves Santo. ¿Y tomar un jueves, viernes, sábado y domingo? No, no, para muchos fue desde el viernes antes de o.","Is it love? Yes it is desalination. Holy Week for many people did not begin, because as with holidays I mean Holy Thursday. And take a Thursday, Friday, Saturday and Sunday? No, no, for many it was from the Friday before or."
"Sea, viernes, viernes, sábado, domingo de Ramos. Viernes de la oficina OO. Son sus propios jefes, nosotros somos nuestros propios. Jefes y aquí estamos. Pero yo ahí dije, somos emprendedores. ¿Diferencia entre emprendedores? Bueno, las cosas fue que hubo gente que se tomó viernes listo.","Be it, Friday, Friday, Saturday, Palm Sunday. Office Friday OO. They are their own bosses, we are our own. Bosses and here we are. But I said there, we are entrepreneurs. Difference between entrepreneurs? Well, the thing was that there were people who took Friday ready."
"Salió el viernes, sábado y domingo. El lunes en Colombia fue festivo. Y dijeron martes y miércoles no estos. Trabajos esta manada de Zánganos lleva desde el viernes descansando. Envidia fue lo que sentí, pero.","It came out on Friday, Saturday and Sunday. Monday in Colombia was a holiday. And they said Tuesday and Wednesday, not these. Work, this herd of Drones has been resting since Friday. Envy was what I felt, but."
"Puedo ser tu envidia, puedo ser tu envidia si tú eres de la ciudad de Medellín porque tacos cero. Amor en México, gimnasio. ¿Tú crees que de o sea, tú crees de verdad que la persona está diciendo Guau, tengo demasiados celos? Sí, persona, no vuelvas, no vuelvas, no vuelves y vuelvas, si vuelvas, es que obvio, no.","I can be your envy, I can be your envy if you are from the city of Medellín because tacos zero. Love in Mexico, gym. Do you think that, I mean, do you really believe that the person is saying Wow, I'm too jealous? Yes, person, don't come back, don't come back, don't come back and come back, if you come back, it's obvious, no."
"O sea, mi la envidia, que es mentira de mí, es 0%, pero calles fáciles de manejar, gimnasio. Yo que voy a la sede más concurrida de smartphones del mundo entero. Todas las máquinas disponibles.","I mean, my envy, which is a lie on my part, is 0%, but easy-to-drive streets, a gym. I'm going to the busiest smartphone headquarters in the entire world. All machines available."
