Text_Chunks,Translation_to_ENG
Érase una vez. Un par de damitas que día a día se preguntaban a sí mismas. Soy una histeriquilla o él es un eneje. Por lo que decidieron crear este contenido para desmenuzar sus historias y las de otras damitas y damitos con la única finalidad de entretenerlos y siempre conscientes de que no poseen la verdad absoluta. 5 432.,Once upon a time. A couple of little ladies who asked themselves questions every day. I'm a hysteric or he's a creep. So they decided to create this content to break down their stories and those of other ladies and gentlemen with the sole purpose of entertaining them and always aware that they do not have the absolute truth. 5 432.
"Holi, Holi, Holi, Holi, Holi, Holi, Holi, Holi, Hermana, respeta la versión original es. Que la estoy respetando, pero le estoy dando un plus. Porque esta es la segunda temporada.","Holi, Holi, Holi, Holi, Holi, Holi, Holi, Holi, Sister, respect the original version. That I am respecting her, but I am giving her a plus. Because this is the second season."
"¿Oye este qué? ¿Qué les pareció el intro, Eh? ¿Ah, alto nivel, alto nivel, no? Nosotros empezamos esta segunda temporada echando la casa por la ventana. La. Verdad es que nosotras hemos querido estar estando mejorando, hemos querido estando mejorando y pues nada más y nada menos que colaborar con personas tan talentosas.","Hey this what? What did you think of the intro, huh? Ah, high level, high level, right? We started this second season with a bang. The. The truth is that we have wanted to be improving, we have wanted to be improving and nothing more and nothing less than collaborating with such talented people."
"Está bien que te precioso el güey coyote. Besotes en Tu cola Santiago Besotes en tu coliflor, olguita olguita besotes también la verdad. Muchísimas gracias porque son personas bien talentosas. Les vamos a poner aquí sus redes sociales para que vayan y los sigan para que les digan gracias.","It's good that you love the cool coyote. Kisses on your tail Santiago Kisses on your cauliflower, olguita olguita kisses the truth too. Thank you very much because you are very talented people. We are going to put their social networks here so that they can go and follow them so that they can say thank you."
"Gracias porque las damitas histeria. ¿No sería nada sin ustedes? Bárbaras bárbaras y como se podrán dar cuenta, también cambiamos un poco el SET. Cambiemos un poco este SET. Ah, no, este. La idea es que vaya cambiando poco a poco también para ustedes este, pero pues de momento ya nos estamos viendo las caras.","Thank you because the little ladies are hysteria. Would it be nothing without you? Barbarian barbarians and as you can see, we also changed the SET a little. Let's change this SET a little. Oh no, this one. The idea is that this will change little by little for you as well, but for now we are already seeing each other's faces."
"Sí, gracias gracias a doctor. Simi a mi tío doctor Simi personal de la persona este porque nos regaló esto simis nos mandaron estos directamente de las oficinas directamente de las oficinas. Nada más que chinos, hermana. No, no, no, no, no traigo.","Yes, thank you thank you doctor. Simi to my uncle doctor Simi personal of the person this because he gave us this simis they sent us these directly from the offices directly from the offices. Nothing but Chinese, sister. No, no, no, no, I don't bring it."
"Astaretes yo y son las versiones originales de nuestras primeras muñecas. Gracias, gracias tío, este eres mi tío favorito. Oigan, pero este este este día tenemos un tema muy especial, muy polémico.","Astaretes and I are the original versions of our first dolls. Thank you, thank you uncle, this is my favorite uncle. Hey, but this this this day we have a very special, very controversial topic."
"Pero bien medio. A un capítulo más de yo soy un histórico y abuelo es un NG, yo soy vero y yo soy bárbara. Y ahora sí, ahora sí traemos un tema, un. Tema, un temazo muy polemicoso, muy de chismecito, muy de chismecito.","But very average. One more chapter from I am a historical and grandfather is a NG, I am true and I am barbaric. And now yes, now we do bring a topic, a. Topic, a very controversial topic, very gossipy, very gossipy."
"Vamos a empezar así, fuertes, fuertes, por favor. Dieron ese. Baile, la verdad no supera tu baile de los cangrejos. Su hermana es de. Siempre va a llevar un lugar especial en mi corazón, como ustedes saben, pero no está mal, no está mal.","Let's start like this, strong, strong, please. They gave that one. Dance, the truth is no better than your crab dance. Her sister is from. She will always have a special place in my heart, as you know, but she's not bad, she's not bad."
"Tú baile jocosón. Tú baile, yo creo que cada capítulo voy a hacer un nuevo baile. Ay, Ay, Ay. A ella no le basta con la poesía. Ella quiere llenarnos de arte este programa este. Programa, oigan, muchísimas gracias también porque esos son regalos que nos dieron.","Your playful dance. You dance, I think that every chapter I am going to do a new dance. Ay ay ay. Poetry is not enough for her. She wants to fill us with art in this program. Program, hey, thank you very much also because those are gifts they gave us."
"Los fans, ese letrero, nosotros lo teníamos guardado desde el Halloween, desde el Halloween nos lo regaló una de nuestras fans y estás estos 2 que ven aquí atrás nos los dio una chica en Bogotá. Entonces, muchas gracias. Gente talentosa, no estamos rodeado de gente talentosa y nosotras nada más diciendo puras tonteras.","The fans, we had saved that sign since Halloween, since Halloween it was given to us by one of our fans and these two that you see back here were given to us by a girl in Bogotá. So, thank you very much. Talented people, we are not surrounded by talented people and we are just talking nonsense."
"Pero bueno, muchas gracias por llenar de arte. ¿Por llenar de arte este arte? Y ahora sí les vamos a contar cuál es el tema de esta semana, nada más y nada menos que la. ¿Reincidencia y a qué nos referimos con la reincidencia, que es la reincidencia? Es cuando te reencuentras con tu ex y dices, ay.","But hey, thank you very much for filling us with art. For filling this art with art? And now we are going to tell you what this week's topic is, nothing more and nothing less than. Recidivism and what do we mean by recidivism, what is recidivism? It's when you meet your ex again and say, oh."
"Porque cuando vuelves a cometer ese delito de reencontrarte con ese viejo amor viejo. Amor. Ese viejo amor, hermana tú cuando reincidiste. Híjole, hace no mucho, pero o sea, tampoco fue que me arrepintiera solo las cosas no funcionaron, pero que me arrepintiera un ex que de plano.","Because when you commit that crime again of meeting that old old love again. Love. That old love, sister, you when you relapsed. Son, not long ago, but I mean, it wasn't that I regretted it, it was just that things didn't work out, but that an ex completely regretted it."
"Reincidí, pues fíjate que siempre siempre me llevé, siempre me llevé muy bien. ¿El premio mayor es que todos mis ex novios no?","I relapsed, well notice that I always got along, I always got along very well. The biggest prize is that all my ex boyfriends don't?"
"Fíjate que no. O sea tal cual como reincidencia no, pero sí hace no mucho llegue a tener una plática con uno de mis ex. Pero no me arrepentí, fue linda la platica, o sea, fue una. Platica, bueno, pero tener una platica no es reincidir.","Note that no. In other words, not as a recidivism, but not long ago I had a talk with one of my exes. But I didn't regret it, the talk was nice, I mean, it was one. Talk, well, but having a talk is not recidivism."
"Sí, sí, sí, no, no, fíjate. Que no, no es incidido. O sea, tuve un novio en la prepa ajá, tuve un novio en la prepa, pero pues de esos novios así de nunca pasó nada ni nada por el estilo y hace el año pasado el último semestre que yo creo del año pasado.","Yes, yes, yes, no, no, look. No, it is not affected. I mean, I had a boyfriend in high school, huh, I had a boyfriend in high school, but nothing like that ever happened with those boyfriends or anything like that and last year was the last semester that I think was last year."
"Nos reencontramos, nos encontramos, pero tampoco es como de arrepentirme, la verdad, solo ahí. O sea, tú vives la vida sin arrepentimiento. La vida sin arrepentimientos creo que sí, es que debería, me lo voy a tapar. ¿Pero no creo que te no creo que sea tanto como que te tengas que arrepentir arrepentir, pero sí te dejo una lección, sabes?","We meet again, we meet, but it's not like I regret it, really, just there. In other words, you live life without regrets. Life without regrets I think so, I should, I'm going to cover it up. But I don't think it's as much as that you have to repent, but I do teach you a lesson, you know?"
"¿Es que sabes qué? ¿Yo creo que o sea el problema de los ex OOA veces lo que tenemos con los ex es que tienes este ideal, no de hubiera sido si yo no hubiera hecho esto, si yo no hubiera hecho lo otro y ya si lo ves tiempo después, o sea, yo sí veo mi relación de hace 10 años, digo, no hubiera hecho esto, pero pues porque ahora soy la vero adulta de esta edad, sabes?","Do you know what? I think that is the problem with exes. OO Sometimes what we have with exes is that you have this ideal, it wouldn't have been if I hadn't done this, if I hadn't done that other thing and if you see it some time later I mean, I do see my relationship from 10 years ago, I mean, I wouldn't have done this, but because now I'm the real adult of this age, you know?"
"Pero si me vuelven a regresar a esa edad, volvería hacer lo mismo, entonces creo que es más una onda fantástica. ¿De yo hubiera reaccionado de esta forma, que es lo que realmente puede llegar a pasar, pero es que no, fíjate que tal cual como reincidencia y si no? No, pues ustedes saben que yo no tengo exces, pero pero si han visto, cuando fuimos a verdadasos con nicho y apenas lo volví a contar con las de sin la sin pelos en los labios este, yo tuve ahí una mala experiencia con muchachon y luego pasó que, o sea, ya me había hecho sentir mal.","But if they bring me back to that age, I would do the same thing again, so I think it's more of a fantastic vibe. Would I have reacted this way, which is what can really happen, but no, notice that as a recidivism and if not? No, well you know that I don't have excesses, but you have seen, when we went to real ones with a niche and I barely told it again with the ones from without the hair on the lips this one, I had a bad experience there with boyon and Then it happened that, I mean, he had already made me feel bad."
"Ya me había rechazado, ya me había hecho sentir el peor gusano del universo. Y luego sucedió que nos fuimos a los 15 años de la hermana de vero. Eran los 15 años de la hermana de vero del perro.","He had already rejected me, he had already made me feel like the worst worm in the universe. And then it happened that we left Vero's sister at the age of 15. It was the dog's sister's 15th birthday."
"Eran los 15 años del. Perro, los 15 años del perro. Y este y en esa fiesta fue él y fue otro amigo y este chavo que me hizo sentir la peor porquería del mundo. Este estaba ahí y se puso borrachísimo, pero de verdad pedísimo, o sea, luego estaba ahogado y no sé si tú te acuerdas, pero el vato estaba cuando invitaron a un grupo a tocar.","It was 15 years of. Dog, the 15 years of the dog. And this and at that party it was him and it was another friend and this guy who made me feel the worst shit in the world. This guy was there and he got really drunk, but really drunk, I mean, then he was drowned and I don't know if you remember, but the guy was there when they invited a group to play."
"¿Y él ya estaba tan borracho que les gritaba, le estaba gritando a las cantantes del grupo y les decía, Bájense, perras y todo mundo, así como Güey, qué te pasa entonces este güey que ya estaba muy borracho? ¿Pues ya de repente este medio guapa de nuevo, al parecer no, entonces empezó ahí como de no y se me acercaba y me abrazaba y yo era como, pues yo no quería, sabes?","And he was already so drunk that he was yelling at them, he was yelling at the singers in the group and telling them, Get off, bitches and everyone, just like Guy, what's wrong with this guy who was already very drunk? Well, suddenly she's kind of pretty again, apparently not, then she started there like no and she came up to me and hugged me and I was like, well, I didn't want to, you know?"
"Pero también pasa esta cosa que dices. No quiero por mi dignidad, pero quiero demostrarme que si puedo, si no quiero por mi dignidad. Pero hay otra parte que es tu cuerpo, que es tu tu calocha que manda a veces sobre sobre la razón, no es que sabes.","But this thing you say also happens. I don't want it for my dignity, but I want to show myself that I can, if not I want it for my dignity. But there is another part that is your body, that is your calocha that sometimes rules over reason, not that you know."
"¿Qué la calocha es fuerte? O sea, a mí me echo estragos. Tomar decisiones. Muy erróneas, erróneas. ¿Entonces es esta esta parte de donde dices, sé que no tengo que hacerlo, pero qué hago con esta parte en donde?","That the calocha is strong? In other words, it ruins me. Take decisions. Very wrong, wrong. So is this this part where you say, I know I don't have to do it, but what do I do with this part where?"
"¿Pues porque yo lo veía y dice, es que sí, me gusta mucho, sabes? Y está aquí queriendo volver cuerpo a mis brazos. No lamer mi axila. Lo más erótico y este.","Well, because I saw it and said, yes, I like it a lot, you know? And he is here wanting to return his body to my arms. Don't lick my armpit. The most erotic and this."
"Y pues nada, o sea, se me acercó y estaba ahí como sobres, sobres sobres yo al principio sí estaba muy incómoda, inclusive otro de nuestros amigos, este alfi se acercó y dijo, como de y haber ya güey. Ya me basta basta. ¿Y yo todavía le dije al fi así como de no, no, no todo bien, todo bien, sabes?","And well, nothing, I mean, he approached me and was there like envelopes, envelopes, envelopes. At first I was very uncomfortable, even another of our friends, this alfi came up and said, like, oh, well, now, cool. Enough is enough for me. And I still told him like no, no, not everything okay, everything okay, you know?"
"¿Y ya después, ya hacia el final, pues sí, sí, nos dimos unos becerros, no? Sí, nos dimos unos becerros. Estaba ahí mi mejor amigo, mi mejor amigo, nada más me veía a lo lejos, se me hacía. Ay, bárbara. Sí. ¿Que necesidad no? Y el día ya el estúpido y al día siguiente este me acuerdo que le conté a otro amigo, un ex de vero precisamente, y le dije, como no, pues pasó esto esto y él me dijo, así como eres estúpida, o sea, de verdad no te quieres ni 2 pesitos, y fue como que se calle también, YY pues sí.","And later, towards the end, well yes, yes, we gave each other some calves, right? Yes, we gave each other some calves. My best friend was there, my best friend, as soon as he saw me from a distance, he seemed to me. Oh, barbara. Yes. What need, right? And that day he was stupid and the next day I remember that I told another friend, an ex actually, and I told him, of course, well, this happened and he told me, just like you're stupid, I mean, You really don't even want 2 pesos, and it was like he shut up too, And And well yes."
"O sea, la verdad es que. ¿No me arrepiento porque también hubo una parte de mí que dijo, o sea, lo hiciste por no sentirte rechazada de nuevo, sabes? Pero por otro lado dije, no había ninguna necesidad.","I mean, the truth is that. I don't regret it because there was also a part of me that said, I mean, you did it so you wouldn't feel rejected again, you know? But on the other hand I said, there was no need."
"¿Sabes es que también, o sea, el otro día estaba justamente hablando con una amiga YY yo le decía, no de de un sujeto, un sujeto con el cual pues no, no salía en medio unos besucones hace hace unos meses y este?","Do you know that also, I mean, the other day I was just talking to a friend and I told her, not about a guy, a guy with whom, well, no, I didn't go out kissing a few months ago and this one?"
"Y que yo decía, es que pues vaya. O sea como que cuando yo lo veía o algo así era como ay. ¿Entonces muchas veces yo me frenaba porque decía, qué tanto de verdad quiero? Porque tengo ganas y que tanto es para demostrarme que si puedo no.","And what I said, well, let's go. I mean, when I saw him or something like that, I was like, oh. So many times I stopped myself because I said, how much do I really want? Because I have the desire and how much it is to show myself that if I can, I can't."
"Entonces viene esta disyuntiva, no, que que que justamente lo veía en una serie. ¿Que deseaba, hay que pensar como hombres, no, no, sí, así lo decía la serie no yo este y decía, hay que pensar como hombres, entonces Ah, pues nada más, es como, Ah, pues hoy me acuesto contigo, pues porque yo quiero, porque tuve ganas sin tener nada que ver, na, na, na, na, na, na, na y la morra hace según eso y termina mal porque es como por qué lo hice no?","Then this dilemma comes, no, I just saw it in a series. What did you want, you have to think like men, no, no, yes, that's what the series said, not me here and said, you have to think like men, then Ah, well nothing more, it's like, Ah, well today I'm going to sleep with you Well, because I want to, because I felt like it without having anything to do with it, na, na, na, na, na, na, na and the girl does it according to that and it ends badly because it's like, why did I do it, right?"
"Y terminas toda arrepentida. ¿Entonces yo le decía justo a mi amiga me recordó justo la serie y yo le decía, es que qué tanto de verdad? Yo sí quería o qué tanto era para demostrarme que sí podía. Sí. Y que creo que eso pasa mucho con los ex, o sea, mucho. También queremos demostrar que no éramos nosotros, que era la otra persona que era la otra persona.","And you end up all sorry. So I said to my friend that the series just reminded me and I said to her, how real is it? I did want it or how much it was to show myself that I could. Yes. And I think that happens a lot with exes, I mean, a lot. We also want to show that it wasn't us, that it was the other person who was the other person."
"¿Y también es otra que hemos hablado constantemente el ego? Sí, el ego. Y es como el regresaste Papito Chulo. Sí, porque inclusive esa no fue La Última Vez que me besoqué de Bato, o sea, hubo todavía una más, creo, nada más.","And is it also another thing that we have constantly talked about the ego? Yes, the ego. And that's how you came back Papito Chulo. Yes, because that wasn't even the last time I kissed Bato, that is, there was one more, I think, nothing more."
"Donde nos dimos igual, un un nada más fue uno, nada más nos dimos un becerro ajá YY ni siquiera fue como no. O sea, creo, de ese es el que menos me arrepiento, porque esa última vez que nos besamos para los 2 fue como ya. Psiquiatra.","Where we didn't give each other the same thing, a nothing more was one, we just gave each other a calf aha And And it wasn't even like no. I mean, I think, that's the one I regret the least, because that last time we kissed for both of us was like already. Psychiatrist."
"¿Sí, ya como que nos dimos cuenta que ya lo ya ya estaba muy forzado, no? Sí, ya fue como o sea de verdad de dar el beso YY separarse y decir ya ya no, verdad, no, ya ya. Sí, me caí, que eso también sirve. Ajá. Creo que eso también sirve, o sea darte cuenta.","Yes, we kind of realized that it was already very forced, right? Yes, it was like really giving the kiss AND separating and saying no more, right, no, no more. Yes, I fell, that works too. AHA. I think that also helps, that is, realizing it."
"OO, sea cuando estás con un ex y te digo, es mucho la idealización de qué pasaría si nos volvemos a ver de qué pasaría si tengo, y muchas veces necesitamos esa última plática o ese último beso, según nosotros. ¿Pero de verdad, no, no? ¿Todos necesitan un cierre, Eh?","OO, whether when you are with an ex and I tell you, there is a lot of idealization of what would happen if we see each other again, what would happen if I have, and many times we need that last talk or that last kiss, according to us. But really, no, no? Everyone needs closure, huh?"
"No, no es que lo necesitemos. Es que las pinches películas nos han mal acostumbrado. O sea, ojo, hay películas a ver Disney. Por qué no haces una Disney en donde en donde llores no y termines ahí llorando por tu ex ayer. Ayer estaba viendo una película, ayer estaba viendo una película mala.","No, it's not that we need it. It's just that the fucking movies have gotten us used to it. I mean, be careful, there are Disney movies to watch. Why don't you do a Disney where you don't cry and end up there crying for your ex yesterday. Yesterday I was watching a movie, yesterday I was watching a bad movie."
¿Mal ni me acuerdo cómo se llamaba lo mala que estaba la película y al final yo dije excelente y final y luego lo arruinaron y es en es esta chava que regresa a casa de su abuela YY quiere salvar una granja o una cosa así y se enamora y después El Chavo le dice como El Chavo vive allá y el el güey le dice como quédate y ella le dice no puedo porque mis sueños no están aquí y mis sueños están allá donde yo estaba no?,"I don't even remember what the name was, how bad the movie was and at the end I said excellent and final and then they ruined it and it's this girl who returns to her grandmother's house and wants to save a farm or something like that and she falls in love and then El Chavo tells her how El Chavo lives there and the guy tells her how to stay and she tells him I can't because my dreams are not here and my dreams are there where I was, right?"
"¿Es como tú tienes tus sueños aquí, yo no te pediría que los abandonaras no, mis sueños están allá y yo dije, Güey, excelente speech, sabes? ¿O sea como de pues no, o sea, nos la pasamos increíble, pero pues mis, mi vida está en otro lado, no? Y el videos es crecer y al final.","Is it like you have your dreams here, I wouldn't ask you to abandon them, no, my dreams are there and I said, Wow, excellent speech, you know? I mean, well no, I mean, we had an incredible time, but well, my life is somewhere else, right? And the videos are growing and at the end."
"Al final sí, la chava está en su trabajo o súper pro y demás y dice como Ay, no, pues sí me regresó acá a la granja, no, y es como no, no, cálmate, yo ya estaba así de que ella y cono y de repente, Ah, cállate, iba a ser un único bueno de la película. Dije no, ni el dicho final me gustó.","In the end yes, the girl is at work or super pro and so on and she says like Oh, no, well she did return me here to the farm, no, and it's like no, no, calm down, I was already like that, she and cone and suddenly, Oh, shut up, it was going to be a good only movie. I said no, I didn't even like the final saying."
