Text_Chunks,Translation_to_ENG
"Un hombre va a buscar al viejo amor de su vida hasta su casa, pero cuando llega descubre que está en la cama con otro sujeto, pero no está muy seguro si la chica es la mujer que ama u otra persona, por lo que intentará descubrir de qué se trata. Volvió por ella, ya que hace muchos años se prometieron algo. Él escribió su teléfono en un billete y lo perdió en la inmensa ciudad y ella escribió sus datos en un libro y lo dejó a la suerte.","A man goes to look for the old love of his life at his house, but when he arrives he discovers that she is in bed with another guy, but he is not very sure if the girl is the woman he loves or someone else, so he will try to find out. What is it about. He came back for her, since many years ago they promised each other something about her. He wrote her phone number on a bill and lost it in the immense city and she wrote her information in a book and left it to chance."
"Si vuelven Asus manos es porque el destino siempre los ha querido juntos. Ambos agarran el mismo par de guantes, pero yo era tan amablemente. Se lo sucede a la chica, sin embargo ella los rechaza pensando que hay otro para en la tienda, pero sus expresiones cambian cuando una empleada les informa que esos son los últimos en existencia.","If they return to their hands it is because destiny has always wanted them together. They both grab the same pair of gloves, but I was so kind. He passes it on to the girl, however she rejects them thinking that there is another one in the store, but her expressions change when an employee informs them that those are the last ones in existence."
"Jonathan le dice al señor que los guantes son un regalo para alguien especial y la mujer se une a la conversación fingiendo conocer a Jonathan para persuadir al comprador. Sin embargo, su tía se viene abajo cuando el señor pregunta para quién es el regalo, a lo que los 2 responden. Esta situación los divierte, así que continúan con su malísima actuación, que ya parece más un chiste, lo que los hace pasar un momento divertido.","Jonathan tells the man that the gloves are a gift for someone special and the woman joins the conversation, pretending to know Jonathan to persuade the buyer. However, her aunt breaks down when the man asks who the gift is for, to which the two respond. This situation amuses them, so they continue with their very bad performance, which now seems more like a joke, which makes them have a fun time."
"Al final el señor No les cree nada, pero aún así les deja los guantes. Jonathan le cede los guantes a la mujer y a cambio le pide que vayan por un café, a lo que la chica acepta encantada. La chica lo lleva a su cafetería favorita llamada Serendipia, que es también su palabra favorita, tanto por su sonoridad como por su significado, el cual es un accidente afortunado.","In the end Mr. No believes them at all, but he still leaves them the gloves. Jonathan gives the woman the gloves and in exchange asks her to go get a coffee, to which the girl happily accepts. The girl takes him to her favorite coffee shop called Serendipity, which is also her favorite word, both for its sound and its meaning, which is a lucky accident."
"Algo un poco irónico porque esta joven dice no creer en los accidentes, ya que piensa que todo lo que sucede en nuestras vidas pasa por una razón, ya que el destino está detrás de todo. Jonathan se sorprende por la creencia de su nueva amiga en un destino predeterminado y sin alternativas, por lo que le pregunta más, a mí me gusta pensar que eso a lo que la gente llama destino o universo es o son la serie de factores o sucesos aleatorios sobre los que no tienes control que te ponen en situaciones específicas.","Something a little ironic because this young woman says she does not believe in accidents, since she thinks that everything that happens in our lives happens for a reason, since destiny is behind everything. Jonathan is surprised by his new friend's belief in a predetermined destiny without alternatives, so he asks her more. I like to think that what people call destiny or universe is or are the series of factors or events random ones that you have no control over that put you in specific situations."
"A veces desembocan en situaciones muy generales como el clima pero otras en escenarios muy específicos como es el caso de estos 2 aquí en el destino acaba de juntar con qué intención bueno eso estamos por ver, la conversación se vuelve interesante y entretenida, despertando una intensa atracción entre ambos. Esta conexión me parece que va más allá de lo sensual, parece más algo romántico, es como si ambos anhelan congelar el tiempo para seguir explorando el universo del otro, pero ambos saben que los 2 tienen pareja, así que esto solo queda como una cena de amigos.","Sometimes they lead to very general situations such as the weather but other times to very specific scenarios as is the case of these 2 here in the destination just put together with what intention well that we are about to see, the conversation becomes interesting and entertaining, awakening an intense attraction between both. This connection seems to me to go beyond the sensual, it seems more romantic, it is as if they both long to freeze time to continue exploring each other's universe, but they both know that they both have a partner, so this only remains as a dinner of friends."
"O no la idea de no volver a ver esta chica, bruma, Jonathan, así que cuando salen del lugar intenta ser una jugada arriesgada. La acompaña hasta el taxi y le pide su número porque puede que en algún momento en la vida, pero la chica se detiene y le dice lo siguiente, si estamos destinados a encontrarnos, nos encontraremos.","Or not the idea of ​​never seeing this girl again, haze, Jonathan, so when they leave the place it tries to be a risky move. He walks her to the taxi and asks for her number because she may at some point in her life, but the girl stops and tells him the following, if we are destined to meet, we will meet."
"No le dice que no porque no le parezca atractivo, sino porque ambos tienen pareja y no le parece el momento adecuado. En eso ella se detiene, sonríe, se acerca a su rostro y simplemente le da un beso en la mejilla. Se marcha en el taxi dejando a nuestro buen Johnny desilusionado y algo molesto.","She doesn't say no because she doesn't find him attractive, but because they both have a partner and it doesn't seem like the right time. At that she stops, smiles, approaches her face and simply gives her a kiss on the cheek. She leaves in the taxi, leaving our good Johnny disappointed and somewhat upset."
"Recordemos que él no cree en el destino, ni en las señales, ni en que ya todo está escrito, por lo que las acciones de la mujer le parecen absurdas. De cuenta de que olvidó su bufanda, Jonathan vuelve a la cafetería y por una dulce coincidencia, esta mujer también había regresado por sus guantes olvidados. Al encontrarse de nuevo sus rostros se iluminan con sonrisas de alivio y alegría debido a que nunca quisieron irse.","Let us remember that he does not believe in destiny, nor in signs, nor that everything is already written, which is why the woman's actions seem absurd to him. Realizing that he forgot her scarf, Jonathan returns to the cafeteria and by a sweet coincidence, this woman had also returned for her forgotten gloves. When they meet again, their faces light up with smiles of relief and joy because they never wanted to leave."
"Ella toma este segundo encuentro como una señal, por lo que esa misma noche patinan en hielo y se abren más el uno con el otro película preferida, país de origen y hasta posición favorita en la cama. Pero a pesar de toda esta confianza que están creando, por alguna extraña razón la mujer no le ha revelado su nombre a Jonathan.","She takes this second meeting as a sign, so that same night they ice skate and open up more to each other's favorite movie, country of origin, and even favorite position in bed. But despite all this trust they are building, for some strange reason the woman has not revealed her name to Jonathan."
"A pesar de esto continúan teniendo una noche increíble y con momentos de tensión bastante intensos, aunque estos nunca concluían una noche tan buena que la chica decide escribirle su nombre y número de teléfono a Jonathan, pero cuando está por tomar la información, un camión le arranca la hoja de las manos y lo mezcla entre cientos de papeles más.","Despite this, they continue to have an incredible night and with quite intense moments of tension, although these never concluded such a good night that the girl decides to write her name and phone number to Jonathan, but when she is about to take the information, a truck stops her. He tears the sheet from her hands and mixes it among hundreds of other papers."
"Jonathan comenta que fue un accidente y le pide que lo vuelva a escribir, pero lo que yo ni ve como un simple accidente. La mujer lo toma como una señal del universo indicándoles que se aparte por lo que se niega a escribirlo de nuevo esta manera de ver las cosas hace que Jonathan esté a punto de lo que ser pero en eso a la joven se le aún más descabellada.","Jonathan comments that it was an accident and asks him to rewrite it, but I don't even see it as a simple accident. The woman takes it as a sign from the universe telling them to move away, so she refuses to write it down again. This way of seeing things makes Jonathan on the verge of what to be, but in that way the young woman finds it even more crazy."
"Le da un billete de 5 USD, una pluma y le pide a Johnny que escriba su nombre y número. Jonathan no se lo puede ni creer, pero aún así sigue la indicación haciendo que ese billete pase de ser uno igual que cientos de miles a uno único. Un puente hasta Jonathan con una sonrisa llena esperanza, ella toma el billete y lo usa para comprar algo en una tienda cercana.","He gives him a $5 bill, a pen, and asks Johnny to write his name and number. Jonathan can't even believe it, but he still follows the instructions, making that bill go from being one of hundreds of thousands to a unique one. A bridge to Jonathan with a hopeful smile, she takes the ticket and uses it to buy something at a nearby store."
Este billete termina en manos de un desconocido destinado a perderse en algún rincón de la inmensa ciudad. La chica le dice que si vuelve Asus manos lo llevará a Johnny. Esto le parece algo injusto así que para equilibrar la balanza su nueva amiga saca de su bolsa el libro Amor en tiempos de cólera.,"This ticket ends up in the hands of a stranger destined to get lost in some corner of the immense city. The girl tells him that if he returns to her hands she will take him to Johnny. This seems somewhat unfair to her, so to balance the scales, her new friend takes the book Love in Times of Anger out of her bag."
Esta es una copia igual que otras miles pero le promete que mañana le escribe Asus datos y lo venderá en una tienda de segunda mano creando así una dinámica similar a la del billete antes de que Jonathan se empiece a arrancar el cabello por la desesperación la mujer lo mete a un hotel en donde le indica que ambos entren a un elevado diferente y seleccionen un piso al azar si coinciden es porque están destinados a estar juntos yo ni piensa que está loca pero la chica le dice sólo tienes que tener fe en el destino Antes de que los elevadores se cierren.,"This is a copy like thousands of others but he promises that tomorrow Asus will write him data and will sell it in a second-hand store, thus creating a dynamic similar to that of the bill before Jonathan starts pulling out his hair in desperation. She puts him in a hotel where she tells him to both go to a different elevator and select a floor at random. If they match, it's because they are destined to be together. I don't even think she's crazy, but the girl tells him you just have to have faith in destiny. Before the elevators close."
"Ella arroja la Bolsa Roja en donde vienen los guantes y le revela que su nombre es Sara. No le da apellidos ni información adicional. Finalmente las puertas se cierran y aunque no sé si por coincidencia o destino, ambos seleccionan el piso 23. Mientras el ascensor sube. Johnny se da cuenta de que en la Bolsa sólo hay un guante, ya que la chica se quedó con el otro.","She throws the Red Bag the gloves come in and reveals that her name is Sara. She doesn't give him last names or additional information. Finally the doors close and although I don't know if by coincidence or destiny, they both select the 23rd floor. While the elevator goes up. Johnny realizes that there is only one glove in the Bag, since the girl kept the other one."
"En eso un padre con su hijo, quién simbólicamente está disfrazado de diablo, entran al ascensor. El Niño empieza a presionar todos los botones, lo que retrasa el ascensor de su destino y molesta mucho a John. Las puertas de Sara se abren primero y al ver que no hay nadie decide esperar con ilusión a que este misterioso hombre que acaba de mover su mundo aparezca, pero por mucho que espero Jonathan nunca llega.","At that, a father with his son, who is symbolically dressed as a devil, enter the elevator. The Kid starts pressing all the buttons, delaying the elevator from its destination and greatly annoying John. Sara's doors open first and seeing that there is no one there, she decides to wait with excitement for this mysterious man who has just moved her world to appear, but no matter how much she waits, Jonathan never arrives."
"Bueno, en realidad sí lo hace pero ante la desilusión Sara opta por tomar un ascensor para bajar al mismo tiempo que Jonathan sale al mismo piso solo que ninguno de los 2 se da cuenta del otro la chica sale del edificio y siguiendo una corazonada, Jonathan también va a la calle busca entre otras chicas con el cabello similar creyendo que podrá encontrarlas pero sus esfuerzos son en vano Jonathan REG su casa sin esta extraordinaria mujer, sin su nombre completo, sin su dirección y sin su número de teléfono.","Well, actually he does, but in the face of disappointment, Sara opts to take an elevator to go down at the same time that Jonathan goes out to the same floor, only that neither of them notices the other. The girl leaves the building and, following a hunch, Jonathan He also goes out on the street looking for other girls with similar hair, believing that he will be able to find them, but his efforts are in vain. Jonathan REG finds his house without this extraordinary woman, without her full name, without her address and without her telephone number."
"Este encuentro dejó en la mente de Jonathan una especie de obsesión, ya que a pesar de que ahora pasaron muchos años de ese encuentro de tener pareja y estar a tan solo 5 días de su boda, su esperanza se reaviva. Cada vez que ve la portada de ese libro lo abre y revisa entre sus páginas con esperanza de que el destino finalmente se alinee y lo guíe hacia ella.","This meeting left a kind of obsession in Jonathan's mind, since even though many years have passed since that meeting of having a partner and being only 5 days away from his wedding, his hope is rekindled. Every time he sees the cover of that book he opens it and looks through the pages of it in hopes that fate will finally align and guide him to it."
"Sara, por otro lado, sigue viviendo en San Francisco y es terapeuta, pero parece que su forma de pensar ha cambiado radicalmente, cosa que vemos en la respuesta que le da un paciente. Este le cuenta que dejó ir a su alma gemela porque no se atrevió a dar el siguiente paso a lo que Sara responde, quizás proyectándose que no le gusta el término alma gemela porque implica un elemento mágico sobre el que no se tiene control como el destino comenta que esas creencias nos impiden hacer el trabajo real así es parece que Sara ahora ha dejado de creer en el destino y ha construido una vida con una manera de pensar menos mágica que antes pero eso no es lo más importante lo interesante aquí es que Sara también está comprometida de hecho su pareja le acaba de pedir matrimonio y ella muy feliz aceptó.","Sara, on the other hand, still lives in San Francisco and is a therapist, but it seems that her way of thinking has changed radically, which we see in the response that a patient gives her. He tells her that he let his soulmate go because he did not dare to take the next step, to which Sara responds, perhaps projecting that she does not like the term soulmate because it implies a magical element over which one has no control, such as destiny. comments that these beliefs prevent us from doing real work, so it seems that Sara has now stopped believing in destiny and has built a life with a way of thinking that is less magical than before, but that is not the most important thing, the interesting thing here is that Sara She is also engaged, in fact her partner has just asked her to marry him and she very happily accepted."
"Sin embargo, cuando su prometido trata de colocarle el anillo, este no le entra y hasta la lástima situación que la Sara de antes hubiera interpretado como una señal, pero ahora ya no le da importancia. Jonathan Jonathan, por su parte, no solo busca sar en los libros, sino que también reacciona cada vez que hoy es su nombre, esperando ver si es ella.","However, when her fiancé tries to put the ring on her, it does not fit and even the unfortunate situation that Sara from before would have interpreted as a sign, but now she no longer gives it importance. Jonathan Jonathan, for her part, not only looks for sar in the books, but also reacts every time it is her name today, waiting to see if it is her."
"Después del trabajo se encuentra con una estilista llamada Sara y en un taxi escucha una canción que menciona el mismo nombre. Agobiado, agobiado por estas constantes coincidencias, visitas a su mejor amigo para desahogarse sobre cómo el universo no para de restregarle Asus Sara en la cara. Tan está pensando en ir a buscarla, pero su amigo le recuerda que su boda es en tan solo 3 días y que no tiene sentido arriesgar su relación por algo así.","After work he meets a stylist named Sara and in a taxi he listens to a song that mentions the same name. Overwhelmed, overwhelmed by these constant coincidences, you visit his best friend to vent about how the universe keeps rubbing Asus Sara in his face. He is thinking about going to look for her, but her friend reminds him that her wedding is in just 3 days and that there is no point in risking her relationship for something like that."
"Johnny está consciente de esto y sabe que realmente ama a su prometida, pero por todas las señales que el universo le está dando, siente que debe de buscar a Sara antes de casarse, por lo que le pide ayuda a su amigo para encontrar ese libro y a pesar de que sabe que es casi imposible, este acepta. Es así como Johnny depp se embarcan en una búsqueda exhaustiva por todas las librerías de Nueva York.","Johnny is aware of this and knows that he really loves his fiancée, but because of all the signs that the universe is giving him, he feels that he should look for Sara before getting married, so he asks his friend to help him find that book. and even though he knows it is almost impossible, he accepts. This is how Johnny Depp embarks on an exhaustive search through all the bookstores in New York."
"En este momento podemos observar que John pasó de ser alguien muy escéptico en los temas del destino a creer en él que hasta interpretar sus señales. Para mí esto puede ser una expresión de la necesidad de emocional y esperanza que John tiene. El encuentro de aquella noche lo dejó verdaderamente marcado y con ganas de estar con Sara, pero encontrarla buscándola a ella o al libro es una tarea prácticamente imposible, por lo que ante la imposibilidad de encontrarla por métodos tradicionales, a John solo le queda confiar en el destino.","At this moment we can see that John went from being someone very skeptical about destiny to believing in it and even interpreting its signs. To me this may be an expression of the emotional need and hope that John has. The meeting that night left him truly marked and wanting to be with Sara, but finding her by searching for her or the book is a practically impossible task, so given the impossibility of finding her by traditional methods, John can only trust in destiny."
