Text_Chunks,Translation_to_ENG
"Bueno, bienvenidos una vez más a cero miligramos, un espacio para hablar de salud mental. En este capítulo vamos a hablar de fobias y es uno de los temas que más me llamaba la atención hacer a mí, porque yo tengo metofobia, que fobia, vomitar y mucha gente me dijo que se dio cuenta que también la tenía cuando me escuchó a mí contarlo.","Well, welcome once again to zero milligrams, a space to talk about mental health. In this chapter we are going to talk about phobias and it is one of the topics that caught my attention the most, because I have metophobia, what a phobia, vomiting and many people told me that they realized they also had it when they listened to me. me tell it."
"Por eso creo que en este capítulo vamos a descubrir fobias que ni siquiera sabemos que existen y voy a estar acompañado por Diego. Topa. Conductor, Marisa Torre alday, coordinadora de fobia club Liliana.","That's why I think that in this chapter we are going to discover phobias that we don't even know exist and I will be accompanied by Diego. Topa. Driver, Marisa Torre alday, Liliana phobia club coordinator."
"Psiquiatra y también por Gustavo Bustamante, psicólogo especialista en fobias. ¿Bueno, cómo está Gustavo? Muy bien, muchas gracias. Bueno, malditación Gustavo es el Presidente de la fundación fobia club, quiero que sepas que yo mucha, mi mamá muchas veces me dijo Te voy a llevar a fobia club y no, no, no terminaba yendo, yo tengo tengo fobia también mucho tiempo tuve como AA viajar, pensaban que era el avión, pero no era el avión, era estar lejos de mi casa entonces y de grande.","Psychiatrist and also by Gustavo Bustamante, psychologist specializing in phobias. Well, how is Gustavo? Well thank you very much. Well, damn Gustavo is the President of the phobia club foundation, I want you to know that I, my mother many times told me I'm going to take you to the phobia club and no, no, I didn't end up going, I have a phobia too for a long time. like AA traveling, they thought it was the plane, but it wasn't the plane, it was being far from my home then and when I grew up."
"Bueno, desarrollé una una fobia a vomitar. Hoy la la sigo padeciendo a niveles altísimos, así que me parecía justo, muy interesante hablar con vos. Siempre investigué mucho de fobia club y bueno, ahí tengo la oportunidad de tenerte ya acá te tenemos acá.","Well, I developed a phobia of vomiting. Today I still suffer from it at very high levels, so it seemed fair, very interesting to talk to you. I always researched a lot about club phobia and well, there I have the opportunity to have you and here we have you here."
"Mira lo si la escuchaste a tu mamá. ¿Un poco más es cierto, gus? Quiero preguntarte. ¿Primero, qué es una fobia? Una fobia es un miedo, pero es un miedo irracional, desmedido, desproporcionado.","Look if you listened to your mom. A little more is true, gus? I want to ask you. First, what is a phobia? A phobia is a fear, but it is an irrational, excessive, disproportionate fear."
"A veces la gente dice, tengo fobia a usar tales colores y después lo ves con ese color puesto. No puede ser una sensación de rechazo, de molestia, de incomodidad, de e inclusive hasta de asco, pero una fobia es mucho más.","Sometimes people say, I have a phobia of wearing such colors and then you see him with that color on. It cannot be a feeling of rejection, annoyance, discomfort, or even disgust, but a phobia is much more."
"¿Por qué? Porque primero la persona tiene una reacción totalmente desmedida cada vez que se enfrenta a ese objeto OA ese animal OA esa situación, por ejemplo, pensemos subir un ascensor. Y a partir de ahí desarrolla conductas que son de evitación, dice.","Because? Because first the person has a totally excessive reaction every time he faces that object OR that animal OR that situation, for example, let's think about going up an elevator. And from there he develops behaviors that are avoidant, he says."
"Bueno, yo no voy a ir por el ascensor, voy por la escalera o yo no quiero ir a un lugar donde hay perros, mejor me quedo en casa, evito esa reunión y empieza un factor cognitivo que es estar anticipándose siempre.","Well, I'm not going to take the elevator, I'm going to take the stairs or I don't want to go to a place where there are dogs, I better stay at home, I avoid that meeting and a cognitive factor begins, which is always anticipating."
La ansiedad está hacia el futuro y la fobia es un trastorno de ansiedad. Entonces siempre está pensando cómo evitar el riesgo de contacto justo con ese objeto o situación. ¿Y se sabe como bosque hace cuántos años que está con folio club?,Anxiety is towards the future and phobia is an anxiety disorder. So you are always thinking about how to avoid the risk of contact with that object or situation. And do you know how many years has it been with a club folio?
"27 años. O sea, ha visto todo tipo de fobias, me imagino muchas, muchísimas. ¿Has visto gente con con fobia del vómito como tengo? Yo tengo pacientes. Ah, mira al día de hoy lo que me interesa. Esto tengo pacientes tengo, pero lo lo interesante es que hay profesionales, hay colegas.","27 years. I mean, she has seen all kinds of phobias, I imagine many, many. Have you seen people with a vomiting phobia like I have? I have patients. Ah, look at today what interests me. I have patients, but the interesting thing is that there are professionals, there are colleagues."
"Hay un montón de personas que bueno, lo ocultan durante mucho tiempo hasta que un día vienen y buscan también, Claro, pero por lo general vienen a los 30 años el promedio, Claro, y uno piensa todo lo que perdieron. ¿Porque la fobia te hace perra de calidad de vida, situaciones, no?","There are a lot of people who, well, hide it for a long time until one day they come and look for it too, of course, but they usually come at the average age of 30, of course, and you think about everything they lost. Because the phobia makes you a bitch of quality of life, situations, right?"
"Así que sí. Sí, bueno, terminamos esto y me sumo a follar. Bien. Al club sí, escúchame y se sabe. Como cuándo se origina, o sea, cuál es, cómo nace una fobia o de dónde viene una fobia o por qué una persona sí, o sea, desarrolla una fobia.","So yes. Yes, well, we finish this and I join in to fuck. Good. To the club yes, listen to me and let it be known. Like when it originates, that is, what it is, how a phobia is born or where a phobia comes from or why a person does, that is, develop a phobia."
"Cada caso es muy particular y hay algunos que lo vienen desarrollando muy prematuramente. En la primera infancia aparecen reacciones. Son chicos por ahí, hipersensibles, temerosos. Que perciben su ansiedad en forma desmedida.","Each case is very particular and there are some that develop it very prematurely. Reactions appear in early childhood. They are kids out there, hypersensitive, fearful. Who perceive their anxiety excessively."
"Entonces aparece un estímulo y empiezan a tener la descarga. Por ejemplo, aparece un sapito en el medio del campo y ya les genera mucha angustia, mucha preocupación y a partir de ahí empieza la fobia. Otros tienen un origen traumático.","Then a stimulus appears and they begin to have the discharge. For example, a little frog appears in the middle of the field and it already causes a lot of anxiety, a lot of worry, and from there the phobia begins. Others have a traumatic origin."
