Text_Chunks,Translation_to_ENG
"Queridos míos, el siguiente tema, de verdad que me parece fascinante, así que te invito a que te quedes. Es muy relevante las relaciones humanas. Estoy hablando de la delgada línea que existe entre una persona intensa y una persona tóxica. A primera vista parece que no hay diferencias.","Dear ones, the next topic really seems fascinating to me, so I invite you to stay. Human relationships are very relevant. I'm talking about the fine line that exists between an intense person and a toxic person. At first glance it seems that there are no differences."
"Es muy difícil distinguirles, de hecho, porque ambas personas pueden mostrar comportamientos que son extraordinariamente similares. Sin embargo, en este vídeo pues quiero hablar de algunas diferencias que son fundamentales. Que son muy importantes, sobre todo comprender porque esto nos va a llevar, pues a establecer límites que sean saludables en las interacciones de nuestro día a día vamos a visitar, pues este espejismo.","It is very difficult to tell them apart, in fact, because both people can display behaviors that are extraordinarily similar. However, in this video I want to talk about some differences that are fundamental. That are very important, especially to understand why this is going to lead us, well, to establish limits that are healthy in our day-to-day interactions, we are going to visit, well, this mirage."
"Estas 2 caras de una misma moneda o 2 notas de una misma partitura en las relaciones humanas cuando suenan estas 2 notas crean una melodía, pero hay sutiles y cruciales diferencias que son de enorme ayuda en tu vida, así que vamos a hablar primero de los intensos, bien.","These 2 sides of the same coin or 2 notes of the same score in human relationships when these 2 notes sound they create a melody, but there are subtle and crucial differences that are of enormous help in your life, so let's first talk about the intense, good."
"Pues los intensos los vas a ubicar porque se dejan ir de hocico, lo hacen sin reservas, se meten en las relaciones de forma muy profunda, se se se se sumergen a lo más hondo de una relación similar atrás es intenso a los 2 días, a los 3 días, las palabras del intenso están cargadas de fuego, tienen una energía muy vibrante, pero no es incómoda.","Well, you're going to find the intense ones because they let themselves go, they do it without reservation, they get into relationships very deeply, they dive into the depths of a similar relationship, it's intense after 2 days, After 3 days, the words of the intense one are loaded with fire, they have a very vibrant energy, but it is not uncomfortable."
"OA lo mejor puede ser incómoda, pero pero te contagia de algo positivo este estos entes pueden tener una risa estruendosa. ¿Este, pero tienen las lágrimas sinceras, estas personas no les da miedo mostrar su vulnerabilidad hecho?","Or maybe it can be uncomfortable, but it gives you something positive because these entities can have a thunderous laugh. This, but they have sincere tears, these people are not afraid to show their vulnerability fact?"
"De hecho, creo que la llevan como si fueran estandartes, no de de de su autenticidad, y este es un punto importante porque la diferencia cuando te encuentras con una figura que es tóxica, pues estas personas tienen un impacto negativo de forma, pues.","In fact, I think they carry it as if they were banners, not of their authenticity, and this is an important point because the difference when you meet a figure that is toxic, because these people have a negative impact in a way, well."
"Muy profunda porque porque tienen un efecto muy lento, tienen un veneno de efecto lento. Aunque el tóxico puede vivir bajo el disfraz de la intensidad, en su rostro hay una trama siniestra porque en las manos estas personas llevan el egoísmo, llevan la manipulación y es difícil descubrirlas porque son seductoras, porque cuando menos te das cuenta sobre de TI, hay un velo de control.","Very deep because because they have a very slow effect, they have a slow-acting poison. Although the toxic person can live under the guise of intensity, in their face there is a sinister plot because in their hands these people carry selfishness, they carry manipulation and it is difficult to discover them because they are seductive, because when you least realize about yourself, there is a veil of control."
"Estas personas pueden utilizar los regalos para atarte a ellos pueden utilizar la culpa como un grillete, utilizan cualquier tipo de chantaje emocional, como una de las armas más letales ahora. ¿Cómo los diferencia? Creo que la clave está, pues, en la consideración.","These people can use gifts to tie you to them, they can use guilt as a shackle, they use any type of emotional blackmail, as one of the most lethal weapons now. How do you differentiate them? I think the key is, then, in consideration."
"Déjame me explico la capacidad de respetar los límites personales del otro, porque la intensidad, queridos, tú puedes respetar la intensidad porque la porque la intensidad siempre está honrando la autonomía de la otra persona.","Let me explain the ability to respect the personal limits of another, because intensity, dear ones, you can respect intensity because intensity is always honoring the autonomy of the other person."
"En, en cambio, la toxicidad va e invade, se apropia del espacio del otro, o sea, el intenso puede ser alguien que es muy enérgico en su forma de expresarse, de hablar, de caminar, pero siempre va a honrar el derecho de establecer una frontera.","On the other hand, toxicity goes and invades, it appropriates the space of the other, that is, the intense one can be someone who is very energetic in his way of expressing himself, of speaking, of walking, but he will always honor the right of establish a border."
"Por el otro lado, la persona tóxica no acepta un no porque se siente con el derecho a colonizar tu vida. Esta persona digamos que quiere expropiar un territorio que claramente no es suyo y poco a poco se van apoderando de tu diario vivir.","On the other hand, the toxic person does not accept no because they feel they have the right to colonize your life. Let's say this person wants to expropriate a territory that is clearly not his and little by little they take over your daily life."
"Me explico, o sea, se van metiendo con la familia, con los amigos, con la pareja, con el trabajo, con tus hábitos, con tus sueños, con tus deseos, con tus gustos, con la educación van llegando a donde no los invitas. Te marcan sin que sin preguntar se meten donde no tienen injerencia.","Let me explain, that is, they get involved with your family, with your friends, with your partner, with your work, with your habits, with your dreams, with your desires, with your tastes, with education, they go where they don't. you invite They mark you without asking, they get in where they have no influence."
"Estas personas son como la humedad, fíjense, son como la humedad, porque cuando menos te das cuenta volteas a ver y ya están en las entrañas en todos los ámbitos fundamentales de tu vida, porque el tóxico es un parásito y es un parásito que se alimenta del bienestar emocional del otro, se alimenta del huésped y tiene unas maniobras que son macabras, son insidiosas y las puedes ubicar.","These people are like humidity, look, they are like humidity, because when you least realize it you turn to look and they are already in the guts in all the fundamental areas of your life, because the toxic is a parasite and it is a parasite that It feeds on the emotional well-being of the other, it feeds on the host and has maneuvers that are macabre, they are insidious and you can locate them."
"Porque esas maniobras inmediatamente desgastan tu confianza si hay algo que te inyecta ansiedad, te van llevando a un auto sabotaje, digamos, digamos que como tienen un comportamiento manipulador, un comportamiento de cohesión de alguna u otra forma, van socavando también tu paz porque no aceptan un no de tu parte.","Because these maneuvers immediately wear down your confidence if there is something that injects you with anxiety, they lead you to self-sabotage, let's say, let's say that since they have manipulative behavior, a cohesive behavior in one way or another, they also undermine your peace because they don't. They accept a no from you."
"Entonces te van acorralando, no te van haciendo sentirte culpable porque no lo no lo incluiste en la fiesta, no lo invitaste a desayunar, cabrón. Este no le respondiste la llamada cuando ellos te marcaron un día te quieren, otro día te tratan como si fueras un extraño, entonces te van minando, van minando tu confianza, tu autoestima y luego te van a pedir que los aceptes como son.","Then they corner you, they don't make you feel guilty because you didn't include him in the party, you didn't invite him to breakfast, bastard. This one, you didn't answer their call when they called you one day they love you, another day they treat you as if you were a stranger, then they undermine you, they undermine your confidence, your self-esteem and then they are going to ask you to accept them as they are."
"Pero ellos no se aceptan como son. Esto es uno de los puntos o de las banderas más importantes a ubicar. OK, querido. Es esencial, sobre todo recordar que tú y yo, a pesar de que somos, pues un gigantesco mosaico de emociones y de comportamientos YYYY demás.","But they don't accept themselves as they are. This is one of the most important points or flags to locate. Ok darling. It is essential, above all, to remember that you and I, even though we are, are a gigantic mosaic of emotions and behaviors YYYY etc."
"Sí, hay que aceptar que a lo mejor todos podemos tener algún momento o tintes que no son buenos, que pueden caer en la toxicidad, pero creo que es en el patrón, es en la persistencia, es es en donde tú puedes ubicar la tendencia de una acción y ahí eso en donde la verdad se revela, ahí está la verdad, el carácter.","Yes, we must accept that perhaps we can all have some moment or tints that are not good, that can fall into toxicity, but I think it is in the pattern, it is in the persistence, it is where you can locate the tendency of an action and there where the truth is revealed, there is the truth, the character."
"Miren, queridos el el cuidado de nuestras relaciones es nuestra responsabilidad y entiendo que requiere de muchísima atención. Por eso hago este tipo de contenido. Se necesita de mucha sabiduría para establecer límites muy claros y sobre todo, necesitamos encontrar la valentía para protegernos y para proteger estos límites.","Look, dear ones, taking care of our relationships is our responsibility and I understand that it requires a lot of attention. That's why I make this type of content. It takes a lot of wisdom to establish very clear limits and above all, we need to find the courage to protect ourselves and to protect these limits."
