Text_Chunks,Translation_to_ENG
"¿Ya coco cómo está señor de bonita ya va a comenzar su comedia favorita, usted que busca risas estando hoy en casita se me subió el muerto, es la opción que usted necesita? Hágale a la flaquita que grabé estos conjuros que acomode en el audio, no quiere un programa.","Coco, how are you, Mr. Pretty, are you going to start your favorite comedy? You who are looking for laughter when you are at home today, the dead man came up, is this the option you need? Ask the skinny girl that I recorded these spells to accommodate the audio, she doesn't want a program."
"Good morning, My diver señora bonita who we sheat home welcome señora bonita, welcome señor bonito welcome to this program that brings you the joy unit that brings the happiness y required the Joe. Or look in for this of Lost so machine at Jonathan House. Orena ware you are doing your things, hierro. Happy so happy and so contentas you card is yourself señor bonita as you carteras Yourself señor bonita because we old we old look better with is my londface of course yes happy another contentas de care you Mister venido asistente you Mister bonita because we old we old look better with is my longe of course without so welcome to this programmer down payment the man that lock BAT Smith and Face of course do so welcome to this program well day down pay the mant that this is to me.","Good morning, My diver Señora Bonita who we sheat home welcome Señora Bonita, welcome Señor Bonito welcome to this program that brings you the joy unit that brings the happiness and required the Joe. Or look in for this of Lost so machine at Jonathan House. Orena ware you are doing your things, iron. Happy so happy and so happy you card is yourself Mr. Bonita as you wallets Yourself Mr. Bonita because we old we old look better with is my londface of course yes happy another happy to care you Mister come assistant you Mister Bonita because we old we old look better with is my longe of course without so welcome to this programmer down pay the man that locks BAT Smith and Face of course do so welcome to this program well day down pay the mant that this is to me."
"Wow, yo no sabía que Iván era británico. Yo yo siempre he hablado. ¿Así contigo, sí, sí, sabes qué se nota de la Visa? Sí, no, no, güey. Sí estuvo impresionante güey 2 días en Harmon Hall y.","Wow, I didn't know Ivan was British. I have always spoken. So with you, yes, yes, do you know what is noticeable about the Visa? Yeah, no, no, dude. Yes it was awesome guy 2 days at Harmon Hall and."
Desde. Que me dieron la Visa como que me se me arregló tantito el momento. Nada más era cosa de pronunciación. Mayito. Como de cómo pronunciar la I la EY así. La isla y la con eso ya tienes.,From. They gave me the Visa as if the moment was sorted out for me a little bit. It was nothing more than a matter of pronunciation. Mayito. Like how to pronounce the I the EY like that. The island and with that you already have.
"O sea, ya tienes eso, ya tienes esto del idioma en tu vida, ya ven. Pero para los que no entendieron bienvenidos, ajá. Este para los que no hablan inglés, que son la gran mayoría de mexicanos que no tienen. Visa, Mister bonito y señora Bonita. Dije, Bienvenidos.","I mean, you already have that, you already have this language thing in your life, you see. But for those who didn't understand, welcome, aha. This is for those who do not speak English, which is the vast majority of Mexicans who do not have one. Visa, Mister Bonita and Mrs. Bonita. I said, Welcome."
Obviamente esto no fue hecho con un audio sobrepuesto de alguien que lo hizo con inteligencia artificial. ¿Cómo y te limpieza natural? Como este todo el audio macho perfectamente con mi gesticulación.,Obviously this wasn't done with an audio overlay from someone who did it with artificial intelligence. How do you clean yourself naturally? Like this all the male audio perfectly with my gesticulation.
"Así que eso no fue hecho por Juan caballero y lo subió al Grupo de Facebook. Esto no fue. Así va a aparecer, doblaje de documental Güey. Estábamos todos muy aterrados de lo que podría. Pasar se. Quede callado para que siguiera el audio y un yo así. Pero bienvenidos bienvenidas a este bonito programa que se llama CM up el DEAD.","So that was not done by Juan Caballero and he uploaded it to the Facebook Group. This was not. This is how it will appear, Güey documentary dubbing. We were all very terrified of what could happen. Pass it. I remained silent so that the audio could continue and a me like that. But welcome welcome to this beautiful program called CM up el DEAD."
"Claro que sí, nada. No, nada. O sea, es que esto se está haciendo para atrapar público anglosajón. Ajá. Exactamente entonces. Sí, próximamente en. Anglas Ojania. Sería justo, ajá, sí, sí.","Of course, nothing. No, nothing. In other words, this is being done to catch the Anglo-Saxon public. AHA. Exactly then. Yes, coming soon. Anglas Ojania. It would be fair, aha, yes, yes."
"Claro que nos da mucha gente de allá de Angusania. Eh, porque. Nosotros no mensajes de cuándo vienen anglosajonia. Fíjate que no. Nada más, nada de Colima. Ah, pues ahí a la Vueltita haz de cuenta. Cerquita de Colima, ahí.","Of course we get a lot of people from over there in Angusania. Uh, because. We do not messages when they come Anglo-Saxony. Note that no. Nothing more, nothing from Colima. Ah, well, there at the Vueltita, pretend. Close to Colima, there."
"Está anglosajón, bien. Pero este de todos modos, mientras llegan los mensajes de Anglasomania este recuerden que tenemos ya varias fechas, ya se está llenando la segunda de Tijuana y la y ahí va, ahí va empezando la segunda de San Luis.","It's Anglo-Saxon, good. But anyway, while the messages from Anglasomania arrive, remember that we already have several dates, the second one in Tijuana is already filling up and the second one in San Luis is starting."
