Text_Chunks,Translation_to_ENG
"Antes de empezar, queremos contarles que tenemos una nueva publicación en nuestra editorial. Se trata el cuento caperucita al mar de la escritora Ximena Escobar. En esta historia, la famosa Caperucita Roja se cansa del mismo cuento de siempre y se vuela a buscar aventuras en otros libros.","Before starting, we want to tell you that we have a new publication in our publishing house. This is the story Little Red Riding Hood to the Sea by the writer Ximena Escobar. In this story, the famous Little Red Riding Hood gets tired of the same old story and leaves to seek adventures in other books."
"Si quieren disfrutar esta historia con los chinches de la casa, revisen nuestro Instagram para que pillen esa belleza y escríbanos para toda la información. Todo el. Mundo dice.","If you want to enjoy this story with the bed bugs in the house, check out our Instagram to catch that beauty and write to us for all the information. All the. World says."
"Esto es relatos ñeros, un podcast alisoso que cuenta historias del barrio. Los techos. Pues pilla manito.","This is ñero stories, a smooth podcast that tells stories from the neighborhood. The roofs. Well, get your hand."
"Esta historia comienza ya hace 1 año. Como para estas fechas, resulta que nosotros en mi combo somos 8, pero siempre los reales somos 5, que son el chompas, el dientón, el gomelo, el pirulo y yo caliche. Nosotros somos los que coleccionamos gorra, vieja guardia, nos portamos los techos, hija, somos los más creídos de los conjuntos.","This story begins 1 year ago. As for these dates, it turns out that there are 8 of us in my combo, but the real ones are always 5, which are the chompas, the dientón, the gomelo, the pirulo and me caliche. We are the ones who collect hats, the old guard, we are the ones who hold our own, daughter, we are the most confident of the groups."
"Nosotros 5 siempre hemos sido muy visajosos con nuestros techos por todo el 20 de Julio. El dientón siempre lleva una gorra de Linux algo caleto, un león azul re hermoso que Salta en el aire como cazando el chompas. Tenía una 3 colores del Dallas, un equipo de fútbol americano que tiene una estrella azul reazarosa.","The 5 of us have always been very careful with our roofs throughout July 20th. The toothy guy always wears a somewhat warm Linux cap, a beautiful blue lion that jumps in the air as if hunting the sweater. He had a 3-color of Dallas, an American football team that has a random blue star."
"El Gómez lo usaba una sencilla de los indians, nada nuevo, blanco con rojo. El pirulo llevaba un grafo de los riders algo caletísimo, era un blanco con negro y yo vivía. Era orgulloso de una firma, también de los raiders, un equipo requerido por la gente esa.","Gómez was wearing a simple one from the Indians, nothing new, white with red. The guy had a very hot riders' graph, he was black and white and I lived. He was proud of a firm, also of the raiders, a team required by those people."
"Y la de los hornets era la que más me tramaban. Un día el pirulo me pidió uno de mis techos prestado. No le vi el problema y se la presté una de las más amadas, la que tenía el logo de los hornets con una abeja rebotando en un balón de básquet re hermosa.","And the one about the hornets was the one that plotted me the most. One day the pirulo asked me to borrow one of my roofs. I didn't see the problem and I lent him one of the most beloved ones, the one with the Hornets logo with a bee bouncing off a beautiful basketball."
"Esa gorra era 1000 de 1000. ¿Es que las gorras son un tema serio en estos lares? Pillé que muchas veces se hacen intercambios por los grupos de Facebook, se venden, se compran o se cambian. Aunque de vez en cuando uno pilla alguna pintica con una gorra rechimba y pues se le decía.","That cap was 1000 out of 1000. Are caps a serious issue in these parts? I found that many times exchanges are made through Facebook groups, they are sold, bought or exchanged. Although from time to time one catches a pint with a squealing cap and well, that's what they said."
"Uy, soy yo sin palabras, era gorra, ñerito sin palabras yo. Y yo me mandaba a quitárselas a lo mal hecho. Y varias veces también me tiraban a quitarme la mía, pero sin dañar a nadie. Porque últimamente han cogido la de matar a los socios por una gorra y pues no aguanta así.","Oops, it's me without words, it was a cap, I'm stupid without words. And I ordered myself to take them away from what was done badly. And several times they also pulled me to take mine off, but without harming anyone. Because lately they have taken to killing their partners for a cap and it can't stand it like that."
"No es por eso está resonando la frase, más trueques, menos muertes. Es que el trueque tiene su magia, pille, uno va caminando los portales o en la calle y uno le dice al man qué le ofrece por la gorra que lleva puesta y así.","That is not why the phrase, more bartering, less deaths, is resonating. Bartering has its magic, you know, you walk through the doorways or on the street and you tell the man what you're offering him for the cap he's wearing and so on."
"Se negocia y se hace el intercambio, pero no faltan los pirobos que salen con raras, sobre todo los de soacha, los de usme y los de ciudad Bolívar como los de este cuento.","Negotiations are made and exchanges are made, but there is no shortage of compliments that come out with oddities, especially those from Soacha, those from Usme and those from Ciudad Bolívar like the ones in this story."
"Resulta que el pirulo se fue para ciudad Bolívar y este a verse con una falda y pasó que entre cuatro chinos le quitaron ese techo. El que más me gustaba y el huevón llega en la noche. Ahí al parque donde estábamos todo el combo llega y me mira, yo lo vi con la cara de sarao de que no sabía qué hacer.","It turns out that the pirulo went to Bolívar City and he was going to see himself in a skirt and it happened that four Chinese people took that roof off of him. The one I liked the most and the bastard arrives at night. There at the park where we were, the whole combo arrives and looks at me, I saw him with the sarao face that he didn't know what to do."
"Calicheñero, me robaron el techo. Todos los de combo preguntamos cómo fue la vuelta. Resulta que el pirulo se fue reconfiado a verse con la nena, ella se llamaba Nicole y el pirulo lo había conocido en un validadero en la décima. Ya llevaban meses dándose piquitos y viéndose por ahí.","Calicheñero, they stole my roof. All of us from the combo asked how the return was. It turns out that the pirulo went out of his confidence to meet the girl, her name was Nicole and the pirulo had met him in a street corner on the tenth. They had been hanging out and seeing each other for months now."
"La cosa es que Nicole lo cito en un callejón en molinos y ahí fue donde le salieron los cuatro manes con cuchillos. Bájese del techo, gonorrea. Y paila lo pusieron a perder delante de la China y con gorra prestada cuando el Pirulo nos acaba de contar, ya todos sabíamos lo que había que hacer en estos casos.","The thing is that Nicole met him in an alley in mills and that's where the four men with knives came out. Get off the roof, gonorrhea. And they made him lose in front of China and with a borrowed cap when Pirulo just told us, we all already knew what had to be done in these cases."
