Text_Chunks,Translation_to_ENG
"Buenas, el episodio de hoy parece un poco falopa y puede que lo sea, pero yo les juro que es muy interesante. Se habla muchísimo del triángulo de las Bermudas y tiene, como todo un misticismo, el triángulo de las Bermudas, pero al mismo tiempo como que si bueno, qué carajo me importa.","Hello, today's episode seems a bit lame and it may be, but I swear it's very interesting. There is a lot of talk about the Bermuda Triangle and it has, like a whole mysticism, the Bermuda Triangle, but at the same time it's like, well, what the hell do I care."
"O sea, está bien el triángulo de las Bermudas, blablablá, pero tampoco es algo que que en lo que piense demasiado seguido. Pero después de estar investigando sobre este tema, encontré la respuesta ponele a lo que pasa en el triángulo de las Bermudas.","I mean, the Bermuda triangle is fine, yadda yadda, but it's not something I think about too often either. But after researching this topic, I found the answer to what happens in the Bermuda Triangle."
"YM, aquí el capítulo se va a dividir en distintas fases. La primera parte es qué carajo es el triángulo de las Bermudas, tipo zonas geográficas que ocupa y etcétera. ¿La segunda es casos famosos que sucedieron en el triángulo de las Bermudas, la tercera, cómo nació tipo, cómo se hizo conocido?","YM, here the chapter is going to be divided into different phases. The first part is what the hell the Bermuda Triangle is, what geographical areas it occupies and etc. The second is famous cases that happened in the Bermuda triangle, the third, how was this type born, how did it become known?"
"Cuarta teorías falopas tipo explicaciones que empezaron a surgir, que algunas nada, ya no van a escuchar. ¿Quinto, teorías científicas y quinto, ya está, se termina en el quinto teoría científica y explicaciones científicas de por qué pasan estas cosas en el triángulo de las Bermudas?","Fourth falopa theories type explanations that began to emerge, some of which are nothing, they are no longer going to listen to. Fifth, scientific theories and fifth, that's it, does it end in the fifth scientific theory and scientific explanations of why these things happen in the Bermuda triangle?"
"¿Bueno, punto número uno, qué carajo es el triángulo de las Bermudas? La explicación geográfica es que es un triángulo literal que se forma entre la punta de las Islas Bermudas, Puerto Rico y Miami, en Estados Unidos, y forman un área de un triángulo equilátero de 1100000 km².","Well, point number one, what the hell is the Bermuda triangle? The geographical explanation is that it is a literal triangle that is formed between the tip of the Bermuda Islands, Puerto Rico and Miami, in the United States, and they form an area of ​​an equilateral triangle of 1100,000 km²."
"O sea, es terriblemente grande aprox. El tamaño de Colombia y es una zona que es conocida por las Corrientes del Golfo, que son las Corrientes un tanto particulares. Por un lado ayudan a la navegación, hace que sea más rápido transitar por esa zona, pero también es verdad que. Tiene cierta tendencia a traer tormentas un poco fuertes y ustedes pueden decir, bueno, qué carajo me importa un triángulo en el medio del mar, que ni siquiera es un triángulo marcado tipo es un triángulo ficticio que dijo, la gente tipo uno está a punta con esta punta y esta punta.","I mean, it's terribly big, approx. The size of Colombia and it is an area that is known for the Gulf Streams, which are somewhat particular Currents. On the one hand, they help with navigation, it makes it faster to travel through that area, but it is also true that. It has a certain tendency to bring a little strong storms and you can say, well, what the hell do I care about a triangle in the middle of the sea, which is not even a marked triangle type is a fictitious triangle that said, type one people are on point with this tip and this tip."
¿Por qué me interesaría aprender sobre este tema? Lo que hace famoso al triángulo de las Bermudas es que es conocido por ser un lugar en el medio del mar en el que suceden desapariciones un tanto sospechosas. Hay un montón de casos de barcos o aviones que desaparecían sin dejar absolutamente ningún rastro.,Why would I be interested in learning about this topic? What makes the Bermuda Triangle famous is that it is known for being a place in the middle of the sea where somewhat suspicious disappearances happen. There are plenty of cases of ships or planes disappearing without leaving any trace behind.
"¿Que a la gente poco a poco le empezó a asomar la atención porque dijeron, Che, qué carajo está pasando? ¿Por qué están pasando estas cosas en esta zona del mar? ¿Qué tiene esta zona del mar que hace que desaparezcan de la nada barcos y aviones inmensos? Y bueno, vamos a arrancar con el caso más conocido, que es con el que empezó prácticamente todo esto y nos remontamos al 05/12/1000. 9455 bienes de la marina de Estados Unidos empezaron a sobrevolar la zona ya por arriba del mar y por la radio empezaron a comunicarse con la central y diciendo, Che, me parece que está pasando algo el mar está raro, no podemos usar nuestras brújulas.","That little by little people began to notice it because they said, Che, what the hell is happening? Why are these things happening in this area of ​​the sea? What is it about this area of ​​the sea that makes huge ships and planes disappear out of nowhere? And well, let's start with the best-known case, which is the one that practically all of this started with and we go back to 12/05/1000. 9,455 assets of the United States Navy began to fly over the area already above the sea and through the radio they began to communicate with the headquarters and saying, Che, it seems to me that something is happening, the sea is strange, we cannot use our compasses."
"Y estamos totalmente perdidos, en algún momento nos vamos a quedar sin combustible y nos vamos a caer al mar y chau vida de la central, le contestan y le dice, Bueno, fíjense, vayan para el oeste, no sé qué bla bla bla. La la y el show le dice, no, no podemos usar las brújulas tipo no sabemos dónde estamos, no podemos, no tenemos idea qué qué hacer y en un momento determinado la conexión se corta, no se pueden comunicar más con los marines, estos que están volando y mandan un avión de rescate a buscarlos, el avión era el Martín Mariner que acudió a rescatarlos y ninguno de esos 6 aviones, ni el que salió a rescatarlos, ni los otros 5 aparecieron jamás.","And we are totally lost, at some point we are going to run out of fuel and we are going to fall into the sea and goodbye to the plant, they answer him and say, Well, look, go west, I don't know what blah blah blah. La la and the show tells him, no, we can't use the compasses, we don't know where we are, we can't, we have no idea what to do and at a certain moment the connection is cut off, they can't communicate with the marines anymore, they They are flying and they send a rescue plane to look for them, the plane was the Martín Mariner that came to rescue them and none of those 6 planes, nor the one that went out to rescue them, nor the other 5 ever appeared."
"Desaparecieron de la faz de la Tierra los 5 aviones enormes y las 27 personas que los habitaban. Ahí arrancó todo y después rápidamente algunos casos más. El USS ciclops, que era un barco yanqui, salió el 16/02/1009 18 desde Río de Janeiro, hizo algunas paradas más y por fin el 4 de marzo salió definitivamente al mar y a ni a nada el camino que tenían que hacer y desapareció sin dejar ningún rastro.","The 5 huge planes and the 27 people who inhabited them disappeared from the face of the Earth. That's where everything started and then quickly a few more cases. The USS cyclops, which was a Yankee ship, left on 02/16/1009 18 from Rio de Janeiro, made a few more stops and finally on March 4 it definitively went out to sea and nowhere near the route they had to take and disappeared. without leaving any trace."
