Original,gpt4
"When that reality hit, it was like being dunked in ice water with a brick on top of your head.","Cuando esa realidad impactó, fue como si te sumergieran en agua helada con un ladrillo encima de tu cabeza."
"It’s 2009 Alyssa Elliot is sitting at her desk at work, absolutely drowning in anxiety. The mortgage company has been calling and calling the debts and bills are piling up. And this isn’t like Alyssa, who has always done everything by the book. But that doesn’t matter to the debt collectors, the courts, even the people she’s confiding in, someone has to be held responsible. Even if that person only had the best intentions.","Estamos en 2009, Alyssa Elliot está sentada en su escritorio en el trabajo, absolutamente ahogándose en ansiedad. La compañía hipotecaria ha estado llamando una y otra vez, las deudas y facturas se están acumulando. Y esto no es típico de Alyssa, que siempre ha hecho todo según las reglas. Pero eso no importa para los cobradores de deudas, los tribunales, incluso las personas en quienes confía, alguien tiene que ser responsable. Aunque esa persona solo tuviera las mejores intenciones."
"You say things like I couldn’t have foreseen that this would happen, but like I really couldn’t. At the time I was in my early 20s I was young. I didn’t think that this would be what happens to me.","Dices cosas como que no podría haber previsto que esto sucedería, pero realmente no podía. En ese momento estaba en mis veintitantos años, era joven. No pensé que esto me sucedería a mí."
"This is Last Day, a show about the moments that change us. I’m your host Stephanie Wittels Wachs. Today, the story of a decision that became $100,000 mistake, and how to make peace with that once you’re finally able to come up for air.","Este es Last Day, un programa sobre los momentos que nos cambian. Soy tu anfitriona Stephanie Wittels Wachs. Hoy, la historia de una decisión que se convirtió en un error de $100,000, y cómo hacer las paces con eso una vez que finalmente puedes respirar tranquilo."
"Alyssa grew up in Boise, Idaho with her mom, dad and sister and for all of you non Midwesterners,","Alyssa creció en Boise, Idaho con su mamá, papá y hermana y para todos ustedes que no son del Medio Oeste,"
That is with an S not a Z biggest pet peeve.,"Eso es con una S y no una Z, mi mayor molestia."
"Alyssa is childhood in Boise with an S not a , Z, those were the good days, at least in hindsight.","La infancia de Alyssa en Boise con una S y no una Z, esos fueron los buenos días, al menos en retrospectiva."
"I had like what I think, or what I thought looking back was really great like early childhood, my parents were pretty cool and pretty creative. And my mom was one of those moms that everybody was jealous of and really loved. And that was like the coolest mom, she would, you know, bring treats to school and be really involved with like activities and crafts and fun stuff like that. And she was part of my girl scouts and you know, just the stuff that moms do when they’re really involved with their kids and it was off.","Tuve, como lo que creo, o lo que pensaba mirando hacia atrás, fue realmente una gran infancia temprana, mis padres eran bastante geniales y creativos. Y mi mamá era una de esas mamás de las que todos estaban celosos y realmente amaban. Y era como la mamá más genial, ella traería golosinas a la escuela y participaba mucho en actividades y manualidades y cosas divertidas así. Y ella formaba parte de mis girl scouts y, ya sabes, solo las cosas que las mamás hacen cuando están realmente involucradas con sus hijos y fue increíble."
She was like an early Pinterest mom before.,Era como una mamá de Pinterest antes de tiempo.
"I think she would have been a front runner in the contest click yeah, for sure. But yeah, like one year for my birthday, she forgot my presents. And we would always go camping for my birthday. And she panicked. We were camping two and a half hours from home in the mountains in north central Idaho. So she went to the gift shop at the little campground. And she found all these little tchotchkes and little Bitsy things, and she scavenged her way through the campground and begged of these random strangers to hide some of these presents admits their belongings. So I get to roam around the campground with these little clues. And then every different campsite I came to had a different tiny present that my mom had thought of and I was so excited by the action and the process of the thing that I didn’t even realize these are like ridiculous and stupid presents, like not things that I would have normally expected for a birthday. But it was like the magic of the thing that she had thought to conceive of in this weird circumstance was the best was so great. So that was kind of my mom in a nutshell was awesome.","Creo que ella habría sido una pionera en el concurso, sí, seguro. Pero sí, como un año para mi cumpleaños, se olvidó de mis regalos. Y siempre íbamos de campamento para mi cumpleaños. Y se puso nerviosa. Estábamos acampando a dos horas y media de casa en las montañas en el centro norte de Idaho. Entonces fue a la tienda de regalos del pequeño campamento. Y encontró todos estos pequeños tchotchkes y cositas pequeñas, y se abrió paso por el campamento y suplicó a estos extraños al azar que escondieran algunos de estos regalos entre sus pertenencias. Así que tuve que recorrer el campamento con estas pequeñas pistas. Y cada campamento diferente al que llegaba tenía un regalo pequeño diferente que mi mamá había pensado y estaba tan emocionada por la acción y el proceso de la cosa que ni siquiera me di cuenta de que estos eran regalos ridículos y estúpidos, como no cosas que normalmente habría esperado para un cumpleaños. Pero era como la magia de la cosa que ella había pensado concebir en esta circunstancia extraña lo que era lo mejor y tan genial. Así que esa era mi mamá en pocas palabras, era increíble."
