Original,gpt4
My name is Chloe.,Mi nombre es Chloe.
I’m Sy.,Yo soy Sy.
My name is Mariana.,Mi nombre es Mariana.
I’m Jeffrey.,Yo soy Jeffrey.
"A few months ago, a documentary crew started following me and a few other trans friends around navigating everything from family, relationships, work, and more. There was always a story worth telling.","Hace unos meses, un equipo documental comenzó a seguirme a mí y a unos cuantos amigos trans mientras navegamos todo desde la familia, las relaciones, el trabajo y más. Siempre había una historia que valía la pena contar."
"And that’s what you’re about to hear. You witness moments alongside us, and you’ll get into our heads. On this episode, we follow Chloe.","Y eso es lo que estás a punto de escuchar. Serás testigo de momentos junto a nosotros, y entrarás en nuestras mentes. En este episodio, seguimos a Chloe."
"Because I have so little experience in the dating world for the most part, and I’m just open to all kinds of people.","Porque tengo tan poca experiencia en el mundo de las citas en su mayoría, y estoy abierta a todo tipo de personas."
And we also follow Jeff.,Y también seguimos a Jeff.
"Oh my God, have you not seen that? Everybody’s getting married right now? This is BEING TRANS.","¡Oh Dios mío, no has visto eso? ¿Todos se están casando ahora mismo? Esto es SER TRANS."
"Hey, how are you? My name is Chloe Corcoran. I am a 39-year-old trans woman from Rochester, New York working in higher education in Los Angeles, California.","Hola, ¿cómo estás? Mi nombre es Chloe Corcoran. Soy una mujer trans de 39 años de Rochester, Nueva York, trabajando en educación superior en Los Ángeles, California."
"Oh my god, you play so nice. And you’re watching sport?","Dios mío, tocas tan bien. ¿Y estás viendo deporte?"
"I’m still relatively new to LA and Mariana, Who’s stopping by tonight is one of my first friends here. And she’s introduced me to some other trans people here through her meetup circle. And they’ve been really important in helping me acclimate to my new city. Oh my gosh, what is this","Todavía soy relativamente nuevo en Los Ángeles y Mariana, que viene esta noche, es una de mis primeras amigas aquí. Y ella me ha presentado a algunas otras personas trans aquí a través de su círculo de encuentros. Y han sido realmente importantes para ayudarme a aclimatarme a mi nueva ciudad. Oh Dios mío, ¿qué es esto?"
makeup we can play with makeup?,"¿maquillaje, podemos jugar con maquillaje?"
"Oh my gosh, thank you so much. Oh my gosh, this is fun","Oh Dios mío, muchas gracias. Oh Dios mío, esto es divertido."
"Like I’m seeing you right now. And I’m thinking like when we go out, maybe just a smoky eye. And maybe lips kind of like a nude but very like glossy.","Como que te estoy viendo ahora mismo. Y estoy pensando como cuando salgamos, tal vez solo un ojo ahumado. Y quizás los labios como de un tono nude pero muy brillantes."
"I haven’t done in class, and I haven’t done the wings either. But I’d like to try both.","No he hecho en clase, y tampoco he hecho las alas. Pero me gustaría intentar ambos."
I have a dose and make you feel like so ready to go out? Like a superhero.,Tengo una dosis y te hace sentir tan listo para salir? Como un superhéroe.
Yeah. So how was your week?,Sí. ¿Cómo fue tu semana?
"Last night we had this party. And I’m still recovering. I was still like, oh my god. It was fun. But it was a lot of love a lot […] A lot of good-looking guys around. Shirtless over there. Do you ever go out?","Anoche tuvimos esta fiesta. Y todavía me estoy recuperando. Todavía estaba como, oh Dios mío. Fue divertido. Pero había mucho amor mucho […] Muchos chicos guapos alrededor. Sin camiseta por allá. ¿Alguna vez sales?"
I’ve gone out by myself a few times. Because I don’t know how many people here. So hoping to change that.,He salido solo algunas veces. Porque no conozco a muchas personas aquí. Así que espero cambiar eso.
Are you open to me like people?,¿Estás abierto a conocer gente como yo?
