Original,gpt4
"Something inside me said, go look through his stuff. I don’t know why I can’t explain it to this day, something said, go to his office and look through stuff.","Algo dentro de mí me dijo, revisa sus cosas. No sé por qué, no puedo explicarlo hasta hoy, algo dijo, ve a su oficina y revisa las cosas."
"It’s 2019 and Carrie is standing outside her husband’s office. The doorway is the only thing separating her from the completely normal life she knows, and a secret that will ruin everything.","Es 2019 y Carrie está parada fuera de la oficina de su esposo. La puerta es lo único que la separa de la vida completamente normal que conoce, y un secreto que lo arruinará todo."
Got to bed and slept next to me every night like everything was fine and normal. Like how could I not have seen it? How could I have been so stupid? I have a doctorate For fuck sake. How did I not see this happening right in front of my face.,"Se fue a la cama y durmió a mi lado todas las noches como si todo estuviera bien y normal. ¿Cómo no pude verlo? ¿Cómo pude ser tan estúpida? Tengo un doctorado, por Dios. ¿Cómo no vi esto sucediendo justo frente a mi cara?"
"This is LAST DAY, a show about the moments that change us. I’m Stephanie Wittels Wachs. And today, we have one of the most egregious stories of betrayal you might ever hear. It’s the story of being deceived, manipulated, and swindled by the one person in the world, who vowed to love you forever, how you continue to put one foot in front of the other and start over with nothing.","Este es LAST DAY, un programa sobre los momentos que nos cambian. Soy Stephanie Wittels Wachs. Y hoy, tenemos una de las historias de traición más atroces que podrías escuchar. Es la historia de ser engañado, manipulado y estafado por la única persona en el mundo que juró amarte para siempre, cómo continúas poniendo un pie delante del otro y comienzas de nuevo con nada."
"Carrie met Joe when she was in graduate school studying to get her doctorate in veterinary medicine. And just a few years later, in 2006, they got married.","Carrie conoció a Joe cuando estaba en la escuela de posgrado estudiando para obtener su doctorado en medicina veterinaria. Y solo unos años más tarde, en 2006, se casaron."
"At the beginning, it was I think what anyone would describe their marriage partner. You know, I felt like I had a teammate. I knew I wanted to have children with him. We didn’t see eye to eye on everything. But we had what I thought was good communication. And I loved him. He was fun. Everyone likes hanging out with him. So he was just like a normal guy. Just, that’s how I can best describe it.","Al principio, era lo que creo que cualquiera describiría a su pareja de matrimonio. Sabes, sentía que tenía un compañero de equipo. Sabía que quería tener hijos con él. No estábamos de acuerdo en todo. Pero teníamos lo que yo consideraba una buena comunicación. Y lo amaba. Era divertido. A todos les gustaba pasar tiempo con él. Así que era simplemente como un tipo normal. Así es como mejor puedo describirlo."
Like a good guy.,Como un buen tipo.
"A good guy. Yeah, he was good to his mom, you know, had a relationship with both of his parents liked animals like I did. And, you know, he just seemed like, a good, good person.","Un buen tipo. Sí, era bueno con su madre, sabes, tenía una relación con ambos padres, le gustaban los animales como a mí. Y, sabes, simplemente parecía, una buena, buena persona."
"These two good people fall in love and eventually start a family. Four years after getting married, Carrie gives birth to their daughter. And four years later, their son, Carrie describes Jo as a doting dad, someone who often had more patience for the kids than she did. It was a good balance. But like she said, they didn’t always see eye to eye.","Estas dos buenas personas se enamoran y eventualmente forman una familia. Cuatro años después de casarse, Carrie da a luz a su hija. Y cuatro años más tarde, a su hijo, Carrie describe a Jo como un padre cariñoso, alguien que a menudo tenía más paciencia para los niños que ella. Era un buen equilibrio. Pero como ella dijo, no siempre estaban de acuerdo."
"I am the kind of person that I mean, some people would say overly opinionated if I have a thought if I have a feeling. Let’s just put it out there. Now I want to talk about it now. And I always would joke that Joe had two sides, there was normal Joe, and there was like, unhappy slash angry, and not a lot of range in the emotional field, at least not that he would show. And so if there was ever a disagreement, I would say, I’d like to talk about this. And Joe would be time. But that time always turned into stretching it out so far that then I’d say okay, it’s been three days. We talked about this. Now, I don’t remember what it was about is that would be his response. So something like avoidant things, saying when he he needed time to focus on something, but then in the long run, really just avoiding the discussion. And I would say that was not as major at the beginning, but it was still there. Right. And I think it just grew larger over time.","Soy el tipo de persona que, quiero decir, algunos dirían que es demasiado opinativa si tengo un pensamiento, si tengo un sentimiento. Vamos a hablarlo ahora. Y siempre bromeaba diciendo que Joe tenía dos lados, estaba el Joe normal y estaba el Joe infeliz/enfadado, y no mucha variedad en el campo emocional, al menos no que él mostrara. Y así, si alguna vez había un desacuerdo, diría, me gustaría hablar sobre esto. Y Joe diría que sí. Pero ese momento siempre se extendía tanto que entonces yo diría, está bien, han pasado tres días. Hablamos de esto. Ahora, no recuerdo de qué se trataba, esa sería su respuesta. Así que algo como cosas evasivas, diciendo cuando él necesitaba tiempo para concentrarse en algo, pero que a la larga, realmente solo evitaba la discusión. Y diría que eso no era tan importante al principio, pero aún estaba allí. Correcto. Y creo que simplemente creció con el tiempo."
"Joseph Boyden communication style aside, Carrie and Joe had a pretty typical marriage, and they were able to provide a comfortable life for their kids. Carrie had her accomplished, yet demanding career as a bet. And Joe, meanwhile, worked in the business world, sometimes for global corporations.","A pesar del estilo de comunicación de Joseph Boyden, Carrie y Joe tenían un matrimonio bastante típico y lograban proporcionar una vida cómoda para sus hijos. Carrie tenía su carrera exitosa pero exigente como veterinaria. Y Joe, por su parte, trabajaba en el mundo empresarial, a veces para corporaciones globales."
"From the outside, we look like a very typical family. You know, we were friends with other families. We had couples friends that we hung out with a lot. Everyone thought we were fun. Everyone thought we had a good marriage. I had a friend that said, Oh, I wish I had a marriage like yours. I mean, there were ups and downs. I mean, every marriage has it your marriage you get it. It’s hard work to maintain a long term relationship, whether that’s romantic or otherwise it takes effort, but I feel like overall outwardly we appeared to be a pretty normal run of the mill family of four.","Desde afuera, parecemos una familia muy típica. Sabes, éramos amigos de otras familias. Teníamos amigos en pareja con los que pasábamos mucho tiempo. Todos pensaban que éramos divertidos. Todos pensaban que teníamos un buen matrimonio. Tenía una amiga que decía: Oh, desearía tener un matrimonio como el tuyo. Quiero decir, había altibajos. Quiero decir, cada matrimonio los tiene, tú entiendes. Es un trabajo duro mantener una relación a largo plazo, ya sea romántica o de otro tipo, se necesita esfuerzo, pero siento que en general aparentábamos ser una familia de cuatro bastante normal."
In 2014 In the family moves to a different state. So Joe can work at an even bigger company.,"En 2014, la familia se muda a un estado diferente. Así Joe puede trabajar en una empresa aún más grande."
