Original,gpt4
"1. Hi everybody, it's your old pal Sarah. Over the past few months, there's been a lot of press, a lot of gowns, a lot of things. And I was in a gown.","1. Hola a todos, soy vuestra vieja amiga Sarah. Durante los últimos meses, ha habido mucha prensa, muchos vestidos, muchas cosas. Y yo llevaba un vestido."
"2. So ridiculous. And I had to wear Spanx under it, not for shapewear reasons.","2. Tan ridículo. Y tuve que llevar Spanx debajo, no por razones de modelado corporal."
"3. Not that there's anything wrong with that. But I had to because of my thyroid, because it was a tight dress.","3. No es que haya algo malo en eso. Pero tenía que hacerlo por mi tiroides, porque era un vestido ajustado."
4. And when I can't wear a tight skirt without shorts or something because I get thigh rub and it's real.,4. Y cuando no puedo llevar una falda ajustada sin pantalones cortos o algo así porque me rozan los muslos y es real.
"5. It burns like fire. So I was wearing these Spanx, and then I had to pee.",5. Arde como fuego. Así que llevaba estos Spanx y luego tuve que orinar.
"6. There's a slit in the Spanx that you pull up through a hole, right. And I just thought it would be interesting to mention,","6. Hay una abertura en los Spanx que subes por un agujero, verdad. Y pensé que sería interesante mencionarlo,"
"7. because when you're doing it, so I'm like basically holding a gown in my arms.","7. porque cuando lo estás haciendo, es como si básicamente sostuviera un vestido en mis brazos."
"8. And now I kind of have to move it to one arm, hold everything. And then open up this whole envelope thing at my crotch.","8. Y ahora tengo que moverlo a un brazo, sostener todo. Y luego abrir esta especie de sobre en mi entrepierna."
9. And then I have to have a conversation with myself. Because it feels like you're peeing with pants on.,9. Y luego tengo que tener una conversación conmigo misma. Porque se siente como si estuvieras orinando con pantalones puestos.
"10. And your body's like, ""no"". And I'm like, ""no, trust me"". And my body's like, ""no, there are pants on"".","10. Y tu cuerpo dice ""no"". Y yo digo, ""no, confía en mí"". Y mi cuerpo dice, ""no, hay pantalones puestos""."
"11. And I go, ""no, just relax, trust me, there's an opening"". And I have to relax and coax my urine out.","11. Y digo, ""no, solo relájate, confía en mí, hay una apertura"". Y tengo que relajarme y convencer a mi orina de que salga."
12. That's a lot going on. I have a question to ask you about that.,12. Es mucho lo que está pasando. Tengo una pregunta para hacerte sobre eso.
"13. Okay, go on.","13. Vale, continúa."
"14. When you because I've never been able to do that. Like, I feel like it still gets everywhere. Did you manage a clean pee?","14. Cuando tú porque nunca he podido hacer eso. Como, siento que aún así se va por todas partes. ¿Conseguiste orinar limpiamente?"
"15. Shockingly, I did because usually, my pee doesn't come from one specific place, but I know it comes out from at least three to four different places.","15. Sorprendentemente, sí porque generalmente, mi orina no viene de un lugar específico, pero sé que sale de al menos tres o cuatro lugares diferentes."
16. Because my fear with that is like it goes up and then you're just sitting with a wet crotch for the rest of the night.,16. Porque mi miedo con eso es que sube y luego estás sentada con la entrepierna mojada el resto de la noche.
"17. Yeah, like sometimes I pee in one solid stream. And sometimes it's like a sprinkler.","17. Sí, como a veces orino en un chorro sólido. Y a veces es como un aspersor."
"18. It's literally like, am I watering grass in a nearby area? Totally. Like, yeah.","18. Es literalmente como, ¿estoy regando el césped de una zona cercana? Totalmente. Como, sí."
"19. I mean, does that mean there's a blockage somewhere, like if your faucet goes in different directions?","19. Quiero decir, ¿eso significa que hay un bloqueo en algún lugar, como si tu grifo va en diferentes direcciones?"
"20. Well, I'm sure there's a clinical reason, but it's probably because your labia are stuck together, and it's just deflecting the stream.","20. Bueno, estoy segura de que hay una razón clínica, pero probablemente es porque tus labios están pegados y simplemente desvía el chorro."
"21. Oh my god, wait. So if I pull apart my vulva, my labia majora, that's the sound it makes. It should be a single stream.","21. Dios mío, espera. Entonces, si separo mi vulva, mis labios mayores, ese es el sonido que hace. Debería ser un chorro único."
"22. But you know, if your lips are kind of sealed, I can picture the pee going straight to the back before spreading out.","22. Pero ya sabes, si tus labios están un poco sellados, puedo imaginar que la orina va directamente hacia atrás antes de expandirse."
23. She's dying. We have fun here at the Sarah Silverman podcast.,23. Se muere de risa. Nos divertimos aquí en el podcast de Sarah Silverman.
"24. The moral is, it's so much easier to pee when you're a man. Period.",24. La moraleja es que es mucho más fácil orinar cuando eres hombre. Punto.
