Original,gpt4
"What happened to your daughter, Tiffany? She was murdered. She had just gotten married three months before that. The entire community was in fear. Yes. There's a killer on the loose. Off-word, the girls, they were doing ordinary things. Laura Smith was jogging down the road. If you can remember anything, please contact the police Department. Kelly Cox was going to school. Tiffany Johnson was washing her car at a car wash. Jessica came to just having dinner with some friends. This is just snatching girls up in broad daylight. Then it just happened to cross the path of a serial killer. We could be the next one. There's nothing in this world more powerful or compelling than you're going to find your child. This case has been cold for so long, and there's finally an answer. One, they got from a stunning tape seen in public for the very first time tonight. As you relax and let go, you were turned into hypnosis. He was a pretty much one-man crime freak. You started driving until you found something. Constantly hunting He was a predator on the proud. Sounds like a monster. Four young women disappear in 1997. It's a mystery that baffles investigators and fuels their family's quest for answers for almost 25 years.","¿Qué le pasó a tu hija, Tiffany? Fue asesinada. Se había casado apenas tres meses antes. Toda la comunidad estaba asustada. Sí. Hay un asesino suelto. Sin aviso, las chicas, hacían cosas ordinarias. Laura Smith estaba corriendo por el camino. Si puedes recordar algo, por favor contacta al Departamento de Policía. Kelly Cox iba a la escuela. Tiffany Johnson estaba lavando su auto en un autolavado. Jessica acababa de cenar con unos amigos. Esto es simplemente secuestrar chicas a plena luz del día. Luego, simplemente se cruzaron en el camino de un asesino en serie. Nosotros podríamos ser los siguientes. No hay nada en este mundo más poderoso o convincente que vas a encontrar a tu hijo. Este caso ha estado sin resolver por tanto tiempo, y finalmente hay una respuesta. Una, que obtuvieron de una cinta impresionante vista en público por primera vez esta noche. Mientras te relajas y te dejas llevar, fuiste convertido en hipnosis. Él era prácticamente un loco del crimen solitario. Comenzaste a conducir hasta que encontraste algo. Constantemente cazando. Era un depredador en la proa. Suena como un monstruo. Cuatro mujeres jóvenes desaparecen en 1997. Es un misterio que desconcierta a los investigadores y alimenta la búsqueda de respuestas de sus familias durante casi 25 años."
"The first to vanish is Laura Smither, just 12 years old. What was Laura like? She was a joy. She was so sweet and so caring and so fiercely loyal to all her girlfriends. She was one of my best friends. We spent a lot of time together. Everybody loved Laura. She was just one of those people. I always say she was touched by light because everybody loved her. She was the friend that would come over to your house and make you look bad because she would help put away the dishes after dinner. And Laura wasn't perfect. She was a normal kid, but she was very smart, wickedly smart. She could have done anything. She would have turned 13. She'd been counting down the days for 87 days. She was so excited to become a teenager. In 1997, Friendswood was just a very quiet small town. So we're about halfway between the city of Houston and Galveston. In '97, we had been voted one of the top 10 safest cities in America. Laura lived near the creek, and their house was magical because I would go there and they would always have the computers going, and we could go outside and explore and climb trees.","La primera en desaparecer fue Laura Smither, de apenas 12 años. ¿Cómo era Laura? Era una alegría. Era tan dulce, tan cariñosa y tremendamente leal con todas sus amigas. Era una de mis mejores amigas. Pasamos mucho tiempo juntas. Todos amaban a Laura. Era simplemente una de esas personas. Siempre digo que estaba tocada por la luz porque todos la querían. Era la amiga que venía a tu casa y te hacía quedar mal porque ayudaba a guardar los platos después de la cena. Y Laura no era perfecta. Era una niña normal, pero era muy inteligente, diabólicamente inteligente. Podría haber hecho cualquier cosa. Estaba a punto de cumplir 13 años. Había estado contando los días durante 87 días. Estaba tan emocionada por convertirse en adolescente. En 1997, Friendswood era solo un pequeño pueblo muy tranquilo. Estamos a mitad de camino entre la ciudad de Houston y Galveston. En el '97, habíamos sido votados como una de las 10 ciudades más seguras de América. Laura vivía cerca del arroyo, y su casa era mágica porque yo iba allí y siempre tenían las computadoras encendidas, y podíamos salir a explorar y trepar árboles."
"There wasn't a lot of development in the area. It was a quiet country road. Laura lived on Waredare at the end. And so if we were in the kitchen, you could see right to the end of the road from inside the house. Laura wanted to be a professional ballerina. She had just accepted into the Houston Ballet Academy. Ballet was probably the most important part of her life besides her family. She loved to dance. She was always choreographing little pieces, and she'd put on little plays for us. She started when she was six. She did ballet, tap, and jazz. Wow, for six years. But she just really loved ballet more than anything. Take me back to April third, 1997. What are you doing that morning here? It was a Thursday. Because I'd been out of town, I said, Okay, we'll do Pancakes with Bacon, which was Laura's favorite. She just finished reading a book, and it was all about running and exercise and building your endurance. She felt that if she did that, she could hold her arabesque longer, and it would make her stronger ballet. And her dad was a runner. He ran every day.","No había mucho desarrollo en el área. Era un camino rural tranquilo. Laura vivía en Waredare al final. Y así si estábamos en la cocina, podías ver directamente hasta el final del camino desde dentro de la casa. Laura quería ser una bailarina profesional. Acababa de ser aceptada en la Academia de Ballet de Houston. El ballet era probablemente la parte más importante de su vida además de su familia. Le encantaba bailar. Siempre estaba coreografiando pequeñas piezas y nos hacía pequeñas obras para nosotros. Empezó cuando tenía seis años. Hacía ballet, tap y jazz. Vaya, por seis años. Pero lo que realmente amaba más que nada era el ballet. Llévame de vuelta al 3 de abril de 1997. ¿Qué estabas haciendo esa mañana aquí? Era un jueves. Porque había estado fuera de la ciudad, dije, Ok, haremos Panqueques con Tocino, que era lo favorito de Laura. Ella acabó de leer un libro, y todo era sobre correr y ejercitarse y construir tu resistencia. Sentía que si hacía eso, podría mantener su arabesque por más tiempo y eso la haría una bailarina más fuerte. Y su padre era corredor. Corría todos los días"
"So I granted her permission to go running while we fixed breakfast. And of course, she didn't come back. We knew immediately that something was wrong. Immediately. And we called the police within an hour of that happening. But our top story tonight, she's only 12 years old, and at this hour, she's missing. It made the news that first day. While police concentrate the search near the girls' home, her parents wait and hope. It's just been concentrated here around the house. As far as I know, there are some open fields that she might have run by, and they've searched those areas very thoroughly. She is a very good girl. Something very unusual has happened that she would have been home. Someone had to have taken The search continues this morning for a missing 12-year-old Friendswood girl. Did you see anything unusual at this time yesterday? Nothing. Did you see my daughter? I ended up running the ground search, and I was drinking from my fire hose. Hundreds of people flattered to come help us search, and then it just exploded. Overnight, family, friends blanketed the neighborhood with flyers At daylight, a small army of searchers fanned out.","Así que le permití ir a correr mientras preparábamos el desayuno. Y por supuesto, ella no regresó. Sabíamos inmediatamente que algo andaba mal. Inmediatamente. Y llamamos a la policía dentro de una hora de que eso sucediera. Pero nuestra historia principal de esta noche, ella solo tiene 12 años, y a esta hora, está desaparecida. La noticia salió ese primer día. Mientras la policía concentra la búsqueda cerca de la casa de la niña, sus padres esperan y tienen esperanza. Solo se ha concentrado aquí alrededor de la casa. Hasta donde yo sé, hay algunos campos abiertos por los que ella podría haber pasado corriendo, y han buscado esas áreas muy a fondo. Es una niña muy buena. Algo muy inusual ha sucedido que ella habría estado en casa. Alguien tuvo que haberla llevado La búsqueda continúa esta mañana por una niña de Friendswood de 12 años desaparecida. ¿Viste algo inusual en esta época ayer? Nada. ¿Viste a mi hija? Terminé dirigiendo la búsqueda terrestre, y estaba bebiendo de mi manguera de incendios. Cientos de personas se sintieron halagadas de venir a ayudarnos a buscar, y luego simplemente explotó. Durante la noche, familiares y amigos cubrieron el vecindario con volantes Al amanecer, un pequeño ejército de buscadores se dispersó."
"Rory's dad went out with the first wave of volunteers, grateful for all the support. Someone encouraged by the turnout this morning. I've been overwhelmed by the community, the support and the police. What was it like for you and your family last night? Don't ask me. Laura was a 12-year-old little girl, and it just touched people. The community Friendswood is very close, and they felt that Laura was one of their own. I'm going home. I'm going to hug my kids and regroup a little bit, and I'll be ready to run in the morning. People from all over Houston put their lives on hold. The best came out in some people. We offer it to you and pray that you would watch over Laura wherever she is. People of different denominations, different faiths, all showing up together to pray for this child, hoping that maybe that will have some power. I just want to let her know that we are going to find you, and we're not going to stop until we do find you. Please keep her in your prayers. The FBI has been called in on this search, and now police are calling it an abduction.","El papá de Rory salió con la primera ola de voluntarios, agradecido por todo el apoyo. Alguien animado por la participación de esta mañana. He estado abrumado por la comunidad, el apoyo y la policía. ¿Cómo fue para ti y tu familia anoche? No me preguntes. Laura era una niña de 12 años, y eso tocó a la gente. La comunidad de Friendswood es muy unida, y sintieron que Laura era una de ellos. Me voy a casa. Voy a abrazar a mis hijos y reorganizarme un poco, y estaré listo para correr por la mañana. Personas de todo Houston pusieron sus vidas en espera. Lo mejor de algunas personas salió. Se lo ofrecemos y oramos para que cuides de Laura dondequiera que esté. Personas de diferentes denominaciones, diferentes creencias, todas juntas para rezar por esta niña, con la esperanza de que tal vez eso tenga algún poder. Solo quiero que ella sepa que la vamos a encontrar, y no vamos a parar hasta que la encontremos. Por favor, manténganla en sus oraciones. El FBI ha sido llamado a esta búsqueda, y ahora la policía la califica de abducción."
"Their parents grow more frantic by the hour. Volunteers trudged through swamps and dodged snakes, but by days in, there was nothing to report. It was a tough search for anyone involved in being out there. That went on for days. They covered over 75 square miles. They plan to do the same thing again until Laura is found. There is a maximum commitment to find you and do everything the law permits to bring you to justice. Just about every place they see an area was involved in a search. You have a 12-year-old girl who goes jogging 9:00 in the morning. For whatever reason, no one saw anything. She was here one second and gone the next. We were worried that whoever took her was still out there and that we could be the next one. And their top story this morning, what could be a nightmare comes true. She's like, deja vu. Somebody had to have taken her. It's like she just disappeared. It has almost picture-perfect ties to the Smithier case. The entire community was in fear. Yes. There's a killer on the loose. Exactly. The search goes on for 12-year-old Laura Kate Smithr. There's no sign of a 12-year-old girl.","Sus padres se vuelven más frenéticos con cada hora que pasa. Los voluntarios atravesaron pantanos y esquivaron serpientes, pero al cabo de los días, no había nada que reportar. Fue una búsqueda difícil para cualquier persona involucrada en estar allí fuera. Eso continuó durante días. Cubrieron más de 75 millas cuadradas. Planean hacer lo mismo una y otra vez hasta que se encuentre a Laura. Hay un compromiso máximo para encontrarte y hacer todo lo que la ley permite para llevarte ante la justicia. Casi en cada lugar que ven un área estuvo involucrada en una búsqueda. Tienes una niña de 12 años que sale a correr a las 9:00 de la mañana. Por la razón que sea, nadie vio nada. Ella estaba aquí un segundo y desapareció al siguiente. Estábamos preocupados de que quienquiera que la hubiera tomado todavía estuviera allí afuera y que pudiéramos ser los siguientes. Y su historia principal esta mañana, lo que podría ser una pesadilla se hace realidad. Es como, déjà vu. Alguien tuvo que haberla llevado. Es como si simplemente hubiera desaparecido. Tiene casi lazos perfectos con el caso Smithier. Toda la comunidad estaba temerosa. Sí. Hay un asesino suelto. Exactamente. La búsqueda continúa para Laura Kate Smithr de 12 años. No hay señal de una niña de 12 años."
"The ground search is swelling into its sixth day. Whoever has Laura, we would like you to bring her home now. Three weeks after she disappears, there's a town hall made. Just remember sitting there feeling numb. This was for my child. You need to allow the chief and the FBI some time to analyze some of the information. It was a couple of hours later before the police chief made it here to tell us that indeed a body had been found. And it was like a dark blanket just swallowed the household. We just were silent. Nobody spoke. The police left, and we just all stayed in this room all night. Based on our knowledge of the case and evidence recovered at the scene, I am prepared to say that the young lady found is in fact, Laura K. Smith. She had a ring that she would wear. It had her initials, and she was wearing her socks. It's a It's a hole. It's just a void that exists for a long time, and even now. The city was heartbroken. People, I think, felt like that could have been their child. And so Laura was everybody's child. Once Laura was found, I think it was understood at that point that this was not an accident.","La búsqueda terrestre está entrando en su sexto día. Quienquiera que tenga a Laura, nos gustaría que la trajeras a casa ahora. Tres semanas después de que desaparece, se hace una reunión en el ayuntamiento. Solo recuerdo estar sentado allí sintiéndome entumecido. Esto era por mi hija. Necesitas darle al jefe y al FBI algo de tiempo para analizar parte de la información. Fue un par de horas después antes de que el jefe de policía llegara aquí para decirnos que de hecho se había encontrado un cuerpo. Y fue como si una manta oscura simplemente hubiera tragado el hogar. Simplemente estuvimos en silencio. Nadie habló. La policía se fue, y todos nos quedamos en esta habitación toda la noche. Basándome en nuestro conocimiento del caso y la evidencia recuperada en la escena, estoy preparado para decir que la joven encontrada es de hecho, Laura K. Smith. Ella tenía un anillo que solía usar. Tenía sus iniciales, y llevaba sus calcetines. Es un Es un vacío. Es solo un vacío que existe durante mucho tiempo, y aún ahora. La ciudad estaba desconsolada. La gente, creo, sentía que podría haber sido su hijo. Y así Laura era el hijo de todos. Una vez que se encontró a Laura, creo que se entendió en ese momento que esto no fue un accidente."
"This was an intentional abduction and homicide of a 12-year-old. We were worried that whoever took her was still out there and that we could be the next one. Three months later, in 300 miles north, those worries proved true. When a Another woman goes missing. 20-year-old Kelly Cox heads out for the day and is never seen alive again. What was Kelly Cox like growing up? Growing up, she was always very independent, even as a little child. I mean, one time I told her, Don't put your fingers on that again. So she reached over with her toes. Kelly had a really good sense of humor. Kelly Cox is also a mom to her own independent daughter, Alexis. Say hi to the camera. Say hi to the red light. Hi. Kelly was a young mom. She had big plans and big dreams. You need to mom me some sugar. How old was she when she had Alexis? She was 19, just barely 19. Did she like motherhood? She said it was the happiest day of her life. Listen here, Ms. Zane, you need the last, last, last. The day that Alexis was born. And she said that any number of times.","Esto fue un secuestro intencional y homicidio de una niña de 12 años. Estábamos preocupados de que quienquiera que la haya llevado todavía estuviera allí fuera y que pudiéramos ser los siguientes. Tres meses después, a 300 millas al norte, esos temores resultaron ser ciertos. Cuando Otra mujer desaparece. Kelly Cox de 20 años sale por el día y nunca más se la ve viva. ¿Cómo era Kelly Cox de niña? Creciendo, siempre fue muy independiente, incluso como una niña pequeña. Quiero decir, una vez le dije, No pongas tus dedos en eso de nuevo. Así que ella alcanzó con sus dedos del pie. Kelly tenía un muy buen sentido del humor. Kelly Cox también es madre de su propia hija independiente, Alexis. Saluda a la cámara. Saluda a la luz roja. Hola. Kelly era una madre joven. Tenía grandes planes y grandes sueños. Necesitas endulzarme un poco. ¿Qué edad tenía cuando tuvo a Alexis? Tenía 19, apenas 19. ¿Le gustó la maternidad? Dijo que fue el día más feliz de su vida. Escucha aquí, señorita Zane, necesitas lo último, lo último, lo último. El día que nació Alexis. Y dijo eso varias veces."
"Happiest day of my life, Mom. Do you have memories of your mom, Kelly? I always knew I was loved. It was beautiful the way she giggles with me and the way I giggle back as a baby. She was an excellent student and very focused. She delivered Alexis, and a week later, she took her finals at the community college. Made all A's. Kelly breezes through community college. And then heads to the University of North Texas studying psychology and criminal justice with plans to be a therapist. I'm like, wow, you're really on track. She had a plan, and she was sticking to it. I mean, I think she would have been a phenomenal mother. Bettering her future so she could better our future. She said, Mom, I need to support Alexis and me. And that's one reason she insisted on summer school classes because She wanted to graduate in May of '98. She would have been a phenomenal role model as well. But sometimes it's the way that things go. Tell us about that morning. It's like it just happened yesterday. She was leaning back in her bed, her hair up on top of her head. I said, Have a good day.","El día más feliz de mi vida, mamá. ¿Tienes recuerdos de tu mamá, Kelly? Siempre supe que era amada. Fue hermoso cómo se reía conmigo y cómo me reía de vuelta como un bebé. Era una estudiante excelente y muy enfocada. Dio a luz a Alexis, y una semana después, tomó sus finales en el colegio comunitario. Obtuvo todas A. Kelly pasó sin problemas por el colegio comunitario. Y luego se dirigió a la Universidad de North Texas estudiando psicología y justicia criminal con planes de ser terapeuta. Estoy como, guau, realmente estás en camino. Ella tenía un plan, y se estaba apegando a él. Quiero decir, creo que habría sido una madre fenomenal. Mejorando su futuro para poder mejorar nuestro futuro. Ella dijo, Mamá, necesito apoyar a Alexis y a mí. Y esa es una razón por la que insistió en clases de verano porque Quería graduarse en mayo del '98. Habría sido un modelo a seguir fenomenal también. Pero a veces así son las cosas. Cuéntanos sobre esa mañana. Es como si acabara de suceder ayer. Estaba recostada en su cama, su cabello encima de su cabeza. Le dije, Que tengas un buen día."
"I love you. I'll see you this afternoon. On July 15, 1997, Kelly was touring the city of Denton Jail for her criminal justice class. So she comes out of the building, and what happens? She tried to get into her car. She couldn't get into it.Couldn't open the door?Couldn't open the door. The key would not work. So she walks to a nearby convenience store to call her boyfriend for help. But by the time he arrives here, Kelly is nowhere to be found. When he got there, her car was there in the parking lot. But of course, she was nowhere to be seen. He opened the car, sat in there. She never showed up. So he left a note saying, Hey, it got hot. Call me. Kelly's seen on surveillance video. She was seen doing the tour of the jail. They didn't have cameras on the outside. There was no cameras or anything over there at the gas station. No cameras in the immediate vicinity. They confirmed that Kelly did go inside the gas station, so they knew that she was there, but no one saw where she went. She just disappeared. The police station is on one end of the road, and where Kelly was at is on the other end of the road.","Te amo. Te veré esta tarde. El 15 de julio de 1997, Kelly estaba recorriendo la cárcel de la ciudad de Denton por su clase de justicia criminal. Entonces sale del edificio, y ¿qué pasa? Intentó entrar en su coche. No pudo hacerlo. ¿No pudo abrir la puerta? No pudo abrir la puerta. La llave no funcionaba. Así que camina a una tienda de conveniencia cercana para pedir ayuda a su novio. Pero para cuando él llega aquí, Kelly no se encuentra por ningún lado. Cuando él llegó, su coche estaba allí en el estacionamiento. Pero por supuesto, ella no estaba por ningún lado. Abrió el coche, se sentó allí. Ella nunca apareció. Así que dejó una nota diciendo, Hey, se puso caliente. Llámame. Kelly se ve en el vídeo de vigilancia. Se le vio haciendo el recorrido por la cárcel. No tenían cámaras en el exterior. No había cámaras ni nada por el estilo en la gasolinera. No había cámaras en las inmediaciones. Confirmaron que Kelly había entrado a la gasolinera, así que sabían que ella estuvo allí, pero nadie vio a dónde fue. Simplemente desapareció. La estación de policía está en un extremo de la carretera, y donde estaba Kelly está en el otro extremo de la carretera."
