Original,gpt4
"Hey, I'm welcome to the Short Stuff. I'm Josh. There's Chuck and Ben's here too, sitting in for Dave.","Hola, bienvenido a Short Stuff. Soy Josh. Chuck y Ben también están aquí, cubriendo a Dave."
Ben.,Ben.
"This is short stuff, the New Reality.","Esto es Short Stuff, la Nueva Realidad."
"That's right. I'm glad that you found this because I have experienced this in a slightly different way, and I never knew that it was a thing, and now I do.","Así es. Me alegra que hayas encontrado esto porque lo he experimentado de una manera ligeramente diferente, y nunca supe que era algo, y ahora lo sé."
"Yeah, I had no idea it was a thing either. I don't remember where I heard of this. I'm guessing you me, it just seems like the kind of thing she would have sent me. But we have to shout out McGill University, IFL Science and Science Times for helping round this idea hour this story out. But we're talking about something called the Marico Aoki phenomenon, which is a very specific phenomenon. It's where some people go into a bookstore and are overwhelmed with the urge, sometimes an urgent urge to poop in that bookstore, not like in the aisles of the bookstore, but to go to the bathroom in the bookstore to poop.","Sí, yo tampoco tenía idea de que fuera algo. No recuerdo dónde escuché esto. Supongo que fuiste tú, parece el tipo de cosa que ella me habría enviado. Pero tenemos que agradecer a la Universidad McGill, IFL Science y Science Times por ayudar a redondear esta idea y esta historia. Pero estamos hablando de algo llamado el fenómeno Marico Aoki, que es un fenómeno muy específico. Es donde algunas personas entran a una librería y se ven abrumadas con el impulso, a veces un impulso urgente de defecar en esa librería, no como en los pasillos de la librería, sino de ir al baño de la librería a defecar."
"Yeah, so here's my story. In high school, still one of my very best friends, Jim, I say, you know, Jim, Jim and I had an afternoon radio show, which was over the intercom of the school, and it was basically instead of the principal reading the daily announcements, we asked if we could take it over and round it out with jokes and top ten lists and what have you. So we had WRHS was our dumb little show.","Sí, aquí va mi historia. En la secundaria, uno de mis mejores amigos, Jim, digo, sabes, Jim, Jim y yo teníamos un programa de radio por la tarde, que se transmitía por el intercomunicador de la escuela, y básicamente en lugar de que el director leyera los anuncios diarios, preguntamos si podíamos tomar el control y completarlo con bromas y listas de los diez mejores y cosas por el estilo. Así que WRHS era nuestro tontito programa."
"So wait, this was officially sanctioned. It wasn't pirate School Radio.","Así que espera, esto estaba oficialmente sancionado. No era una Radio Escolar pirata."
"No, no, no. It was us in the principal's office like on the microphone every day. I mean that was looking back, it was the start of stuff you should know, which is funny. Oh wow, But we did. When we would meet to write the show. Every day, we would meet in the empty auditorium where they did school plays, and every time we were in there, both of us had to poop and we used to laugh about it and talk about it. And now that I see sort of some of the similarities between that empty, quiet auditorium and a sort of a large, maybe cavernous, quiet bookstore, I now know this is a thing.","No, no, no. Era nosotros en la oficina del director como en el micrófono todos los días. Quiero decir que eso, mirando hacia atrás, fue el comienzo de lo que deberías saber, que es gracioso. Oh, vaya, Pero lo hicimos. Cuando nos reuníamos para escribir el programa. Todos los días, nos encontrábamos en el auditorio vacío donde hacían las obras de la escuela, y cada vez que estábamos allí, ambos teníamos que defecar y nos reíamos y hablábamos de ello. Y ahora que veo algo de las similitudes entre ese auditorio vacío y silencioso y una especie de librería grande, quizás cavernosa y tranquila, ahora sé que esto es algo."
I was not expecting a personal anecdote from you for this one.,No me esperaba una anécdota personal tuya para esta.
"Yeah, I mean, this goes back to the eighties, Jim and I. He'll laugh when I tell him this is an actual thing.","Sí, quiero decir, esto se remonta a los ochenta, Jim y yo. Se reirá cuando le diga que esto es algo real."
"Well, that's appropriate because the Marico Aoki phenomenon goes back to the eighties too, all.","Bueno, eso es apropiado porque el fenómeno Marico Aoki también se remonta a los ochenta también."
"Right, Yeah, so we should probably talk about where it came from, right.","Cierto, sí, así que probablemente deberíamos hablar de dónde vino, cierto."
"Yeah, it came from a Japanese woman named Mariko Aoki.","Sí, vino de una mujer japonesa llamada Mariko Aoki."
That's right. And she sent a letter to a magazine in what nineteen eighty five and the issue of han no Zashi? Is that right?,"Eso es correcto. Y ella envió una carta a una revista en qué, mil novecientos ochenta y cinco y el número de han no Zashi? ¿Es así?"
Close enough?,¿Suficientemente cerca?
How would you say it?,¿Cómo lo dirías?
Han no Zashi?,¿Han no Zashi?
Didn't that what I said?,¿No fue eso lo que dije?
Yeah?,¿Sí?
"Okay? And she wrote a letter to the you know, like a letter to the editor kind of thing, where she said, I'm not sure why, but since about two or three years ago, whenever I go to a bookstore, I'm struck by an urge to move my bowels. They printed it, just the letter to the editor, and then got so many responses from people saying me too, that the next issue had a fourteen page feature article on the headline was the phenomenon currently shaking the bookstore industry.","¿Okay? Y ella escribió una carta sabes, como una carta al editor, donde decía, no estoy segura por qué, pero desde hace unos dos o tres años, cada vez que voy a una librería, tengo un impulso de mover mis intestinos. Lo imprimieron, solo la carta al editor, y luego obtuvieron tantas respuestas de personas diciendo yo también, que el próximo número tuvo un artículo destacado de catorce páginas donde el titular era el fenómeno que actualmente sacude la industria de las librerías."
"Yeah, and it became like such a thing that it took her name, Marico Aoki. Even though there has been people have turned up mentions of this kind of thing as far back as the fifties, I could not find any original source material of that, but I think I'm willing to take IFL Science on their word if they were the one where I got it from. But in Japan it kicked off like a trend, right, So there were kind of like game show informal studies of what exactly was going on, and they did turn up some data, not exactly like you know, peer review shorthy data, but they found that about ten percent of the respondence in Japan feel the urge to poop when they go into the bookstore. So the Marryoki Aoki phenomenon is it covers about ten percent of the population. I'm squarely in the ninety percent. You're apparently in the ten percent.","Sí, y se convirtió en tal cosa que tomó su nombre, Marico Aoki. Aunque ha habido personas que han mencionado este tipo de cosas desde los cincuenta, no pude encontrar ningún material fuente original de eso, pero creo que estoy dispuesto a creer a IFL Science si fueron ellos de quienes lo obtuve. Pero en Japón comenzó como una tendencia, cierto, así que había como estudios informales de tipo concurso para ver qué estaba pasando exactamente, y sí encontraron algunos datos, no exactamente como sabes, datos dignos de revisión por pares, pero encontraron que alrededor del diez por ciento de los encuestados en Japón sienten el impulso de defecar cuando entran en la librería. Así que el fenómeno Marryoki Aoki cubre alrededor del diez por ciento de la población. Estoy firmemente en el noventa por ciento. Tú aparentemente estás en el diez por ciento."
"Well, I mean, I haven't tested it with a bookstore, but there are similarities between. For us, it always felt like like Jim's theory was that it was a big being alone in a very big, large, empty quiet.","Bueno, quiero decir, no lo he probado con una librería, pero hay similitudes entre ellos. Para nosotros, siempre se sintió como la teoría de Jim era que era como estar solo en un espacio muy grande, grande, vacío y silencioso."
Space like a colon.,Espacio como un colon.
"I guess so, but you know, a bookstore isn't empty, but it's not like going to a concert. It is generally pretty quiet, so and there's like some there's a privacy aspect I think to a bookstore. I mean I'm thinking larger bookstores, not like you know, the tiny mom and pops, which I love. So I don't know that was his theory. Lease, so I guess I'm in that ten percent. I'll go to a bookstore and I'll let you know.","Supongo que sí, pero ya sabes, una librería no está vacía, pero no es como ir a un concierto. Generalmente es bastante tranquilo, así que y hay como hay un aspecto de privacidad, creo, en una librería. Quiero decir, estoy pensando en librerías más grandes, no como sabes, las pequeñas de mamá y papá, que amo. Así que no sé, esa era su teoría. Lease, así que supongo que estoy en ese diez por ciento. Iré a una librería y te lo haré saber."
"We'll report back for sure. As a matter of fact, we should live stream on stuff. You should know, like one of our social it's true.","Definitivamente informaremos. De hecho, deberíamos transmitir en vivo sobre esto. Deberían saber, como uno de nuestros hechos sociales, es verdad."
"Oh my god, you might He'll be right back. Should we take a break, Yeah, all right, we'll come back and talk about some of the theories right after this. If you want to know, then you're in luck. Just listen to Chuck selfus.","Dios mío, quizás él volverá pronto. ¿Deberíamos tomar un descanso? Sí, está bien, volveremos y hablaremos sobre algunas de las teorías justo después de esto. Si quieres saber, entonces tienes suerte. Solo escucha a Chuck por ti mismo."
"Chuck, I think I speak on behalf of at least half of the people listening. Would you and Jim go poop at the same time, or would you like take turns?","Chuck, creo que hablo en nombre de al menos la mitad de las personas que escuchan. ¿Irías tú y Jim a defecar al mismo tiempo, o se turnarían?"
"I don't remember that part. I don't even know if we went and pooped or if it was just like, oh I got a poop, I see, I see.","No recuerdo esa parte. Ni siquiera sé si fuimos y defecamos o si era solo como, oh tengo que ir, ya veo, ya veo."
"Okay, Yeah, so yeah, anyway, we're back.","Okay, sí, entonces, de todos modos, hemos vuelto."
"Yeah, we're back. There is no like serious science probably about this, but there are a lot of pretty interesting theories, and one of them is something that we've talked about. In fact, we did a whole show sort of, didn't we about the gut brain axis we did.","Sí, hemos vuelto. No hay como una ciencia seria probablemente sobre esto, pero hay muchas teorías bastante interesantes, y una de ellas es algo de lo que hemos hablado. De hecho, hicimos un programa completo sobre eso, ¿no fue así? Sobre el eje intestino-cerebro que hicimos."
I don't.,No lo hago.
It's something about like when you approach the front door of your.,Es algo así como cuando te acercas a la puerta principal de tu...
"House, that's the brain bladder connection.","Casa, esa es la conexión cerebro-vejiga."
"Oh okay, I think this is kind of similar though, right, No, totally.","Oh, está bien, creo que esto es algo similar, ¿verdad? No, totalmente."
"I think the second theory, the smell of books, which we'll get to, is more brain bladder connection. But the gut brain axis would have come up in I guess, like I can't remember what it was, but we talked about like a whole episode about how there's neurons in your gut and like your brain and your gut, your central nervous system and your enteric nervous system communicate to one another. And so that's probably the likeliest explanation for why somebody would feel the urge to poop in a bookstore.","Creo que la segunda teoría, el olor de los libros, a la que llegaremos, es más conexión cerebro-vejiga. Pero el eje intestino-cerebro habría surgido supongo, como no puedo recordar qué era, pero hablamos de un episodio completo sobre cómo hay neuronas en tu intestino y como tu cerebro e intestino, tu sistema nervioso central y tu sistema nervioso entérico se comunican entre sí. Y esa es probablemente la explicación más probable de por qué alguien sentiría el impulso de defecar en una librería."
"Yeah, there are some other you know. To me, I think it's all of these things added together. There is that there is also this sort of connection of like people like reading on the toilet has long been something that people do, right. People are on their phones now, but in the old days, you had that magazine. Rack still got a magazine right next to my toilet, and we'll read a good magazine. So that connection. Maybe that subconscious thing of when you're among those books, your sphincter just a moocks, just a little bit, maybe.","Sí, hay algunas otras cosas que sabes. Para mí, creo que es todo esto junto. Está eso de que también existe este tipo de conexión como que a la gente le gusta leer en el inodoro ha sido algo que la gente hace, ¿verdad? Ahora la gente está en sus teléfonos, pero en los viejos tiempos, tenías esa revista. Todavía tengo una revista justo al lado de mi inodoro, y leeremos una buena revista. Así que esa conexión. Tal vez esa cosa subconsciente de cuando estás entre esos libros, tu esfínter solo se relaja un poco, quizás."
"Yeah, for sure. So whatever it was, whatever, if it's like the smell of books, that's kind of usually put forth. Whatever it is that you associate with a bookstore, and then you poop in the bookstore. That's where your gut brain access would take over and you develop this association. So when you walk into the bookstore, your brain goes, hey, gut, we're in a bookstore. You better get busy pooping.","Sí, seguro. Entonces, fuera lo que fuera, si es como el olor de los libros, eso es lo que normalmente se plantea. Sea lo que sea que asocies con una librería, y luego defecas en la librería. Ahí es donde tu acceso cerebro-intestino tomaría el control y desarrollarías esta asociación. Así que cuando entras a la librería, tu cerebro dice, hey, intestino, estamos en una librería. Será mejor que te pongas ocupado defecando."
"Yeah, makes sense. Another one, of course, is a bookstore oftentimes there's a lot of squatting. Yeah, if you want to book down on that bottom shelf, or you want to peruse for a little while on the bottom, you're going to be squatting down. And humankind didn't evolve to poop like we poop. Now you're supposed to squat. And if you've ever in in that dead squat position with your butt just barely above the ground and all your weight, like everything lines up in such a way to where your body goes, oh, it's go.","Sí, tiene sentido. Otra, por supuesto, es que en una librería a menudo hay que agacharse mucho. Sí, si quieres coger un libro de la parte de abajo del estante, o quieres ojear un poco en la parte de abajo, vas a tener que agacharte. Y la humanidad no evolucionó para defecar como lo hacemos. Ahora se supone que debes agacharte. Y si alguna vez has estado en esa posición de agacharte completamente con tu trasero apenas por encima del suelo y todo tu peso, como que todo se alinea de tal manera que tu cuerpo dice, oh, es hora."
"Time, it's time, yeah, and he goes.","Hora, es la hora, sí, y él va."
"So you're in there already, it's quiet. You got the smell of the books you're squatting.","Así que ya estás ahí, está tranquilo. Tienes el olor de los libros y estás agachado."
"Yeah, how could anybody not poop?","Sí, ¿cómo podría alguien no defecar?"
"You may have a coffee, that's a big one.","Puede que tengas un café, eso es importante."
"A lot of people say, yeah, people drink coffee and bookstores and coffee makes you poop.","Mucha gente dice, sí, la gente bebe café y las librerías y el café te hacen defecar."
"Yeah. So I think it's like all this stuff sort of adds up to, oh my god, I'm in a bookstore. I've got to go.","Sí. Así que creo que todo esto se suma a, oh Dios mío, estoy en una librería. Tengo que ir."
"There's another theory that isn't specifically identified as from Japan. But if it's not from Japan, I will eat my hat and I don't even have a hat. I'll go buy a hat to eat it. If this isn't a Japanese theory, that because life is stressful, when you walk into a bookstore, a bookstore is very calm, and so you feel relieved and so you want to leave yourself.","Hay otra teoría que no está específicamente identificada como de Japón. Pero si no es de Japón, comeré mi sombrero y ni siquiera tengo un sombrero. Iré a comprar un sombrero para comérmelo. Si esta no es una teoría japonesa, eso sería porque la vida es estresante, cuando entras en una librería, una librería es muy tranquila, y entonces te sientes aliviado y por eso quieres... liberarte."
I don't think I've ever seen you wear a hat.,No creo haberte visto alguna vez usar un sombrero.
"I've got a like a mud hens hat that man, my hair has to be pretty messed up for me to wear it, but that's my hat.","Tengo como un sombrero de los Mud Hens, hombre, mi cabello tiene que estar bastante desordenado para que me lo ponga, pero ese es mi sombrero."
I don't think i've ever seen you in a hat in sixteen years.,No creo haberte visto en un sombrero en dieciséis años.
"Well, that's by design.","Bueno, eso es intencional."
I've seen you in shorts maybe twice.,Te he visto en pantalones cortos quizás dos veces.
That was by design as well. What do you think.,Eso también fue intencional. ¿Qué piensas?
"You get some nice legs thanks, And then of course you have to think about or at least consider the frequency illusion aspect of this. It's a type of confirmation bias, whereas once you know this is a thing, you start to just it's in your head all of a sudden, and you're making that connection where it previously didn't exist, So you know, you have to kind of consider that for sure.","Tienes unas piernas bonitas, gracias. Y luego, por supuesto, tienes que pensar o al menos considerar el aspecto de ilusión de frecuencia de esto. Es un tipo de sesgo de confirmación, donde una vez que sabes que esto es algo, empiezas a... está en tu cabeza de repente, y estás haciendo esa conexión donde antes no existía, así que sabes, tienes que considerar eso seguro."
"Yeah, that's what skeptics say. They say there's no such thing as the Mark Aoki phenomenon, that actually it's it's people just have heard of it, and maybe she had some sort of Pavlovian training where like the smell of the books made her want to poop, but just talk about it. It getting published and becoming a thing in Japan, then traveling around the world, people started saying like, oh, yeah, I've pooped in bookstores too, So then anytime they poop in a bookstore from that point on they notice it. It confirms their theory that they're susceptible to the Ma Aoki phenomenon, and it just becomes like a self fulfilling prophecy. But at the same time they're also ignoring all the times they go to the bookstore and don't poop, or they go to pet Co and have to poop. You don't want to do although you could just poop in the aisle and blame it on the dog. But still that's part of the frequency illusion.","Sí, eso es lo que dicen los escépticos. Dicen que no hay tal cosa como el fenómeno Mark Aoki, que en realidad es que la gente solo ha oído hablar de ello, y tal vez ella tenía algún tipo de entrenamiento pavloviano donde como el olor de los libros le hacía querer defecar, pero solo hablar de ello. Que se publique y se convierta en algo en Japón, luego viaje alrededor del mundo, la gente comenzó a decir como, oh, sí, yo también he defecado en librerías, entonces cada vez que defecan en una librería desde ese punto en adelante lo notan. Confirma su teoría de que son susceptibles al fenómeno Ma Aoki, y simplemente se convierte en una profecía autocumplida. Pero al mismo tiempo también están ignorando todas las veces que van a la librería y no defecan, o van a Pet Co y tienen que defecar. No quieres hacer aunque podrías simplemente defecar en el pasillo y culpar al perro. Pero aún así eso es parte de la ilusión de frecuencia."
"Yeah, for sure. So I'm curious to hear from people two types of people, people that have experienced this, whether in a bookstore or like my situation, like a large empty room, or bookstore employees who are like, dude, you don't know that the nightmare that we live.","Sí, seguro. Así que tengo curiosidad por escuchar a dos tipos de personas, personas que han experimentado esto, ya sea en una librería o como en mi situación, como una habitación grande y vacía, o empleados de librerías que son como, amigo, no sabes la pesadilla que vivimos."
"Yeah, I can imagine, you know, Yeah, I hadn't thought about that. Man's better thought for the bookstore employees.","Sí, puedo imaginar, sabes, sí, no había pensado en eso. Mejor pensamiento para los empleados de la librería."
"Huh, wasn't there Seinfeld where George had to go to the bathroom in a bookstore?","Eh, ¿no hubo un episodio de Seinfeld donde George tenía que ir al baño en una librería?"
"Yeah, he found the pastoral scenes very conducive to and then Elaine cuts him off. He had to buy a book because he took it in the bathroom.","Sí, él encontró las escenas pastorales muy propicias para y luego Elaine lo interrumpe. Tuvo que comprar un libro porque lo llevó al baño."
That's funny.,Eso es divertido.
"There you have it, a book of Impressionist paintings. If you well, no, this is not a regular stuff you should know episode. Even though in this episode we found out the origin of stuff you should know, even I didn't know the origin story. And since I'm so hyped, I think that can only mean that short stuff is out.","Ahí lo tienes, un libro de pinturas impresionistas. Si lo haces bien, no, esto no es un episodio regular de cosas que deberías saber. Aunque en este episodio descubrimos el origen de cosas que deberías saber, incluso yo no sabía la historia del origen. Y como estoy tan emocionado, creo que solo puede significar que Short Stuff está fuera."
"Stuff you Should Know is a production of iHeartRadio. For more podcasts my heart Radio, visit the iHeartRadio app, Apple Podcasts, or wherever you listen to your favorite shows.","Cosas que Deberías Saber es una producción de iHeartRadio. Para más podcasts mi corazón Radio, visita la aplicación iHeartRadio, Apple Podcasts, o donde sea que escuches tus programas favoritos."
