Original,gpt4
"Welcome back to another episode of Add To Cart, I'm auntie Kuku Vilaysack.","Bienvenidos de nuevo a otro episodio de Add To Cart, soy la tía Kuku Vilaysack."
And I'm Auntie Susu Park.,Y yo soy la tía Susu Park.
"Su, I'm so excited for our guests today. He's a friend of mine and the other half of XOXO Gossip Kings along with Mr. Sweet Treat Carl Tart. He is an actor, writer, comedian, and he's got a new music album to promote. He's been a writer on Grand Cru new growth Brooklyn 99 and Single Parents. His new album highly sensitive person is out now please add to cart, Lamar Woods.","Su, estoy muy emocionada por nuestros invitados de hoy. Es amigo mío y la otra mitad de XOXO Gossip Kings junto con el Sr. Sweet Treat Carl Tart. Es actor, escritor, comediante, y tiene un nuevo álbum de música para promocionar. Ha sido escritor en Grand Cru new growth Brooklyn 99 y Single Parents. Su nuevo álbum Highly Sensitive Person ya está disponible, por favor agrégalo al carrito, Lamar Woods."
"That was good, thank y'all for having me, man. I'm like so excited to be here. I've been waiting, they put this one early in the month. I was like, man, it's coming up soon. I know what's coming, as I was.","Eso estuvo bien, gracias a todos por tenerme, hombre. Estoy tan emocionado de estar aquí. He estado esperando, pusieron este al principio del mes. Estaba como, hombre, ya se acerca. Ya sé lo que viene, como que ya estaba."
"Already an anti fashion. When before we even started the recording. Ku, was already trying to fix the lighting in your room to light up your angel eyes, weren't you?","Ya era anti moda. Cuando antes de empezar la grabación. Ku, ya estaba tratando de arreglar la iluminación de tu habitación para iluminar tus ojos de ángel, ¿verdad?"
He has gorgeous eyes.,Él tiene unos ojos preciosos.
"I know that. She's like, I can't see your beautiful face. Also, why are you blurring your background. I can't see your beautiful one bedroom apartment. That barren apartment. Also, I didn't know Yakata Carl, sweet treat, too. That's crazy.","Lo sé. Ella es como, no puedo ver tu hermoso rostro. Además, ¿por qué estás desenfocando tu fondo? No puedo ver tu hermoso departamento de una habitación. Ese apartamento tan vacío. Además, no sabía que Yakata Carl, sweet treat, también. Eso es una locura."
"Well, because he told us about how he loves a sweet treat at night.","Bueno, porque él nos contó sobre cómo le encanta un dulce por la noche."
"That's true, yeah, he's a he has a sweet.","Eso es cierto, sí, él tiene tiene un gusto dulce."
I've never known anybody to eat more birthday cake slices. I still think about.,Nunca he conocido a nadie que coma más rebanadas de pastel de cumpleaños. Todavía lo pienso.
"Slices of cake, and he picks one up every week.","Rebanadas de pastel, y él recoge una cada semana."
"But I thank you for saying I have pretty eyes though, I appreciate that. That is my favorite attribute. I was with my therapist last week and I did this really cool thing where this cool thing. But like sometimes I just be making shit up, like this is what I would do if I was a therapist. I was like let's write down all the things that I get insecure about when when a girl rejects me. And I wonder like because I'm not insecure about them all the time, only when you get rejected they all come out right? So we just wrapped I just we just made it list and we're gonna go every week we're going to talk about each one and try to figure out how to like not like fall slave to those insecurities.","Pero te agradezco que digas que tengo ojos bonitos, lo aprecio. Ese es mi atributo favorito. Estuve con mi terapeuta la semana pasada e hice esta cosa realmente genial donde esta cosa genial. Pero como que a veces solo invento cosas, como esto es lo que haría si fuera terapeuta. Era como vamos a escribir todas las cosas sobre las que me siento inseguro cuando una chica me rechaza. Y me pregunto porque no estoy inseguro de ellas todo el tiempo, solo cuando te rechazan es cuando todas salen, ¿verdad? Así que acabamos de envolver Acabamos de hacer una lista y vamos a ir cada semana vamos a hablar de cada una y tratar de averiguar cómo como no caer esclavo de esas inseguridades."
"Wow, New York Times, best seller number one straight to the top, Self Help.","Guau, New York Times, número uno en la lista de más vendidos, directo a la cima, Autoayuda."
"Wait, you're right, Su.","Espera, tienes razón, Su."
"Straight to the top. Let me tell you how to be a therapist. We're just workshopping titles, we're just workshopping.","Directo a la cima. Déjame decirte cómo ser un terapeuta. Solo estamos desarrollando títulos, estamos en ese proceso."
"Yeah, what do you think?","Sí, ¿qué te parece?"
"It's good, it's good.","Está bien, está bien."
"Su, as absolutely right. I want you to be journaling about this, taking notes about this because this could be a book.","Su, tienes absolutamente razón. Quiero que hagas un diario sobre esto, tomando notas sobre esto porque esto podría ser un libro."
"Really, yeah.","De verdad, sí."
"Like I'm being serious, like, just do it for the sake of doing it. Yes, I'm getting serious.","Como que lo digo en serio, como, solo hazlo por el hecho de hacerlo. Sí, me estoy poniendo serio."
"Because when I told my therapist I was she was like, oh, that's a good idea.","Porque cuando le dije a mi terapeuta ella estaba como, oh, eso es una buena idea."
"And she's writing it, right now.","Y ella lo está escribiendo, ahora mismo."
"She did tell me just like I'm working, I'm trying to figure out I want to write a book but I don't want to write about yeah. Oh, no, right pretty eyes is obviously not on that list so being short was on that list. I never felt like a short guy. I don't seem short. Well, I guess I'm on that on a zooms, I don't know, anyway, it was was talking about shopping. So I told you, I'd talk to you today so I'm just gonna start blabbing around likes to start talking because I'm like, oh, this human beings but yeah, so we're gonna go through each one, that's a good idea. I'm not going to talk about it no more. That's my book. That's what I'm gonna do. Because they only you only feel, I mean, some of them you feel them a lot but like when you get rejected, they take over and become powerful. So we got to figure out how to how to like break them down each one and where they come from to like, okay, maybe height comes from playing sports in school, high school, and being the smallest kid on the team. And that's a source of insecurity for me, because I never was never successful in that, or something. Oh, yeah, I'm writing a book, right so let's go.","Ella me dijo que así como estoy trabajando, estoy tratando de descifrar que quiero escribir un libro pero no quiero escribir sobre eso sí. Oh, no, los ojos bonitos obviamente no están en esa lista así que ser bajito estaba en esa lista. Nunca me sentí como un tipo bajo. No parezco bajo. Bueno, supongo que sí en un zoom, no sé, de todos modos, estaba hablando sobre compras. Así que te dije, te hablaría hoy así que solo voy a empezar a divagar y empezar a hablar porque soy como, oh, estos seres humanos pero sí, así que vamos a pasar por cada uno, es una buena idea. No voy a hablar más de eso. Ese es mi libro. Eso es lo que voy a hacer. Porque solo sientes, quiero decir, algunos de ellos los sientes mucho pero como cuando te rechazan, se apoderan y se vuelven poderosos. Así que tenemos que descubrir cómo desglosar cada uno y de dónde vienen para como, está bien, tal vez la altura viene de jugar deportes en la escuela, la secundaria, y ser el niño más pequeño del equipo. Y esa es una fuente de inseguridad para mí, porque nunca tuve éxito en eso, o algo así. Oh, sí, estoy escribiendo un libro, así que vamos."
Look at this.,Mira esto.
"Okay, well, this feels like the perfect transition to talk about your album, Highly Sensitive Person. But wait, let's we should pause real quick, like why am I even talking right now? I mean, this is our first Add To Cart music cue interview. We're gonna listen to some of your songs. We're going to ask you questions. But again, why am I talking when we have a veteran MTV News person in our midst?","Ok, bueno, esto parece la transición perfecta para hablar de tu álbum, Highly Sensitive Person. Pero espera, deberíamos pausar rápido, como ¿por qué estoy hablando ahora mismo? Quiero decir, esta es nuestra primera entrevista musical de Add To Cart. Vamos a escuchar algunas de tus canciones. Vamos a hacerte preguntas. Pero de nuevo, ¿por qué estoy hablando cuando tenemos a una veterana de MTV News entre nosotros?"
You just shoved me under the bus anytime. She just a little tap in the back and I go falling in a puddle careening under a bus.,Tú me acabas de empujar bajo el autobús en cualquier momento. Ella solo da un pequeño golpecito en la espalda y yo caigo en un charco deslizándome bajo un autobús.
"Lamar she's interviewed, Usher in the studio.",Lamar ella ha entrevistado a Usher en el estudio.
I was so nervous to meet you today.,Estaba tan nervioso por conocerte hoy.
Britney Spears.,Britney Spears.
I'm a big fan. I'm a big fan.,Soy un gran fan. Soy un gran fan.
"Probably Three Doors Down, Lamar, and now Lamar Woods, and now Lamar woods.","Probablemente Three Doors Down, Lamar, y ahora Lamar Woods, y ahora Lamar Woods."
"Now I want to kind of give you a different song oh, I got some other songs. I didn't know you're gonna play it real time I got to talk about it.","Ahora quiero darte una canción diferente oh, tengo otras canciones. No sabía que ibas a reproducirla en tiempo real, tengo que hablar de eso."
"That's how interviews work. You're supposed to play a song, I bought my head okay. Like, I know, I have any rhythm. We're kind of quiet, we're vibing we're feeling it.","Así es como funcionan las entrevistas. Se supone que debes reproducir una canción, compré mi cabeza de acuerdo. Como, lo sé, no tengo ritmo. Estamos medio en silencio, estamos vibramos estamos sintiéndolo."
"The truck cuts. And then it goes to the first question. And my first question could be something, you know, just like an icebreaker. You know, right. I was thinking your album is titled Highly Sensitive Person, now, sometimes, a title says it all. So is it true? Are you an HSP? We sort of discussed this up at the top. So now I kind of have more of an answer before I met you but let's talk about that.","El camión se corta. Y luego va a la primera pregunta. Y mi primera pregunta podría ser algo, ya sabes, como un rompehielos. Ya sabes, correcto. Estaba pensando que tu álbum se titula Highly Sensitive Person, a veces, un título lo dice todo. ¿Es así? ¿Eres un HSP? Ya hablamos un poco de esto al principio. Así que ahora tengo más de una respuesta antes de conocerte pero hablemos de eso."
