Original,gpt4
"Bueno, buenas, buenas, ver a ver, a ver, a ver. Buenas, ahí dije 700 veces, buenas. Sí, escuchamos. ¿Viste semicorchea, no? Semi corchea, dale como están, cómo me les va new week New Episode, voy a empezar a tirar mucho inglés para que esta gente aprenda inglés con la grúa.","Well, hello, hello, let's see, let's see, let's see. Hello, there I said 'hello' 700 times. Yes, we hear you. You saw the sixteenth note, right? Sixteenth note, go ahead, how are you, how are you doing this new week, new episode, I'm going to start speaking a lot of English so that these people learn English on the go."
"Ay dónde presiste tanto tanto inglés con la grúa. Me gusta entonces New Episode es nueva semana, nuevo episodio. Eso es lo que aprendimos esta semana. La otra semana vamos a practicar lo que aprendimos esta y vamos a aprender algo más hasta que lleguemos al episodio. Todo el. Inglés, hágale.","Oh where you persist so much English on the go. I like it then New Episode is new week, new episode. That's what we learned this week. Next week we're going to practice what we learned this week and we'll learn something more until we get to the episode. All in English, go for it."
"¿Te imaginas? Que sea un plan. Que sea un plan y. ¿Bueno, cómo están, cómo me les vale, hijita, cómo estás, cómo estás? Muy bien. Con la actitud en el cielo, en el cielo, en el cielo. Yo estoy muy contento porque monté una está aquí arriba hay una luz, aquí arriba hay una luz, hay una luz y yo la instalé.","Can you imagine? Let it be a plan. Let it be a plan and. Well, how are you, how's it going, dear, how are you, how are you? Very good. With attitude through the roof, through the roof, through the roof. I'm very happy because I set up a light here up there is a light, up here is a light, there's a light and I installed it."
"Manica me quedó súper bien instalada. Entonces muy contento. Yo, yo, yo yo estoy contenta porque antes de estar contenta quiero confesar. ¿Que suena envidiosa de miércoles, sí, qué envidie?","It was super well installed, so very happy. I, I, I am happy because before being happy I want to confess. Does it sound envious on Wednesday, yes, what envy?"
"Exageradamente a las personas que pudieron tomarse unas. De vacaciones, o sea, ustedes están viendo de su martes. Pero para muchos, la Semana Santa, la Semana Santa. No, esa no, porque esta semana también.","Exaggeratedly to the people who could take some time off. On vacation, I mean, you are seeing from your Tuesday. But for many, the Holy Week, the Holy Week. No, not that one, because this week as well."
"¿Es de amación? Sí es desalación. La Semana Santa para muchas personas no empezó, pues como en los días festivos me refiero el Jueves Santo. ¿Y tomar un jueves, viernes, sábado y domingo? No, no, para muchos fue desde el viernes antes de o.","Is it about loving? Yes, it's about desalination. Holy Week for many people didn't start, as on the holidays I mean Holy Thursday. And take a Thursday, Friday, Saturday, and Sunday? No, no, for many it was from the Friday before or."
"Sea, viernes, viernes, sábado, domingo de Ramos. Viernes de la oficina OO. Son sus propios jefes, nosotros somos nuestros propios. Jefes y aquí estamos. Pero yo ahí dije, somos emprendedores. ¿Diferencia entre emprendedores? Bueno, las cosas fue que hubo gente que se tomó viernes listo.","Whether, Friday, Friday, Saturday, Palm Sunday. Office Friday OO. They are their own bosses, we are our own bosses and here we are. But I said there, we are entrepreneurs. Difference between entrepreneurs? Well, the thing was that there were people who took off Friday ready."
"Salió el viernes, sábado y domingo. El lunes en Colombia fue festivo. Y dijeron martes y miércoles no estos. Trabajos esta manada de Zánganos lleva desde el viernes descansando. Envidia fue lo que sentí, pero.","Left on Friday, Saturday, and Sunday. Monday in Colombia was a holiday. And they said not on Tuesday and Wednesday, these. Jobs this bunch of drones has been resting since Friday. Envy was what I felt, but."
"Puedo ser tu envidia, puedo ser tu envidia si tú eres de la ciudad de Medellín porque tacos cero. Amor en México, gimnasio. ¿Tú crees que de o sea, tú crees de verdad que la persona está diciendo Guau, tengo demasiados celos? Sí, persona, no vuelvas, no vuelvas, no vuelves y vuelvas, si vuelvas, es que obvio, no.","I can be your envy, I can be your envy if you are from the city of Medellín because zero traffic. Love in Mexico, gym. Do you think that, I mean, do you really think the person is saying Wow, I am too jealous? Yes, person, don't come back, don't come back, you don't come back and come back, if you come back, it's obvious, isn't it."
"O sea, mi la envidia, que es mentira de mí, es 0%, pero calles fáciles de manejar, gimnasio. Yo que voy a la sede más concurrida de smartphones del mundo entero. Todas las máquinas disponibles.","I mean, my envy, which is a lie from me, is 0%, but streets easy to handle, gym. Me going to the busiest smartphone hub in the entire world. All machines available."
"Todas dicen que la sede de de Smartphones de Dubai también es como muy vacía, como que no va nadie, sí, sí, o sea, porque tú vas a la de del mundo entero. Voy a la más bici. A la más bici bici, otra palabra bici es como la más ocupada. Esa la enseñe yo entonces 2 y 2.","Everyone says that the Dubai smartphone headquarters is also very empty, like no one goes there, yes, yes, I mean, because you go to the one for the whole world. I go to the busiest one. The busiest, another word for busy is like the most occupied. I taught that one, so 2 and 2."
"Me falta uno en el transcurso del episodio bici. Bueno, entonces sí, pues quería confesar esa envidia, pero también quería decir que guau. La ciudad estuvo muy chévere. Unga. Sí, bueno, venga, venga, venga, espere antes de que sigamos. ¿Qué pasó? Bienvenidos una vez más a otro episodio, a otro piso.","I'm missing one during the bike episode. Well, then yes, I wanted to confess that envy, but also wanted to say wow. The city was really cool. Unga. Yes, well, come on, come on, come on, wait before we continue. What happened? Welcome once again to another episode, to another level."
