Original,gpt4
Érase una vez. Un par de damitas que día a día se preguntaban a sí mismas. Soy una histeriquilla o él es un eneje. Por lo que decidieron crear este contenido para desmenuzar sus historias y las de otras damitas y damitos con la única finalidad de entretenerlos y siempre conscientes de que no poseen la verdad absoluta. 5 432.,"Once upon a time, a couple of young ladies wondered daily to themselves: Am I a little hysteric or is he an old geezer? So they decided to create this content to dissect their stories and those of other young ladies and gentlemen with the sole purpose of entertaining them, always aware that they don't hold the absolute truth."
"Holi, Holi, Holi, Holi, Holi, Holi, Holi, Holi, Hermana, respeta la versión original es. Que la estoy respetando, pero le estoy dando un plus. Porque esta es la segunda temporada.","Hello, hello, hello, hello, hello, hello, hello, hello, sister, respect the original version is. I am respecting it, but I'm giving it an extra touch. Because this is the second season."
"¿Oye este qué? ¿Qué les pareció el intro, Eh? ¿Ah, alto nivel, alto nivel, no? Nosotros empezamos esta segunda temporada echando la casa por la ventana. La. Verdad es que nosotras hemos querido estar estando mejorando, hemos querido estando mejorando y pues nada más y nada menos que colaborar con personas tan talentosas.","Hey, what about this? What did you think of the intro, huh? High quality, right? We started this second season by going all out. The truth is that we have been wanting to keep improving, and what's more, collaborating with such talented people."
"Está bien que te precioso el güey coyote. Besotes en Tu cola Santiago Besotes en tu coliflor, olguita olguita besotes también la verdad. Muchísimas gracias porque son personas bien talentosas. Les vamos a poner aquí sus redes sociales para que vayan y los sigan para que les digan gracias.","It's fine that you find the guy coyote adorable. Big kisses on your tail Santiago, big kisses on your cauliflower, olguita olguita big kisses too honestly. Many thanks because they are very talented people. We are going to put their social networks here so that you go and follow them to say thank you."
"Gracias porque las damitas histeria. ¿No sería nada sin ustedes? Bárbaras bárbaras y como se podrán dar cuenta, también cambiamos un poco el SET. Cambiemos un poco este SET. Ah, no, este. La idea es que vaya cambiando poco a poco también para ustedes este, pero pues de momento ya nos estamos viendo las caras.","Thanks because without you hysterical ladies, it would be nothing. Amazing, amazing and as you can see, we also changed the set a bit. Let's change this set a bit. Oh, no, this one. The idea is that it will gradually change for you too, but for now we are already seeing each other's faces."
"Sí, gracias gracias a doctor. Simi a mi tío doctor Simi personal de la persona este porque nos regaló esto simis nos mandaron estos directamente de las oficinas directamente de las oficinas. Nada más que chinos, hermana. No, no, no, no, no traigo.","Yes, thanks thanks to Doctor Simi, to my uncle Doctor Simi, this person because he gave us this, Simis sent us these directly from the offices, directly from the offices. Nothing but Chinese, sister. No, no, no, I'm not wearing any."
"Astaretes yo y son las versiones originales de nuestras primeras muñecas. Gracias, gracias tío, este eres mi tío favorito. Oigan, pero este este este día tenemos un tema muy especial, muy polémico.","Original versions of our first dolls, thanks, thanks uncle, you are my favorite uncle. Hey, but today we have a very special, very controversial topic."
"Pero bien medio. A un capítulo más de yo soy un histórico y abuelo es un NG, yo soy vero y yo soy bárbara. Y ahora sí, ahora sí traemos un tema, un. Tema, un temazo muy polemicoso, muy de chismecito, muy de chismecito.","Okay then, onto another episode of 'I am a hysteric and grandpa is an old geezer, I am Vero and I am Barbara. And now, yes, now we bring a topic, a big, very gossip-worthy, very gossip-worthy topic."
"Vamos a empezar así, fuertes, fuertes, por favor. Dieron ese. Baile, la verdad no supera tu baile de los cangrejos. Su hermana es de. Siempre va a llevar un lugar especial en mi corazón, como ustedes saben, pero no está mal, no está mal.","We're going to start strong, strong, please. That dance, honestly your crab dance is unbeatable. Your sister is. She will always hold a special place in my heart, as you know, but it's not bad, it's not bad."
"Tú baile jocosón. Tú baile, yo creo que cada capítulo voy a hacer un nuevo baile. Ay, Ay, Ay. A ella no le basta con la poesía. Ella quiere llenarnos de arte este programa este. Programa, oigan, muchísimas gracias también porque esos son regalos que nos dieron.","Your funny dance. Your dance, I think I'm going to do a new dance every episode. Oh, oh, oh. Poetry isn't enough for her. She wants to fill this show with art, this show, listen, thank you very much also because those were gifts that were given to us."
"Los fans, ese letrero, nosotros lo teníamos guardado desde el Halloween, desde el Halloween nos lo regaló una de nuestras fans y estás estos 2 que ven aquí atrás nos los dio una chica en Bogotá. Entonces, muchas gracias. Gente talentosa, no estamos rodeado de gente talentosa y nosotras nada más diciendo puras tonteras.","The fans, that sign, we had kept it from Halloween, since Halloween it was given to us by one of our fans and these two that you see here behind were given to us by a girl in Bogotá. So, thank you very much. Talented people, we are surrounded by talented people and all we do is talk nonsense."
"Pero bueno, muchas gracias por llenar de arte. ¿Por llenar de arte este arte? Y ahora sí les vamos a contar cuál es el tema de esta semana, nada más y nada menos que la. ¿Reincidencia y a qué nos referimos con la reincidencia, que es la reincidencia? Es cuando te reencuentras con tu ex y dices, ay.","But well, thank you very much for filling it with art. Filling this art with art? And now we're going to tell you what this week's topic is, none other than recidivism. And what do we mean by recidivism, what is recidivism? It's when you run into your ex and say, oh."
"Porque cuando vuelves a cometer ese delito de reencontrarte con ese viejo amor viejo. Amor. Ese viejo amor, hermana tú cuando reincidiste. Híjole, hace no mucho, pero o sea, tampoco fue que me arrepintiera solo las cosas no funcionaron, pero que me arrepintiera un ex que de plano.","Because when you commit that offense again of reuniting with that old love. That old love, sister, when you recidivated. Geez, not long ago, but I mean, I didn't regret it, things just didn't work out, but regretting an ex like that."
"Reincidí, pues fíjate que siempre siempre me llevé, siempre me llevé muy bien. ¿El premio mayor es que todos mis ex novios no?","I recidivated, well, you see, I always got along, I always got along very well. Is the grand prize that all my ex-boyfriends aren't?"
"Fíjate que no. O sea tal cual como reincidencia no, pero sí hace no mucho llegue a tener una plática con uno de mis ex. Pero no me arrepentí, fue linda la platica, o sea, fue una. Platica, bueno, pero tener una platica no es reincidir.","You see, no. I mean, not exactly as recidivism, but yes, not long ago I had a talk with one of my exes. But I didn't regret it, it was a nice talk, I mean, it was a talk, okay, but having a talk is not recidivating."
"Sí, sí, sí, no, no, fíjate. Que no, no es incidido. O sea, tuve un novio en la prepa ajá, tuve un novio en la prepa, pero pues de esos novios así de nunca pasó nada ni nada por el estilo y hace el año pasado el último semestre que yo creo del año pasado.","Yes, yes, yes, no, no, you see. That no, it's not recidivating. I mean, I had a boyfriend in high school, yeah, I had a boyfriend in high school, but from those boyfriends like nothing ever happened or anything like that and last year the last semester I believe of last year."
"Nos reencontramos, nos encontramos, pero tampoco es como de arrepentirme, la verdad, solo ahí. O sea, tú vives la vida sin arrepentimiento. La vida sin arrepentimientos creo que sí, es que debería, me lo voy a tapar. ¿Pero no creo que te no creo que sea tanto como que te tengas que arrepentir arrepentir, pero sí te dejo una lección, sabes?","We met again, we found each other, but it's not like I regret it, honestly, just there. I mean, you live life without regrets. Life without regrets I think yes, that's how it should be, I'm going to cover it up. But I don't think it's so much about having to regret, but yes, it left me a lesson, you know?"
"¿Es que sabes qué? ¿Yo creo que o sea el problema de los ex OOA veces lo que tenemos con los ex es que tienes este ideal, no de hubiera sido si yo no hubiera hecho esto, si yo no hubiera hecho lo otro y ya si lo ves tiempo después, o sea, yo sí veo mi relación de hace 10 años, digo, no hubiera hecho esto, pero pues porque ahora soy la vero adulta de esta edad, sabes?","You know what? I think that the problem with exes sometimes is that you have this ideal, like what would have happened if I hadn't done this, if I hadn't done that, and then if you look at it years later, I mean, I do look at my relationship from 10 years ago and think, I shouldn't have done that, but that's because now I'm the adult Vero of this age, you know?"
"Pero si me vuelven a regresar a esa edad, volvería hacer lo mismo, entonces creo que es más una onda fantástica. ¿De yo hubiera reaccionado de esta forma, que es lo que realmente puede llegar a pasar, pero es que no, fíjate que tal cual como reincidencia y si no? No, pues ustedes saben que yo no tengo exces, pero pero si han visto, cuando fuimos a verdadasos con nicho y apenas lo volví a contar con las de sin la sin pelos en los labios este, yo tuve ahí una mala experiencia con muchachon y luego pasó que, o sea, ya me había hecho sentir mal.","But if they took me back to that age, I would do the same thing again, so I think it's more of a fantasy. Like I would have reacted this way, which is what really could happen, but you see, just like recidivism and if not? No, well you know I don't have exes, but if you've seen, when we went to verdadasos with niche and I just recounted it with the unfiltered ones, I had a bad experience with a big guy and then it happened that, I mean, he had already made me feel bad."
"Ya me había rechazado, ya me había hecho sentir el peor gusano del universo. Y luego sucedió que nos fuimos a los 15 años de la hermana de vero. Eran los 15 años de la hermana de vero del perro.","He had already rejected me, he had already made me feel like the worst worm in the universe. And then it happened that we went to Vero's sister's 15th birthday party. It was the 15th birthday of Vero's sister's dog."
"Eran los 15 años del. Perro, los 15 años del perro. Y este y en esa fiesta fue él y fue otro amigo y este chavo que me hizo sentir la peor porquería del mundo. Este estaba ahí y se puso borrachísimo, pero de verdad pedísimo, o sea, luego estaba ahogado y no sé si tú te acuerdas, pero el vato estaba cuando invitaron a un grupo a tocar.","It was the dog's 15th birthday, the dog's 15th birthday. And at that party, there he was, along with another friend and this guy who made me feel like the worst garbage in the world. He was there and got extremely drunk, really hammered, I mean, then he was overwhelmed and I don't know if you remember, but the guy was there when they invited a band to play."
"¿Y él ya estaba tan borracho que les gritaba, le estaba gritando a las cantantes del grupo y les decía, Bájense, perras y todo mundo, así como Güey, qué te pasa entonces este güey que ya estaba muy borracho? ¿Pues ya de repente este medio guapa de nuevo, al parecer no, entonces empezó ahí como de no y se me acercaba y me abrazaba y yo era como, pues yo no quería, sabes?","And he was so drunk that he was yelling at the band's singers, telling them, 'Get down, bitches' and everyone was like, 'Dude, what's wrong with you then this guy who was very drunk? Well, suddenly he seemed kind of cute again, apparently not, then he started approaching me and hugging me and I was like, well, I didn't want it, you know?"
"Pero también pasa esta cosa que dices. No quiero por mi dignidad, pero quiero demostrarme que si puedo, si no quiero por mi dignidad. Pero hay otra parte que es tu cuerpo, que es tu tu calocha que manda a veces sobre sobre la razón, no es que sabes.","But there's also this thing where you say, I don't want to for my dignity, but I want to prove to myself that I can, if I don't want to for my dignity. But there's another part that is your body, which sometimes rules over reason, you know."
"¿Qué la calocha es fuerte? O sea, a mí me echo estragos. Tomar decisiones. Muy erróneas, erróneas. ¿Entonces es esta esta parte de donde dices, sé que no tengo que hacerlo, pero qué hago con esta parte en donde?","What the libido is strong? I mean, it has wreaked havoc on me. Making very wrong, erroneous decisions. So this is the part where you say, I know I shouldn't do it, but what do I do with this part where?"
"¿Pues porque yo lo veía y dice, es que sí, me gusta mucho, sabes? Y está aquí queriendo volver cuerpo a mis brazos. No lamer mi axila. Lo más erótico y este.","Because I saw him and thought, yes, I really like him, you know? And here he is wanting to come back into my arms. Not to lick my armpit. The most erotic thing and this."
"Y pues nada, o sea, se me acercó y estaba ahí como sobres, sobres sobres yo al principio sí estaba muy incómoda, inclusive otro de nuestros amigos, este alfi se acercó y dijo, como de y haber ya güey. Ya me basta basta. ¿Y yo todavía le dije al fi así como de no, no, no todo bien, todo bien, sabes?","And well, nothing, I mean, he approached me and was there like okay, okay, okay, at first I was very uncomfortable, even another one of our friends, Alfi, came over and said, like, enough already, dude. Enough is enough. And I still told Alfi like, no, no, no, it's all good, it's all good, you know?"
