Original,gpt4
"Bueno, bienvenidos una vez más a cero miligramos, un espacio para hablar de salud mental. En este capítulo vamos a hablar de fobias y es uno de los temas que más me llamaba la atención hacer a mí, porque yo tengo metofobia, que fobia, vomitar y mucha gente me dijo que se dio cuenta que también la tenía cuando me escuchó a mí contarlo.","Well, welcome once again to Zero Milligrams, a space to talk about mental health. In this episode, we will discuss phobias, and it's one of the topics that I was most eager to explore because I have emetophobia, which is a fear of vomiting, and many people told me they realized they had it too when they heard me talk about it."
"Por eso creo que en este capítulo vamos a descubrir fobias que ni siquiera sabemos que existen y voy a estar acompañado por Diego. Topa. Conductor, Marisa Torre alday, coordinadora de fobia club Liliana.","That's why I believe in this episode we will discover phobias that we don't even know exist, and I will be joined by Diego Topa, host, Marisa Torre Alday, coordinator of Fobia Club, and Liliana, a psychiatrist, as well as Gustavo Bustamante, a psychologist specializing in phobias."
"Psiquiatra y también por Gustavo Bustamante, psicólogo especialista en fobias. ¿Bueno, cómo está Gustavo? Muy bien, muchas gracias. Bueno, malditación Gustavo es el Presidente de la fundación fobia club, quiero que sepas que yo mucha, mi mamá muchas veces me dijo Te voy a llevar a fobia club y no, no, no terminaba yendo, yo tengo tengo fobia también mucho tiempo tuve como AA viajar, pensaban que era el avión, pero no era el avión, era estar lejos de mi casa entonces y de grande.","Well, how are you Gustavo? Very well, thank you. Well, by the way, Gustavo is the President of the Fobia Club foundation. I want you to know that my mom often told me she would take me to Fobia Club and no, no, I never ended up going. I have had a phobia for a long time, like an irrational fear of traveling; people thought it was the airplane, but it wasn’t the airplane, it was being away from my home and now that I am older."
"Bueno, desarrollé una una fobia a vomitar. Hoy la la sigo padeciendo a niveles altísimos, así que me parecía justo, muy interesante hablar con vos. Siempre investigué mucho de fobia club y bueno, ahí tengo la oportunidad de tenerte ya acá te tenemos acá.","Well, I developed a phobia of vomiting. Today I still suffer from it at very high levels, so it seemed only fair and very interesting to talk to you. I have always researched a lot about Fobia Club and well, now I have the opportunity to have you here."
"Mira lo si la escuchaste a tu mamá. ¿Un poco más es cierto, gus? Quiero preguntarte. ¿Primero, qué es una fobia? Una fobia es un miedo, pero es un miedo irracional, desmedido, desproporcionado.","Look if you listened to your mom. A little more, is it true, Gus? I want to ask you. First, what is a phobia? A phobia is a fear, but it's an irrational, excessive, disproportionate fear."
"A veces la gente dice, tengo fobia a usar tales colores y después lo ves con ese color puesto. No puede ser una sensación de rechazo, de molestia, de incomodidad, de e inclusive hasta de asco, pero una fobia es mucho más.","Sometimes people say, I have a phobia of wearing certain colors and then you see them wearing that color. It can't just be a feeling of rejection, annoyance, discomfort, or even disgust, but a phobia is much more."
"¿Por qué? Porque primero la persona tiene una reacción totalmente desmedida cada vez que se enfrenta a ese objeto OA ese animal OA esa situación, por ejemplo, pensemos subir un ascensor. Y a partir de ahí desarrolla conductas que son de evitación, dice.","Why? Because first, the person has a completely excessive reaction every time they face that object or that animal or that situation, for example, think about taking an elevator. And from there, they develop avoidance behaviors, he says."
"Bueno, yo no voy a ir por el ascensor, voy por la escalera o yo no quiero ir a un lugar donde hay perros, mejor me quedo en casa, evito esa reunión y empieza un factor cognitivo que es estar anticipándose siempre.","Well, I'm not going to take the elevator, I'll go by the stairs, or I don't want to go to a place where there are dogs, better I stay at home, avoid that meeting, and then starts a cognitive factor which is always anticipating."
La ansiedad está hacia el futuro y la fobia es un trastorno de ansiedad. Entonces siempre está pensando cómo evitar el riesgo de contacto justo con ese objeto o situación. ¿Y se sabe como bosque hace cuántos años que está con folio club?,"Anxiety is about the future and a phobia is an anxiety disorder. So, it's always thinking about how to avoid the risk of contact with that object or situation. And do you know how long Gustavo has been with Fobia Club?"
"27 años. O sea, ha visto todo tipo de fobias, me imagino muchas, muchísimas. ¿Has visto gente con con fobia del vómito como tengo? Yo tengo pacientes. Ah, mira al día de hoy lo que me interesa. Esto tengo pacientes tengo, pero lo lo interesante es que hay profesionales, hay colegas.","27 years. That is, he has seen all kinds of phobias, I imagine many, many. Have you seen people with a fear of vomiting like I have? I have patients. Oh, look up to today what interests me. I have patients, but the interesting thing is that there are professionals, there are colleagues."
