Original,gpt4
"¿Ya coco cómo está señor de bonita ya va a comenzar su comedia favorita, usted que busca risas estando hoy en casita se me subió el muerto, es la opción que usted necesita? Hágale a la flaquita que grabé estos conjuros que acomode en el audio, no quiere un programa.","Are you ready for your favorite comedy to start, beautiful lady? If you're looking for laughs while at home today, this is what you need. I recorded these spells and adjusted them in the audio for you, don’t miss this show."
"Good morning, My diver señora bonita who we sheat home welcome señora bonita, welcome señor bonito welcome to this program that brings you the joy unit that brings the happiness y required the Joe. Or look in for this of Lost so machine at Jonathan House. Orena ware you are doing your things, hierro. Happy so happy and so contentas you card is yourself señor bonita as you carteras Yourself señor bonita because we old we old look better with is my londface of course yes happy another contentas de care you Mister venido asistente you Mister bonita because we old we old look better with is my longe of course without so welcome to this programmer down payment the man that lock BAT Smith and Face of course do so welcome to this program well day down pay the mant that this is to me.","Good morning, my dear lady and gentleman at home. Welcome to this program that brings joy and the happiness you need. Looking for a dose of laughter at Jonathan's house or wherever you are doing your things, right? So happy and pleased you could join us, Mr. and Mrs. Beautiful, because we all look better with my long face, of course. Welcome to this program where we welcome the man, the myth, the legend - BAT Smith."
"Wow, yo no sabía que Iván era británico. Yo yo siempre he hablado. ¿Así contigo, sí, sí, sabes qué se nota de la Visa? Sí, no, no, güey. Sí estuvo impresionante güey 2 días en Harmon Hall y.","Wow, I didn't know Iván was British. I've always talked to you like this, right? Yes, you can tell from the Visa? No way. Yes, it was amazing, dude. Two days at Harmon Hall."
Desde. Que me dieron la Visa como que me se me arregló tantito el momento. Nada más era cosa de pronunciación. Mayito. Como de cómo pronunciar la I la EY así. La isla y la con eso ya tienes.,"Ever since I got the Visa, it kind of fixed the moment for me. It was just a matter of pronunciation. Like how to pronounce 'I' and 'EY' like that. 'La isla' ('The island') and with that, you've got it."
"O sea, ya tienes eso, ya tienes esto del idioma en tu vida, ya ven. Pero para los que no entendieron bienvenidos, ajá. Este para los que no hablan inglés, que son la gran mayoría de mexicanos que no tienen. Visa, Mister bonito y señora Bonita. Dije, Bienvenidos.","So, you’ve got that, you've got this language thing in your life, see? But for those who didn’t quite get it, welcome. This is for those who don't speak English, which includes the majority of Mexicans who don't have a Visa. Mr. Beautiful and Mrs. Beautiful, I said, welcome."
Obviamente esto no fue hecho con un audio sobrepuesto de alguien que lo hizo con inteligencia artificial. ¿Cómo y te limpieza natural? Como este todo el audio macho perfectamente con mi gesticulación.,"Obviously, this was not done with an overlay of artificial intelligence audio. How natural and clean, right? Like, the audio matched my gestures perfectly."
"Así que eso no fue hecho por Juan caballero y lo subió al Grupo de Facebook. Esto no fue. Así va a aparecer, doblaje de documental Güey. Estábamos todos muy aterrados de lo que podría. Pasar se. Quede callado para que siguiera el audio y un yo así. Pero bienvenidos bienvenidas a este bonito programa que se llama CM up el DEAD.","So that was not done by Juan Caballero and uploaded to the Facebook group. This was not how it will appear, like a documentary dubbing, dude. We were all very scared of what could happen. I stayed quiet so the audio would continue, but welcome to this nice program called 'CM up the DEAD.'"
"Claro que sí, nada. No, nada. O sea, es que esto se está haciendo para atrapar público anglosajón. Ajá. Exactamente entonces. Sí, próximamente en. Anglas Ojania. Sería justo, ajá, sí, sí.","Of course, it's nothing, no. I mean, this is being done to attract an Anglo-Saxon audience. Exactly, so coming soon in... 'Anglas Ojania'. That would be right, yes."
"Claro que nos da mucha gente de allá de Angusania. Eh, porque. Nosotros no mensajes de cuándo vienen anglosajonia. Fíjate que no. Nada más, nada de Colima. Ah, pues ahí a la Vueltita haz de cuenta. Cerquita de Colima, ahí.","Of course, we get a lot of people from Angusania. Eh, because. We don't get messages from Anglosonia. You see, it's just not happening. Only from Colima. Oh, just around the corner, you might say. Close to Colima, right there."
"Está anglosajón, bien. Pero este de todos modos, mientras llegan los mensajes de Anglasomania este recuerden que tenemos ya varias fechas, ya se está llenando la segunda de Tijuana y la y ahí va, ahí va empezando la segunda de San Luis.","Anglo-Saxon, right. But anyway, while we're waiting for messages from Anglasomania, remember that we already have several dates, and the second one in Tijuana is filling up, and there it goes, starting the second one in San Luis."
"Monterrey ya prácticamente está llena también, eh, agua. Faltaban como 80 boletos, no como 60 boletos, perdón, donde faltan como 80 boletos es en Querétaro también para que ya se llene, así que sígale dando y Ciudad de México es la que les digo que como que va como muy lenta. ¿Pues ve más o menos, pues llevábamos como 60, 70% no?","Monterrey is almost fully booked too, huh. There were about 80 tickets left, not 60, sorry. Actually, there are about 80 tickets left in Querétaro to be sold out too, so keep pushing. And Mexico City is the one I tell you that is moving very slowly. So, you see, we were around 60, 70% sold, right?"
"Pues sí, faltan 2 meses tranquilamente. ¿Pero pues es que qué tal si? No, también tú controla, tío, sí, Güey, valora. Acuérdate cuando no llenamos lugares de talento, personas, güey. A. Lo mejor te voy a pasar. O sea, probablemente pues, pero valoro ahorita a la gente que ya compró su boleto. Güey, pero sigan comprando sus boletos también recuerden que ya sacamos las fechas de la baja sur, sí, porque ustedes se enojan, sí decimos Baja California sí enteró, entonces este bajan al sur, están los 2 cabos y.","Yes, there are still 2 months left, no rush. But what if? No, you take control, uncle, yes, dude, appreciate it. Remember when we didn't fill venues with talent, people, dude. I might pass this on to you. I mean, probably, but right now I value the people who have already bought their ticket. Dude, but keep buying your tickets, also remember we've already announced the dates for the southern part of Baja, yes, because you get upset if we say just Baja California, so this time we're going down south, to the two Capes."
"La Paz, La Paz y ya. También ya salió Saltillo, Torreón, Durango. Y creo que ya. ¿Me da mucha risa, como en los cabos dice San José del Cabo y los cabos, San Lucas y los cabos, no? Pero.","La Paz, La Paz, and that’s it. Saltillo, Torreón, Durango have also been announced. And I think that's it. It's really funny how in the Capes it says San José del Cabo and the Capes, San Lucas and the Capes, right? But it’s San José del Cabo and Cabo San Lucas."
"Es San José del Cabo y Cabo San Cabo San. Exactamente. Vamos ya a los 2 por si un por. Si por si usted es huevón y no quiere manejarme. Yo insisto, o sea, espero gente de los cabos, de los 2 cabos que me calle en la boca, yo digo que estamos exagerando en abrir uno en cada lugar.","It's San José del Cabo and Cabo San Lucas. Exactly. Let's go to both just in case. If you're lazy and don't want to drive, I insist, I mean, I hope people from both Capes prove me wrong, I say we're overdoing it by opening one in each place."
"Yo espero que no. Eso sí está padre. O sea, me encanta esa idea, pues pero. Yo siendo que nos estamos mamando es como si dijera Vamos a. Estar en la Roma y en La Condesa. Ah. Pues ya lo hizo un tour delegacional, güey, sí, güey. Sí, es cierto, se llenó todas llenas.","I hope not. That would be great. I mean, I love that idea, but I feel like we're overreaching as if we were saying let's be in both Roma and La Condesa neighborhoods. Oh. It’s like a district tour, dude, yes, dude. Yes, it's true, they all sold out."
"¿Porque qué hueva viajar a otra colonia? Sí, bueno. ¿Le dijo Yohana al Álvaro Obregón, está bien lejos, güey, qué bueno que vino aquí, Ay, cómo crees? Entonces ahí ahí estaremos próximamente este y pues. Nada. Cómo están ver, digo, aquí andamos, mira otro.","Why is it such a drag to travel to another neighborhood? Yes, well. Did Yohana say to Álvaro Obregón, 'It's really far, dude, how great that you came here, oh, can you believe it?' So, we will be there soon and, well, nothing. How are you doing, I mean, here we are, look at another."
"Día. Dándole. ¿Venimos de un fin de semana de relajación, no? Sí cada quien tuvo cada quien. Estuvimos conectados con Dios. Porque. ¿Ajá? Claro, sí, sí, sí, sí que es de. Crucifixión, Sábado de Gloria y domingo de resurrección.","Day. Keeping at it. Did we come from a relaxing weekend, right? Yes, each one had their own experience. We were connected with God. Because? Uh-huh? Yes, yes, it's about Good Friday, Holy Saturday, and Easter Sunday."
"Yo lo pasé dedicándolo a el cuidado del alma y jalármela un poquito. Me clavé un güey llamado Jesús, dice. Comiendo pescado porque no se puede comer carne esos días. No, no. ¿Los puede comer carne? ¿Híjole, y tampoco se puede coger, no?","I spent it caring for the soul and taking it easy. I got hooked on a dude named Jesus, he says. Eating fish because you can't eat meat on those days. No, no. Can you eat meat? Oh boy, and you can't have sex, right?"
