Original,gpt4
"Antes de empezar, queremos contarles que tenemos una nueva publicación en nuestra editorial. Se trata el cuento caperucita al mar de la escritora Ximena Escobar. En esta historia, la famosa Caperucita Roja se cansa del mismo cuento de siempre y se vuela a buscar aventuras en otros libros.","Before we start, we want to tell you that we have a new publication in our publishing house. It's the story 'Little Red Riding Hood at Sea' by writer Ximena Escobar. In this story, the famous Little Red Riding Hood gets tired of the same old tale and flies off to seek adventures in other books."
"Si quieren disfrutar esta historia con los chinches de la casa, revisen nuestro Instagram para que pillen esa belleza y escríbanos para toda la información. Todo el. Mundo dice.","If you want to enjoy this story with the little ones at home, check our Instagram to catch this beauty and write to us for all the information. Everyone says."
"Esto es relatos ñeros, un podcast alisoso que cuenta historias del barrio. Los techos. Pues pilla manito.","This is 'Ñeros Tales,' a slick podcast that tells neighborhood stories. The roofs. Well, check it out, buddy."
"Esta historia comienza ya hace 1 año. Como para estas fechas, resulta que nosotros en mi combo somos 8, pero siempre los reales somos 5, que son el chompas, el dientón, el gomelo, el pirulo y yo caliche. Nosotros somos los que coleccionamos gorra, vieja guardia, nos portamos los techos, hija, somos los más creídos de los conjuntos.","This story begins a year ago. Around this time, it turns out that in my crew we are 8, but the real ones are always 5, who are Chompas, Dientón, Gomelo, Pirulo, and me, Caliche. We are the ones who collect caps, old guard, we carry the roofs, girl, we are the most believed of the groups."
"Nosotros 5 siempre hemos sido muy visajosos con nuestros techos por todo el 20 de Julio. El dientón siempre lleva una gorra de Linux algo caleto, un león azul re hermoso que Salta en el aire como cazando el chompas. Tenía una 3 colores del Dallas, un equipo de fútbol americano que tiene una estrella azul reazarosa.","We 5 have always been very meticulous with our caps throughout the 20th of July. Dientón always wears a kind of secretive Linux cap, a beautifully blue lion that leaps through the air as if hunting Chompas. He had a three-color one from the Dallas Cowboys, an American football team that has a very flashy blue star."
"El Gómez lo usaba una sencilla de los indians, nada nuevo, blanco con rojo. El pirulo llevaba un grafo de los riders algo caletísimo, era un blanco con negro y yo vivía. Era orgulloso de una firma, también de los raiders, un equipo requerido por la gente esa.","Gómez wore a simple one from the Indians, nothing new, white with red. Pirulo wore a Riders cap, something very secretive, it was black and white and I was proud. It was signed, also by the Raiders, a team required by those people."
"Y la de los hornets era la que más me tramaban. Un día el pirulo me pidió uno de mis techos prestado. No le vi el problema y se la presté una de las más amadas, la que tenía el logo de los hornets con una abeja rebotando en un balón de básquet re hermosa.","And the Hornets one was the one that intrigued me the most. One day Pirulo asked me to lend him one of my caps. I saw no problem and lent him one of my most beloved ones, the one with the Hornets logo with a bee bouncing on a basketball, really beautiful."
"Esa gorra era 1000 de 1000. ¿Es que las gorras son un tema serio en estos lares? Pillé que muchas veces se hacen intercambios por los grupos de Facebook, se venden, se compran o se cambian. Aunque de vez en cuando uno pilla alguna pintica con una gorra rechimba y pues se le decía.","That cap was 1000 out of 1000. Aren't caps a serious matter around here? I noticed that often there are exchanges through Facebook groups, they are sold, bought, or traded. Although occasionally one catches a glimpse of someone with an amazing cap and then it was said."
"Uy, soy yo sin palabras, era gorra, ñerito sin palabras yo. Y yo me mandaba a quitárselas a lo mal hecho. Y varias veces también me tiraban a quitarme la mía, pero sin dañar a nadie. Porque últimamente han cogido la de matar a los socios por una gorra y pues no aguanta así.","Wow, I'm speechless, it was cap, little buddy without words I was. And I used to try to take them off the bad way. And several times they also tried to take mine, but without harming anyone. Because lately, they've taken to killing buddies over a cap and that's just not right."
"No es por eso está resonando la frase, más trueques, menos muertes. Es que el trueque tiene su magia, pille, uno va caminando los portales o en la calle y uno le dice al man qué le ofrece por la gorra que lleva puesta y así.","It's not for that reason the phrase is resonating, more trades, less deaths. It's that trading has its magic, you see, you're walking through the portals or on the street and you tell the guy what he offers for the cap he's wearing and so on."
"Se negocia y se hace el intercambio, pero no faltan los pirobos que salen con raras, sobre todo los de soacha, los de usme y los de ciudad Bolívar como los de este cuento.","We negotiate and make the exchange, but there are always some fools who come up with strange things, especially those from Soacha, Usme, and Ciudad Bolívar like in this story."
"Resulta que el pirulo se fue para ciudad Bolívar y este a verse con una falda y pasó que entre cuatro chinos le quitaron ese techo. El que más me gustaba y el huevón llega en la noche. Ahí al parque donde estábamos todo el combo llega y me mira, yo lo vi con la cara de sarao de que no sabía qué hacer.","It turns out Pirulo went to Ciudad Bolívar to meet up with a girl, and what happened was that four guys took that cap from him. The one I liked the most and the fool comes back at night. There at the park where the whole crew was, he arrives and looks at me, I saw him with a face that didn't know what to do."
"Calicheñero, me robaron el techo. Todos los de combo preguntamos cómo fue la vuelta. Resulta que el pirulo se fue reconfiado a verse con la nena, ella se llamaba Nicole y el pirulo lo había conocido en un validadero en la décima. Ya llevaban meses dándose piquitos y viéndose por ahí.","Calicheñero, they stole the cap. Everyone in the crew asked how it happened. It turns out Pirulo went too confidently to meet the girl, her name was Nicole, and Pirulo had met her at a validadero on Tenth. They had been giving each other pecks and seeing each other for months."
"La cosa es que Nicole lo cito en un callejón en molinos y ahí fue donde le salieron los cuatro manes con cuchillos. Bájese del techo, gonorrea. Y paila lo pusieron a perder delante de la China y con gorra prestada cuando el Pirulo nos acaba de contar, ya todos sabíamos lo que había que hacer en estos casos.","The thing is, Nicole set him up in an alley in Molinos, and that was where the four guys with knives showed up. 'Get off the cap, gonorrhea.' And just like that, they made him lose it in front of the girl and with a borrowed cap when Pirulo had just told us, we all knew what had to be done in these cases."
"Al otro día nos armamos hasta los dientes. Caí en la estación del Country, Saltamos por las puertas laterales y nos colamos el Gomel Ohh. Sí pagó el pasaje. Mira loca, ya damos una mochila llena de latas y además llevamos al rocky, el pitbull del Chompas, una bola de pelos y músculos con cara de morder las patas al diablo.","The next day we armed ourselves to the teeth. I ended up at the Country station, we jumped through the side doors and snuck in, and Gomel Ohh. Yes, he paid the fare. Look, crazy, we already carry a backpack full of cans and also brought Rocky, Chompas' pitbull, a ball of hair and muscles with a face to bite the devil's legs off."
"Todos nos fuimos con nuestras mejores perchas, nos veíamos era re ratas, todos con chompos, clásicos de equipos gringos, pantalones anchos, tenis nike como siempre y la gorra igual al equipo de la chaqueta, apenas para meter miedo. Yo iba relajado, como todos, bueno, menos el gomelo, él era diferente, se vestía apretado con converse y pues si usaba gorras, clasiquitas pero sencillas, esa pinta era de casa, digo manzano, pero tenía delirios de ñero.","We all went with our best gear, we looked like real rats, all in classic American team jerseys, wide pants, Nike sneakers as always and the cap matching the team jacket, just to instill fear. I was relaxed, like everyone, well, except Gomelo, he was different, he dressed tight with converse and well, if he wore caps, classic but simple ones, that look was from home, I mean apple, but he had delusions of being a gangster."
"Y la verdad es que el Gomel no nos gastaba la gurbia y por eso le dejábamos juntar con nosotros. Entonces llegamos a ciudad Bolívar, no sabíamos por dónde empezar a buscar a los manes de la gorra y el pirulo nos llevó donde lo cogieron. Era un callejón re feo, ñero con un olor a mierda y pues nosotros íbamos como a las","And the truth is that Gomel didn't waste our time and that's why we let him hang out with us. So we arrived in Ciudad Bolívar, we didn't know where to start looking for the guys with the cap and Pirulo took us to where they caught him. It was a really ugly alley, gangster with a smell of shit and well, we went at"
de la tarde y nos quedamos hasta la, in the afternoon and stayed until the
de la mañana., in the morning.
"Mientras tanto planeamos comíamos a recuperar la gorra, qué pilas con dejarse dañar que tocaba hablar duro para ganar de malandros y Claro, también nos burlamos del pirulo. Ese pirulo sí es que es mucha hueva, no tanto visaje y ni siquiera con un besito con la Nicole. Nada, Pérez, Pirulo, también muchas adios, Óscar.","Meanwhile, we planned how to get the cap back, be careful not to get damaged, we had to talk tough to beat the thugs and of course, we also made fun of Pirulo. That Pirulo is really a fool, all that bravado and not even a peck with Nicole. Nothing, Pérez, Pirulo, also many goodbyes, Óscar."
Pasaron las horas y nada de nada. Solo pasaban los trombos y nos tocó irnos porque llevamos cargados y no queremos dilemas con las locas. Esa noche ya me había dado por perdedor. Lástima mi techo. Pero el otro día algo me lo me llamó y me dijo que habían publicado mi gorra.,"Hours passed and nothing at all. Only the thugs were around, and we had to leave because we were loaded and didn't want any drama with the crazies. That night I had already considered myself a loser. Too bad about my cap. But the next day something called me, and they told me that they had posted my cap."
"La publicaron para cambios en los grupos de Facebook, yo le dije algo, me lo que les escribiera que la compraba para hacer el trato. Ofrecimos 800000 pesos por esa gorra. Qué hacíamos el negocio en el parque Gustavo Restrepo esta tarde a las 6 no le dieron dilema y así quedamos entonces cumplíitos, llegamos el combo completo al Gustavo con rocky, todo para meter más terror.","They posted it for trades in Facebook groups, and I told them to write that I would buy it to make the deal. We offered 800,000 pesos for that cap. We would do the deal in Gustavo Restrepo park that afternoon at 6, no hassle, and so we agreed. On time, the whole crew arrived at Gustavo with Rocky, all to instill more terror."
"Habían unos carros de enseñanza parqueados alrededor del parque y gente por ahí sacando los perros. Dejamos solo al gomelo ahí, esperando el resto de la banda, nos escondimos en las esquinas cercanas con el rock bien amarrado de la correa. Ese perro ya estaba gruñendo y echando babasa como si supiera la pelea que se avecinaba.","There were some teaching cars parked around the park and people out walking their dogs. We left only Gomelo there, waiting for the rest of the gang, and we hid in nearby corners with Rocky tightly leashed. That dog was already growling and drooling as if it knew the fight that was coming."
Como a las,Around
"llegan los pelados, esta vez eran 5, todos con una carita de que mataban y comían del muerto, pero luego nos dijo que eran los mismos que le habían quitado mi gorra desde lejos, es que yo pillo mi gorra en una Bolsa blanca y además ya en otras 2 gorras puestas.","the kids arrived, this time there were 5, all with a look that they would kill and eat the dead, but then we were told that they were the same ones who had taken my cap from afar, I spotted my cap in a white bag and also in another 2 caps they were wearing."
"Uno, la 3 colores de Notre Dame y el otro lleva 11000 logo llegaron a ser la tranza y lo primero que hicimos PA caer de sorpresa fue soltar al rocky. Pero qué va, ese perro marica se puso fue a jugar y habléle el culo a un fresco. Entonces salimos todos con nuestros corotos a rodearlos, cuando los manes también también pelaron sus cuchillos.","One, the Notre Dame three-colors and the other had the 11000 logo they came to make the transaction and the first thing we did to surprise them was to release Rocky. But what a letdown, that sissy dog just went to play and sniff some guy's butt. Then we all came out with our stuff to surround them, when the guys also pulled out their knives."
"El gomelo se asustó y salió corriendo. Gomel omarica se cagó, el dientón gritó y sacó el pantalón, un cuchillo de cocina oxidado, el Pirulo sacó una cuatro huecos, el chompas un cuchillo chiquito pero afilado y yo saqué mi machete. Me enrollé la chaqueta en la mano derecha y en la otra tenía mi machete bien amenazante.","Gomelo got scared and ran away. Gomelo, what a wuss, Dientón yelled and pulled out his pants, a rusty kitchen knife, Pirulo pulled out a four-hole punch, Chompas a small but sharp knife and I pulled out my machete. I wrapped my jacket around my right hand and in the other, I held my machete menacingly."
"A todos nos tocó de a uno menos al pirulo, que se atendía con 2 al tiempo. ¿Que esos fueron los piríos que me quitaron la gorra? Gorras mía, mi manito ya lo sabe, no perdedor de gorra, mi papá sabe que parece reduro por sus corotos. ¿Los manes alegaron que no, que eso era de ellos qué va?","We each took on one except Pirulo, who was handling two at a time. Those were the punks who took my cap? My caps, my buddy knows it, no loser of caps, my dad knows it looks tough for his stuff. The guys argued that no, it was theirs, what nonsense?"
"No alcanzaron a decir nada y se les fue mandando el chompas y el dientón el piruluyo. No nos quedamos atrás, eso fue una cosa de locos. 2 de esos manes tenían unas navajas, todas bellas, y cuando vieron mi machete salieron corriendo, solo veíamos como 2 de esos pirobos se paraban re duro contra nosotros cuatro con ese güiro.","They didn't get to say anything and Chompas and Dientón charged at them. We didn't hold back, it was crazy. Two of those guys had some beautiful knives, and when they saw my machete they ran off, we just saw how two of those punks stood really tough against us four with that vibe."
"Los carros de enseñanza se esfumaron y la gente comenzó a correr para alejarse de la gresca. Cuando es que el pirulo grita y yo lo volteo a ver y ya estaba tirado en el piso tocándose la pierna, el chompas y yo cogimos contra una esquina al que tenía mi gorra y se la quitamos. Los manes se dieron cuenta que no nos íbamos a dejar, que nos hacíamos matar por ese techo.","The teaching cars vanished and people started running to get away from the fray. Just when Pirulo yells and I turn to see him and he was already on the ground clutching his leg, Chompas and I cornered the one who had my cap and we took it from him. The guys realized we weren't going to back down, that we would die for that cap."
"El chompa se quedó fue frenteando a los manes, el resto fuimos a mirar al pirulo para saber que le había pasado porque gritaba tanto. Finalmente los 2 manes salieron volados por una calle, el chompa los espantó a Pirulo, solo lo habían punteado. Es que ese pirulo es muy exagerado.","Chompa just stood facing the guys, the rest of us went to check on Pirulo to find out what had happened to him because he was screaming so much. Finally, the two guys flew off down a street, Chompa scared them off; they had just nicked Pirulo. That Pirulo is such an exaggerator."
