English,Spanish,eng_sadness,eng_joy,eng_love,eng_anger,eng_fear,eng_surprise,spa_sadness,spa_joy,spa_love,spa_anger,spa_fear,spa_surprise
"It’s 2009 Alyssa Elliot is sitting at her desk at work, absolutely drowning in anxiety. The mortgage company has been calling and calling the debts and bills are piling up. And this isn’t like Alyssa, who has always done everything by the book. But that doesn’t matter to the debt collectors, the courts, even the people she’s confiding in, someone has to be held responsible. Even if that person only had the best intentions.","Es 2009, Alyssa Elliot está sentada en su escritorio en el trabajo, absolutamente ahogada en ansiedad. La compañía hipotecaria ha estado llamando y llamando porque las deudas y las facturas se están acumulando. Y esto no es propio de Alyssa, que siempre ha hecho todo según las reglas. Pero eso no les importa a los cobradores de deudas, a los tribunales, ni siquiera a las personas en las que ella confía: alguien tiene que ser considerado responsable. Incluso si esa persona sólo tuviera las mejores intenciones.",0.028961649164557457,0.015932628884911537,0.0012280939845368266,0.9189438223838806,0.03435536473989487,0.0005784063250757754,0.03471529111266136,0.5873664021492004,0.006106197368353605,0.2948804497718811,0.07389087229967117,0.003040795214474201
"You say things like I couldn’t have foreseen that this would happen, but like I really couldn’t. At the time I was in my early 20s I was young. I didn’t think that this would be what happens to me.","Dices cosas como si no hubiera podido prever que esto sucedería, pero realmente no podía. Cuando tenía poco más de 20 años, era joven. No pensé que esto sería lo que me pasaría.",0.04849903658032417,0.6553826928138733,0.0027184681966900826,0.13441796600818634,0.15582697093486786,0.003154878271743655,0.03315434232354164,0.4664529263973236,0.013686728663742542,0.4593484699726105,0.023905234411358833,0.0034523755311965942
"This is Last Day, a show about the moments that change us. I’m your host Stephanie Wittels Wachs. Today, the story of a decision that became $100,000 mistake, and how to make peace with that once you’re finally able to come up for air.","Este es Last Day, un programa sobre los momentos que nos cambian. Soy su anfitriona Stephanie Wittels Wachs. Hoy, la historia de una decisión que se convirtió en un error de 100.000 dólares y cómo hacer las paces con eso una vez que finalmente puedas salir a tomar aire.",0.0022835698910057545,0.9953091740608215,0.0005165452603250742,0.001166670466773212,0.0003977004671469331,0.0003262671234551817,0.031101394444704056,0.7522935271263123,0.005179629661142826,0.18160077929496765,0.027118166908621788,0.002706339582800865
"Alyssa grew up in Boise, Idaho with her mom, dad and sister and for all of you non Midwesterners,","Alyssa creció en Boise, Idaho con su mamá, su papá y su hermana y para todos ustedes que no son del Medio Oeste,",0.12608006596565247,0.3318864107131958,0.009107202291488647,0.41600605845451355,0.11234906315803528,0.004571201279759407,0.04008243978023529,0.5531361699104309,0.069975346326828,0.3047281801700592,0.02909865416586399,0.0029791686683893204
That is with an S not a Z biggest pet peeve.,"Eso es con una S, no con una Z, lo que más le molesta.",0.016061685979366302,0.5699758529663086,0.005678382236510515,0.37922486662864685,0.027053937315940857,0.0020052646286785603,0.027137896046042442,0.38504961133003235,0.013898822478950024,0.5306395888328552,0.03892339766025543,0.004350630100816488
"Alyssa is childhood in Boise with an S not a , Z, those were the good days, at least in hindsight.","Alyssa es la infancia en Boise con una S, no una Z, esos fueron los buenos días, al menos en retrospectiva.",0.001521140686236322,0.9960579872131348,0.0009085627971217036,0.0009807328460738063,0.0002933317155111581,0.00023815246822778136,0.013777151703834534,0.9465579986572266,0.010883714072406292,0.022776709869503975,0.005094229709357023,0.0009102142066694796
"I had like what I think, or what I thought looking back was really great like early childhood, my parents were pretty cool and pretty creative. And my mom was one of those moms that everybody was jealous of and really loved. And that was like the coolest mom, she would, you know, bring treats to school and be really involved with like activities and crafts and fun stuff like that. And she was part of my girl scouts and you know, just the stuff that moms do when they’re really involved with their kids and it was off.","Me gustaba lo que pienso, o lo que pensaba mirando hacia atrás, que era realmente genial, como en la primera infancia, mis padres eran muy geniales y creativos. Y mi mamá era una de esas mamás de las que todo el mundo estaba celoso y realmente amaba. Y esa era como la mamá más genial, ella, ya sabes, traía golosinas a la escuela y se involucraba mucho en actividades similares, manualidades y cosas divertidas como esas. Y ella era parte de mis Girl Scouts y ya sabes, las cosas que hacen las mamás cuando están realmente involucradas con sus hijos y todo estaba mal.",0.003343354444950819,0.8871102929115295,0.0059645348228514194,0.10079753398895264,0.0015545063652098179,0.0012298393994569778,0.022951316088438034,0.7779390215873718,0.018625525757670403,0.13141697645187378,0.04541435465216637,0.0036528732161968946
She was like an early Pinterest mom before.,Antes era como una de las primeras mamás de Pinterest.,0.01622210443019867,0.4843905568122864,0.004225662909448147,0.4637889266014099,0.02603635936975479,0.005336407106369734,0.02036246657371521,0.4426133930683136,0.008558394387364388,0.4938441812992096,0.03089435026049614,0.003727236995473504
"I think she would have been a front runner in the contest click yeah, for sure. But yeah, like one year for my birthday, she forgot my presents. And we would always go camping for my birthday. And she panicked. We were camping two and a half hours from home in the mountains in north central Idaho. So she went to the gift shop at the little campground. And she found all these little tchotchkes and little Bitsy things, and she scavenged her way through the campground and begged of these random strangers to hide some of these presents admits their belongings. So I get to roam around the campground with these little clues. And then every different campsite I came to had a different tiny present that my mom had thought of and I was so excited by the action and the process of the thing that I didn’t even realize these are like ridiculous and stupid presents, like not things that I would have normally expected for a birthday. But it was like the magic of the thing that she had thought to conceive of in this weird circumstance was the best was so great. So that was kind of my mom in a nutshell was awesome.","Creo que ella habría sido una de las favoritas en el concurso, sí, seguro. Pero sí, como un año antes de mi cumpleaños, se olvidó de mis regalos. Y siempre íbamos a acampar para mi cumpleaños. Y ella entró en pánico. Estábamos acampando a dos horas y media de casa en las montañas del centro norte de Idaho. Entonces fue a la tienda de regalos del pequeño campamento. Y encontró todas estas pequeñas chucherías y pequeñas cosas de Bitsy, y se abrió camino por el campamento y les rogó a estos extraños al azar que escondieran algunos de estos regalos, admitiendo sus pertenencias. Entonces puedo deambular por el campamento con estas pequeñas pistas. Y luego, cada campamento al que vine tenía un pequeño regalo diferente que mi mamá había pensado y estaba tan emocionado por la acción y el proceso que ni siquiera me di cuenta de que eran regalos ridículos y estúpidos, como no cosas que normalmente hubiera esperado para un cumpleaños. Pero era como si la magia de lo que había pensado concebir en esta extraña circunstancia fuera lo mejor, fuera tan grandioso. Así que, en pocas palabras, mi mamá fue increíble.",0.0010022420901805162,0.0013250146294012666,0.0001445321540813893,0.003938012290745974,0.9903159737586975,0.0032742784824222326,0.03359469771385193,0.6813841462135315,0.010632092133164406,0.21023941040039062,0.05938408523797989,0.004765568301081657
"In many ways, Alissa’s childhood in Idaho was awesome, but it wasn’t carefree. Alyssa is the eldest daughter, and she’s a straight laced as they come. She was the kind of kid who only broke the rules when she wanted to read under the covers at night with a flashlight. And those are the kinds of kids who tend to catch on when the adults around them are having big, scary conversations. As a kid, did you talk about money? Did you talk about finances? Did you have any awareness of that?","En muchos sentidos, la infancia de Alissa en Idaho fue increíble, pero no sin preocupaciones. Alyssa es la hija mayor y es muy estricta. Ella era el tipo de niña que solo rompía las reglas cuando quería leer debajo de las sábanas por la noche con una linterna. Y ese es el tipo de niños que tienden a darse cuenta cuando los adultos que los rodean tienen conversaciones importantes y aterradoras. Cuando era niño, ¿hablaba de dinero? ¿Hablaste de finanzas? ¿Tenías alguna conciencia de eso?",0.916368305683136,0.02319653145968914,0.0009302417165599763,0.056216467171907425,0.0026917073410004377,0.0005967225297354162,0.02634045109152794,0.5922892689704895,0.010296758264303207,0.3115125000476837,0.056310929358005524,0.0032501250971108675
