Idiom,Meaning,eng_sadness,eng_joy,eng_love,eng_anger,eng_fear,eng_surprise,spa_sadness,spa_joy,spa_love,spa_anger,spa_fear,spa_surprise
"A buen hambre, no hay pan duro.",Beggars can’t be choosers.,0.011603211052715778,0.0027364923153072596,0.0006320009706541896,0.9802888631820679,0.004451478831470013,0.0002879003877751529,0.02151404693722725,0.119736447930336,0.005086071323603392,0.8364975452423096,0.015410264022648335,0.0017556678503751755
estar como unasopa,to be soaked to the bone,0.1195157989859581,0.0315239280462265,0.025591671466827393,0.7706677913665771,0.046732254326343536,0.005968526471406221,0.03588537499308586,0.668664276599884,0.01341210212558508,0.22583608329296112,0.04986250028014183,0.006339685525745153
estar como un fideo,to be thin as a rail,0.09010487794876099,0.009539997205138206,0.002396851545199752,0.869478702545166,0.027009403333067894,0.0014701362233608961,0.01302040833979845,0.8938177227973938,0.006893654353916645,0.0629868432879448,0.020649531856179237,0.0026318379677832127
estar como un queso,to be hot (sexually attractive),0.001020567724481225,0.0036438722163438797,0.9896140694618225,0.0018169283866882324,0.0016172747127711773,0.0022873315028846264,0.030938124284148216,0.6396287083625793,0.014983630739152431,0.24822835624217987,0.059439416974782944,0.006781742908060551
no importar un pepino,to not care at all,0.07432889938354492,0.2716335654258728,0.03717926889657974,0.6046938300132751,0.010450044646859169,0.0017143352888524532,0.03922121599316597,0.2891121804714203,0.012358478270471096,0.6336585283279419,0.02096225507557392,0.00468738516792655
ponerse como un tomate,to blush,0.008516299538314342,0.007360830437391996,0.13491961359977722,0.7505795955657959,0.08526665717363358,0.01335711870342493,0.07100668549537659,0.39004671573638916,0.016271796077489853,0.39340734481811523,0.1185472384095192,0.010720258578658104
ser del año de la pera,to be out of fashion,0.03927094489336014,0.37591513991355896,0.003974104765802622,0.5519872307777405,0.026217970997095108,0.0026345981750637293,0.028856651857495308,0.38944774866104126,0.008542383089661598,0.5339342951774597,0.0354645736515522,0.003754307981580496
ser pan comido,to be a piece of cake,0.0154505530372262,0.1154896467924118,0.01224851980805397,0.8434549570083618,0.01069431658834219,0.0026620079297572374,0.027993356809020042,0.47554996609687805,0.010780378244817257,0.45518654584884644,0.02618648298084736,0.004303290508687496
acostarse con las gallinas,to go to sleep early,0.06140654534101486,0.04063361510634422,0.0018765736604109406,0.1258137971162796,0.7677632570266724,0.002506185555830598,0.034983888268470764,0.5409857630729675,0.02643783949315548,0.31104281544685364,0.0769754946231842,0.00957417394965887
"A perro flaco, todo son pulgas.",When it rains it pours.,0.0690944567322731,0.049472931772470474,0.005400327034294605,0.8265482783317566,0.04706307128071785,0.0024209795519709587,0.01836683601140976,0.6197523474693298,0.01341175101697445,0.321582168340683,0.023366523906588554,0.003520298982039094
