Original,gpt4,eng_sadness,eng_joy,eng_love,eng_anger,eng_fear,eng_surprise,spa_sadness,spa_joy,spa_love,spa_anger,spa_fear,spa_surprise
"1. Hi everybody, it's your old pal Sarah. Over the past few months, there's been a lot of press, a lot of gowns, a lot of things. And I was in a gown.","1. Hola a todos, soy vuestra vieja amiga Sarah. Durante los últimos meses, ha habido mucha prensa, muchos vestidos, muchas cosas. Y yo llevaba un vestido.",0.0070623611100018024,0.07220347970724106,0.001579419244080782,0.9040683507919312,0.013819269835948944,0.0012671294389292598,0.01032167673110962,0.9094036817550659,0.006628019269555807,0.06064723804593086,0.011390735395252705,0.0016085489187389612
"2. So ridiculous. And I had to wear Spanx under it, not for shapewear reasons.","2. Tan ridículo. Y tuve que llevar Spanx debajo, no por razones de modelado corporal.",0.06127197667956352,0.00622536102309823,0.0010151773458346725,0.7705395221710205,0.1571434587240219,0.0038044583052396774,0.026078883558511734,0.12194136530160904,0.002987853018566966,0.818770170211792,0.028718799352645874,0.0015028947964310646
"3. Not that there's anything wrong with that. But I had to because of my thyroid, because it was a tight dress.","3. No es que haya algo malo en eso. Pero tenía que hacerlo por mi tiroides, porque era un vestido ajustado.",0.045624908059835434,0.00727843027561903,0.01457059383392334,0.23133356869220734,0.6992579102516174,0.0019345585023984313,0.039703670889139175,0.44321683049201965,0.024510681629180908,0.4515605568885803,0.037559155374765396,0.003449098439887166
4. And when I can't wear a tight skirt without shorts or something because I get thigh rub and it's real.,4. Y cuando no puedo llevar una falda ajustada sin pantalones cortos o algo así porque me rozan los muslos y es real.,0.003145647933706641,0.9886688590049744,0.0015636300668120384,0.003375418484210968,0.0028944043442606926,0.00035203839070163667,0.026501918211579323,0.7796341180801392,0.011362929828464985,0.15089258551597595,0.02886563166975975,0.0027428322937339544
"5. It burns like fire. So I was wearing these Spanx, and then I had to pee.",5. Arde como fuego. Así que llevaba estos Spanx y luego tuve que orinar.,0.09795201569795609,0.0076639349572360516,0.001075246254913509,0.1431455761194229,0.7482721209526062,0.0018910306971520185,0.032896462827920914,0.6179701089859009,0.020734384655952454,0.25910454988479614,0.06541670113801956,0.0038777345325797796
"6. There's a slit in the Spanx that you pull up through a hole, right. And I just thought it would be interesting to mention,","6. Hay una abertura en los Spanx que subes por un agujero, verdad. Y pensé que sería interesante mencionarlo,",0.000949544133618474,0.9807824492454529,0.0006333608762361109,0.0009705458651296794,0.0010082937078550458,0.0156558807939291,0.050964485853910446,0.2153506577014923,0.013070515356957912,0.6531840562820435,0.06396973878145218,0.003460471285507083
"7. because when you're doing it, so I'm like basically holding a gown in my arms.","7. porque cuando lo estás haciendo, es como si básicamente sostuviera un vestido en mis brazos.",0.009461604058742523,0.6003071069717407,0.005515124648809433,0.2800378203392029,0.1018366888165474,0.0028416053391993046,0.02411992847919464,0.7923012971878052,0.007732120342552662,0.12791533768177032,0.04481123387813568,0.0031200856901705265
"8. And now I kind of have to move it to one arm, hold everything. And then open up this whole envelope thing at my crotch.","8. Y ahora tengo que moverlo a un brazo, sostener todo. Y luego abrir esta especie de sobre en mi entrepierna.",0.0028871591202914715,0.005573977250605822,0.0007481799111701548,0.9671750664710999,0.02292766235768795,0.0006879157735966146,0.021911393851041794,0.7155414819717407,0.010562271811068058,0.22739562392234802,0.021493272855877876,0.003096058266237378
9. And then I have to have a conversation with myself. Because it feels like you're peeing with pants on.,9. Y luego tengo que tener una conversación conmigo misma. Porque se siente como si estuvieras orinando con pantalones puestos.,0.023761918768286705,0.2949467897415161,0.008269406855106354,0.06665567308664322,0.602626621723175,0.003739656414836645,0.0389181450009346,0.5888993740081787,0.01484371442347765,0.30250394344329834,0.051640115678310394,0.003194727934896946
"10. And your body's like, ""no"". And I'm like, ""no, trust me"". And my body's like, ""no, there are pants on"".","10. Y tu cuerpo dice ""no"". Y yo digo, ""no, confía en mí"". Y mi cuerpo dice, ""no, hay pantalones puestos"".",0.017350856214761734,0.6871960163116455,0.008047622628509998,0.25185710191726685,0.034448154270648956,0.0011002866085618734,0.022877898067235947,0.41834378242492676,0.012473720125854015,0.5218556523323059,0.0216057188808918,0.0028432088438421488
