,Idiom,Meaning,Idiom_POS,Meaning_POS,Idiom_NEU,Meaning_NEU,Idiom_NEG,Meaning_NEG,id_highest_sent,mean_highest_sent
0,"A buen hambre, no hay pan duro.",Beggars can’t be choosers.,0.1730657219886779,0.0059450403787195,0.2744192481040954,0.8892431855201721,0.5525150299072266,0.1048118025064468,NEG,NEU
1,estar como unasopa,to be soaked to the bone,0.0861872732639312,0.0065240766853094,0.2548904716968536,0.8217435479164124,0.6589221954345703,0.1717323958873748,NEG,NEU
2,estar como un fideo,to be thin as a rail,0.0443839095532894,0.0198417231440544,0.6653274297714233,0.1275024712085724,0.2902886271476745,0.852655827999115,NEU,NEG
3,estar como un queso,to be hot (sexually attractive),0.0326885506510734,0.919609308242798,0.739185094833374,0.0024608843959867,0.2281262874603271,0.0779298618435859,NEU,POS
5,ponerse como un tomate,to blush,0.0322957821190357,0.0911935716867446,0.8186661005020142,0.0316313207149505,0.1490381509065628,0.8771750926971436,NEU,NEG
9,"A perro flaco, todo son pulgas.",When it rains it pours.,0.0182006694376468,0.034025028347969,0.8874836564064026,0.0334258042275905,0.094315730035305,0.9325491786003112,NEU,NEG
13,¿Se te ha comido la lengua elgato?,Cat got your tongue?,0.015174482949078,0.0307995993643999,0.8081604838371277,0.0212435834109783,0.1766650378704071,0.9479568004608154,NEU,NEG
17,no pegar ojo,to not sleep a wink,0.0330217033624649,0.0226994846016168,0.8385066986083984,0.4739364981651306,0.1284716874361038,0.5033639669418335,NEU,NEG
19,no tener pelos en la lengua,to be outspoken,0.0477915033698082,0.0559089072048664,0.6575862169265747,0.0131865991279482,0.2946222722530365,0.9309045672416688,NEU,NEG
20,quemarse las pestañas,to burn the midnight oil,0.0422097593545913,0.0197306089103221,0.5455098152160645,0.0264591611921787,0.4122803807258606,0.953810214996338,NEU,NEG
24,"Al mal tiempo, buena cara.","When life gives you lemons, make lemonade.",0.3847370445728302,0.5367363691329956,0.1447616070508957,0.0075574605725705,0.4705013334751129,0.4557061493396759,NEG,POS
25,buscarle tres pies al gato,to make something more complicated than necessary,0.0718827620148658,0.0030066354665905,0.0774255096912384,0.9450487494468688,0.8506917357444763,0.0519446395337581,NEG,NEU
26,Camarón que se duerme se lo lleva la corriente.,Pay attention or the opportunities will pass you by.,0.0323975943028926,0.4470131695270538,0.8145911693572998,0.0226864777505397,0.1530112624168396,0.5303003787994385,NEU,NEG
30,Las palabras se las lleva el viento.,Actions speak louder than words.,0.0286123752593994,0.9293867945671082,0.799595296382904,0.0026446855627,0.1717923134565353,0.0679684728384018,NEU,POS
32,meterse en camisa de once varas,to be out of your depth,0.0612689964473247,0.0057689659297466,0.2385070770978927,0.8143938183784485,0.7002238631248474,0.1798371821641922,NEG,NEU
33,Un clavo saca a otro clavo.,A new person will make you forget the old one.,0.1093585416674614,0.8911556601524353,0.3950957953929901,0.0033114645630121,0.4955456554889679,0.1055328547954559,NEG,POS
34,"Zapatero, a tus zapatos.",Focus on doing what you’re good at.,0.0887616947293281,0.9267244935035706,0.5721309781074524,0.0023081814870238,0.3391073644161224,0.0709674432873725,NEU,POS
37,Dios los cría y ellos se juntan.,Birds of a feather flock together.,0.2728125751018524,0.7036100029945374,0.1174160093069076,0.0041079423390328,0.6097713708877563,0.2922820746898651,NEG,POS
39,echar agua al mar,to do something pointless,0.2268953472375869,0.0035549723543226,0.1517087370157241,0.936790943145752,0.6213958859443665,0.059654165059328,NEG,NEU
40,echarle leña al fuego,to make matters worse,0.1112967580556869,0.0033118333667516,0.1761351525783538,0.9567365646362304,0.7125681042671204,0.0399515852332115,NEG,NEU
41,faltarle un tornillo,to have a screw loose,0.0639451220631599,0.0060130041092634,0.2468929588794708,0.8714620471000671,0.6891619563102722,0.1225249320268631,NEG,NEU
42,irse por las ramas,to beat around the bush,0.0391687750816345,0.0125588485971093,0.5261991024017334,0.3301226794719696,0.4346321523189544,0.6573184728622437,NEU,NEG
45,estar como unas castañuelas,to be happy as a clam,0.0983568057417869,0.956216037273407,0.345353215932846,0.0017729527316987,0.5562899708747864,0.0420109182596206,NEG,POS
52,quedarse de piedra,to be shocked,0.0925999954342842,0.0283320639282464,0.4953723847866058,0.4190141856670379,0.4120275676250458,0.5526537299156189,NEU,NEG
54,dar en el clavo,to hit the nail on the head,0.2051491439342498,0.6373690366744995,0.4055928289890289,0.0139628238976001,0.3892579972743988,0.3486680686473846,NEU,POS
56,meter la pata,to mess up,0.0834883600473404,0.0049014659598469,0.4378254413604736,0.928828239440918,0.4786862134933471,0.0662703812122345,NEG,NEU
60,Take his word for it,Hay que darle el beneficio de la duda,0.421051949262619,0.0275789871811866,0.162851333618164,0.0078625921159982,0.4160967171192169,0.9645583629608154,POS,NEG
71,The best of both worlds,"Es como el perro del hortelano, que ni come ni deja comer",0.8126770257949829,0.0245837233960628,0.0438446477055549,0.0073283766396343,0.1434783488512039,0.9680878520011902,POS,NEG
72,The best thing since sliced bread,Creerse la última Coca cola del desierto,0.8363735675811768,0.0710250586271286,0.0325491055846214,0.0039479252882301,0.1310772895812988,0.9250269532203674,POS,NEG
77,The Lord works in mysterious ways,Dios aprieta pero no ahoga,0.7564349174499512,0.0118064554408192,0.0471247173845768,0.0344490967690944,0.1964404135942459,0.9537444710731506,POS,NEG
78,The more the merrier,"Donde comen dos, comen tres",0.1597463190555572,0.0431832298636436,0.4242829978466034,0.0079560736194252,0.4159706532955169,0.9488607048988342,NEU,NEG
79,The person is a bad apple,Cuando no está preso lo andan buscando,0.0352012068033218,0.0117217218503355,0.8117765188217163,0.0202267915010452,0.1530222743749618,0.968051552772522,NEU,NEG
82,The quickest way to a man’s heart is through his stomach,El amor entra por la cocina,0.3299241065979004,0.0366646908223629,0.3733659088611603,0.0053178188391029,0.2967099845409393,0.9580174684524536,NEU,NEG
83,The road to hell is paved with good intentions,El infierno está lleno de buenas intenciones,0.6287815570831299,0.0201905742287635,0.1060099154710769,0.0087724290788173,0.2652085125446319,0.971036970615387,POS,NEG
85,The straw that broke the camel’s back,La gota que colmó la copa,0.0935907512903213,0.0240237638354301,0.5765793323516846,0.0071706012822687,0.3298299312591553,0.9688056111335754,NEU,NEG
86,The war’s not over yet,Una batalla no gana una guerra,0.0987151563167572,0.0144357625395059,0.6071894764900208,0.0481083393096923,0.2940953969955444,0.9374558329582214,NEU,NEG
90,There’s no accounting for tastes,Hay gustos que merecen palos,0.054182730615139,0.0261923186480999,0.5063420534133911,0.0148083232343196,0.4394752085208893,0.9589993357658386,NEU,NEG
91,There’s no accounting for tastes,Sobre los gustos no hay nada escrito,0.054182730615139,0.0116524342447519,0.5063420534133911,0.0737596899271011,0.4394752085208893,0.9145878553390504,NEU,NEG
92,There’s no place like home,Seguro es el pájaro en el nido,0.4266807734966278,0.0239163283258676,0.1860156208276748,0.0082470308989286,0.3873035907745361,0.967836618423462,POS,NEG
