Original,gpt4,gpt4_NEU,gpt4_NEG,gpt4_POS,Original_NEU,Original_NEG,Original_POS
"1. Hi everybody, it's your old pal Sarah. Over the past few months, there's been a lot of press, a lot of gowns, a lot of things. And I was in a gown.","1. Hola a todos, soy vuestra vieja amiga Sarah. Durante los últimos meses, ha habido mucha prensa, muchos vestidos, muchas cosas. Y yo llevaba un vestido.",0.03280620649456978,0.6747748851776123,0.2924189269542694,0.018466051667928696,0.9565719366073608,0.024961987510323524
"2. So ridiculous. And I had to wear Spanx under it, not for shapewear reasons.","2. Tan ridículo. Y tuve que llevar Spanx debajo, no por razones de modelado corporal.",0.9338345527648926,0.06278322637081146,0.003382151946425438,0.9718264937400818,0.025568176060914993,0.002605321118608117
"3. Not that there's anything wrong with that. But I had to because of my thyroid, because it was a tight dress.","3. No es que haya algo malo en eso. Pero tenía que hacerlo por mi tiroides, porque era un vestido ajustado.",0.07732223719358444,0.6797306537628174,0.2429470419883728,0.2554749846458435,0.7313149571418762,0.013210124336183071
4. And when I can't wear a tight skirt without shorts or something because I get thigh rub and it's real.,4. Y cuando no puedo llevar una falda ajustada sin pantalones cortos o algo así porque me rozan los muslos y es real.,0.8928312063217163,0.09999904781579971,0.007169824559241533,0.32270532846450806,0.6577612161636353,0.019533395767211914
"5. It burns like fire. So I was wearing these Spanx, and then I had to pee.",5. Arde como fuego. Así que llevaba estos Spanx y luego tuve que orinar.,0.781700074672699,0.2076849341392517,0.010615001432597637,0.5240183472633362,0.46567225456237793,0.010309400036931038
"6. There's a slit in the Spanx that you pull up through a hole, right. And I just thought it would be interesting to mention,","6. Hay una abertura en los Spanx que subes por un agujero, verdad. Y pensé que sería interesante mencionarlo,",0.0586620531976223,0.7567836046218872,0.184554323554039,0.0025191435124725103,0.4949081540107727,0.5025726556777954
"7. because when you're doing it, so I'm like basically holding a gown in my arms.","7. porque cuando lo estás haciendo, es como si básicamente sostuviera un vestido en mis brazos.",0.013738445937633514,0.22279468178749084,0.7634668946266174,0.23335757851600647,0.7483370304107666,0.018305394798517227
"8. And now I kind of have to move it to one arm, hold everything. And then open up this whole envelope thing at my crotch.","8. Y ahora tengo que moverlo a un brazo, sostener todo. Y luego abrir esta especie de sobre en mi entrepierna.",0.04568032920360565,0.8710123896598816,0.08330723643302917,0.13824160397052765,0.8457844853401184,0.01597393862903118
9. And then I have to have a conversation with myself. Because it feels like you're peeing with pants on.,9. Y luego tengo que tener una conversación conmigo misma. Porque se siente como si estuvieras orinando con pantalones puestos.,0.4675470292568207,0.4880334436893463,0.04441946744918823,0.826730489730835,0.16776041686534882,0.0055090817622840405
"10. And your body's like, ""no"". And I'm like, ""no, trust me"". And my body's like, ""no, there are pants on"".","10. Y tu cuerpo dice ""no"". Y yo digo, ""no, confía en mí"". Y mi cuerpo dice, ""no, hay pantalones puestos"".",0.14653733372688293,0.7471278309822083,0.10633483529090881,0.106766477227211,0.8623610138893127,0.030872507020831108
"11. And I go, ""no, just relax, trust me, there's an opening"". And I have to relax and coax my urine out.","11. Y digo, ""no, solo relájate, confía en mí, hay una apertura"". Y tengo que relajarme y convencer a mi orina de que salga.",0.013744291849434376,0.5687434673309326,0.4175122082233429,0.014375106431543827,0.7270509600639343,0.25857388973236084
12. That's a lot going on. I have a question to ask you about that.,12. Es mucho lo que está pasando. Tengo una pregunta para hacerte sobre eso.,0.42482247948646545,0.5450066328048706,0.03017093986272812,0.022662607952952385,0.9684089422225952,0.008928464725613594
"13. Okay, go on.","13. Vale, continúa.",0.05218806862831116,0.5953342914581299,0.3524776101112366,0.006809890270233154,0.8524589538574219,0.1407311111688614
"14. When you because I've never been able to do that. Like, I feel like it still gets everywhere. Did you manage a clean pee?","14. Cuando tú porque nunca he podido hacer eso. Como, siento que aún así se va por todas partes. ¿Conseguiste orinar limpiamente?",0.5676400065422058,0.4206230044364929,0.01173703745007515,0.2574397027492523,0.7286481857299805,0.013912144117057323
"15. Shockingly, I did because usually, my pee doesn't come from one specific place, but I know it comes out from at least three to four different places.","15. Sorprendentemente, sí porque generalmente, mi orina no viene de un lugar específico, pero sé que sale de al menos tres o cuatro lugares diferentes.",0.02998253144323826,0.8674558997154236,0.1025616005063057,0.3192107081413269,0.6047795414924622,0.07600978016853333
16. Because my fear with that is like it goes up and then you're just sitting with a wet crotch for the rest of the night.,16. Porque mi miedo con eso es que sube y luego estás sentada con la entrepierna mojada el resto de la noche.,0.9180563688278198,0.07779340445995331,0.004150204360485077,0.9300251007080078,0.06577035784721375,0.004204567521810532
"17. Yeah, like sometimes I pee in one solid stream. And sometimes it's like a sprinkler.","17. Sí, como a veces orino en un chorro sólido. Y a veces es como un aspersor.",0.15223808586597443,0.765430748462677,0.08233113586902618,0.10131028294563293,0.8761764764785767,0.02251329831779003
"18. It's literally like, am I watering grass in a nearby area? Totally. Like, yeah.","18. Es literalmente como, ¿estoy regando el césped de una zona cercana? Totalmente. Como, sí.",0.3408665657043457,0.6232799887657166,0.03585343435406685,0.006662284955382347,0.6472857594490051,0.346051961183548
"19. I mean, does that mean there's a blockage somewhere, like if your faucet goes in different directions?","19. Quiero decir, ¿eso significa que hay un bloqueo en algún lugar, como si tu grifo va en diferentes direcciones?",0.38330644369125366,0.6089252829551697,0.007768262177705765,0.23156973719596863,0.7589840292930603,0.009446240030229092
"20. Well, I'm sure there's a clinical reason, but it's probably because your labia are stuck together, and it's just deflecting the stream.","20. Bueno, estoy segura de que hay una razón clínica, pero probablemente es porque tus labios están pegados y simplemente desvía el chorro.",0.5540661215782166,0.42973992228507996,0.016193894669413567,0.8914841413497925,0.10503493249416351,0.0034809820353984833
"21. Oh my god, wait. So if I pull apart my vulva, my labia majora, that's the sound it makes. It should be a single stream.","21. Dios mío, espera. Entonces, si separo mi vulva, mis labios mayores, ese es el sonido que hace. Debería ser un chorro único.",0.04951481893658638,0.749454140663147,0.20103101432323456,0.24524158239364624,0.7232661247253418,0.03149237111210823
"22. But you know, if your lips are kind of sealed, I can picture the pee going straight to the back before spreading out.","22. Pero ya sabes, si tus labios están un poco sellados, puedo imaginar que la orina va directamente hacia atrás antes de expandirse.",0.03297502174973488,0.7256183624267578,0.24140664935112,0.1528525948524475,0.8289303779602051,0.018216989934444427
23. She's dying. We have fun here at the Sarah Silverman podcast.,23. Se muere de risa. Nos divertimos aquí en el podcast de Sarah Silverman.,0.004387984983623028,0.07132278382778168,0.9242892265319824,0.031769659370183945,0.2493141144514084,0.7189162373542786
"24. The moral is, it's so much easier to pee when you're a man. Period.",24. La moraleja es que es mucho más fácil orinar cuando eres hombre. Punto.,0.266203373670578,0.5289860963821411,0.20481052994728088,0.0337529294192791,0.8546722531318665,0.11157482117414474
"1. And you know, I remember years ago, I bought something online that allowed women to stand up and pee. It was like a cup that you put over your vulva, and then it comes out like a makeshift penis. You can stand and pee, and I used it. I remember I was at Jessica's friend's house, watching the season premiere of ""The Man Show"" or whatever. I don't know why I remember that. And I thought, oh, I'm going to use my standing pee device. And I did, and it worked. But it made me feel so weird. Like I was just by myself, you know, maybe I just looked a little.","1. Y sabes, recuerdo que hace años, compré algo en línea que permitía a las mujeres orinar de pie. Era como una copa que colocas sobre tu vulva, y entonces sale como un pene improvisado. Puedes ponerte de pie y orinar, y lo utilicé. Recuerdo que estaba en casa de un amigo de Jessica, viendo el estreno de temporada de ""The Man Show"" o algo así. No sé por qué lo recuerdo. Y pensé, voy a usar mi dispositivo para orinar de pie. Y lo hice, y funcionó. Pero me hizo sentir muy rara. Como que estaba sola, sabes, quizás sólo parecía un poco.",0.09315504133701324,0.7450291514396667,0.1618158370256424,0.007897133938968182,0.49750205874443054,0.4946008324623108
2. Is it like a funnel?,2. ¿Es como un embudo?,0.08397834002971649,0.8672358989715576,0.04878580942749977,0.013420994393527508,0.9689355492591858,0.0176433976739645
"3. It's basically like a funnel, it's a funnel. And you'd think, oh great. I'm going to have it in cars, going to have it for, you know, whatever, it's like if you go to a concert or something because guys don't realize that when you have to sit, and you're like, it's fun to go to a dingy dive bar until you're a woman and you have to pee. It's like a whole process.","3. Es básicamente como un embudo, es un embudo. Y pensarías, oh genial. Lo voy a tener en los coches, voy a tenerlo para, sabes, lo que sea, es como si fueras a un concierto o algo porque los chicos no se dan cuenta de que cuando tienes que sentarte, y estás como, es divertido ir a un bar de mala muerte hasta que eres mujer y tienes que orinar. Es todo un proceso.",0.37220698595046997,0.44138526916503906,0.1864076852798462,0.0910591185092926,0.6002636551856995,0.3086772561073303
4. I'm a two-seat cover kind of girl over here.,4. Soy una chica que usa doble cobertura para asientos por aquí.,0.028510740026831627,0.8950105309486389,0.07647870481014252,0.0030422965064644814,0.34761473536491394,0.649342954158783
"5. Needless to say, I think even the audience knows this.","5. No hace falta decir, creo que incluso el público lo sabe.",0.029179858043789864,0.5064986944198608,0.46432143449783325,0.01770324632525444,0.8603171110153198,0.12197966128587723
"6. Which is why, Chicago O'Hare Airport is the best place, so good to be.","6. Por lo cual, el aeropuerto O'Hare de Chicago es el mejor lugar, tan bueno para estar.",0.0037787521723657846,0.047908589243888855,0.9483126997947693,0.0018050596117973328,0.005051346495747566,0.9931436777114868
"7. That's the one where you press the button, and its a brand new, like, covered in a bag.","7. Ese es donde presionas el botón y es nuevo, como, cubierto en una bolsa.",0.035443056374788284,0.8016282916069031,0.16292867064476013,0.025439349934458733,0.8936449885368347,0.08091569691896439
8. Yes.,8. Sí.,0.13142098486423492,0.4106045067310333,0.4579744338989258,0.002543407492339611,0.1579355150461197,0.8395211100578308
9. Why don't they do that everywhere? Why is it every airport this way?,9. ¿Por qué no hacen eso en todas partes? ¿Por qué es cada aeropuerto de esta manera?,0.941952109336853,0.0552186481654644,0.0028292404022067785,0.8540594577789307,0.1428627073764801,0.0030778555665165186
10. But then I also know they say like seat seats are like the cleanest?,10. Pero entonces también sé que dicen que los asientos de los asientos son como los más limpios?,0.034058354794979095,0.863078236579895,0.10286341607570648,0.004180840216577053,0.8869932293891907,0.10882594436407089
"1. Yes, the seats I sit down on are immaculate, just like the one here.","1. Sí, los asientos en los que me siento están inmaculados, justo como este aquí.",0.3664793372154236,0.5784494876861572,0.05507117137312889,0.002504877047613263,0.3555973768234253,0.6418976783752441
"2. Yeah, that's never going to be me.","2. Sí, eso nunca va a ser para mí.",0.8479369282722473,0.13949093222618103,0.012572106905281544,0.940819501876831,0.0533803328871727,0.005800151731818914
"3. Yeah, I know. But buttocks aren't dirty.","3. Sí, lo sé. Pero las nalgas no están sucias.",0.2954179346561432,0.6152487993240356,0.08933325856924057,0.03167172893881798,0.7987310290336609,0.16959725320339203
"4. I know, but that's personal hygiene. I mean, we could probably argue that buttocks can be incredibly dirty, depending on someone's wiping technique.","4. Lo sé, pero eso es higiene personal. Quiero decir, probablemente podríamos argumentar que las nalgas pueden estar increíblemente sucias, dependiendo de la técnica de limpieza de alguien.",0.11216525733470917,0.8427556753158569,0.045079007744789124,0.7057616710662842,0.28630462288856506,0.007933726534247398
"5. Oh, God, yeah, if you soil your ass cheeks, you've got bigger problems. I'm guessing there's no way that smearing feces on your ass cheeks when you wipe is your only problem in life. Anyway, lets take some calls.","5. Oh, Dios, sí, si ensucias tus mejillas traseras, tienes problemas más grandes. Supongo que no hay manera de que el único problema en la vida sea mancharse con heces en las mejillas traseras al limpiarse. De todos modos, vamos a tomar algunas llamadas.",0.754889190196991,0.23068785667419434,0.014422953128814697,0.9647698402404785,0.03211244195699692,0.0031178288627415895
"6. Hi, Sarah, this is Kelly, and I wanted to ask you about long-term goals. I am a 44-year-old small business owner, and I want to know how you handle long-term goals. Because for me, they feel kind of moot since we're not in control of everything, so I look to the future. Like, by 64, I want to sell my business or retirethat's 20 years away. But then I think about all the things that can happen in 20 years, especially with how unstable everything is right now. So I struggle with setting these long-term goals. And I even struggle with the short-term goals to reach that long-term goal, if that makes any sense. I just wanted to get your opinion on that. And to see how you, as a business owner and media personality, handle this because you always have great advice. Thank you for your entertaining comedy and advice. It's something I look forward to every Thursday morning when I walk my dog, Biscuit. So, thank you, and I hope to hear from you soon.","6. Hola, Sarah, soy Kelly y quería preguntarte sobre metas a largo plazo. Soy propietaria de una pequeña empresa, tengo 44 años y quiero saber cómo manejas las metas a largo plazo. Porque para mí, parecen un poco inútiles ya que no controlamos todo, así que miro hacia el futuro. Como que a los 64, quiero vender mi negocio o jubilarme, eso es en 20 años. Pero luego pienso en todas las cosas que pueden suceder en 20 años, especialmente con lo inestable que está todo ahora. Así que lucho con establecer estas metas a largo plazo. E incluso me esfuerzo con las metas a corto plazo para alcanzar esa meta a largo plazo, si eso tiene sentido. Solo quería obtener tu opinión al respecto. Y ver cómo tú, como propietaria de un negocio y personalidad de los medios, manejas esto porque siempre tienes buenos consejos. Gracias por tu comedia entretenida y tus consejos. Es algo que espero con ansias cada jueves por la mañana cuando paseo a mi perro, Biscuit. Así que, gracias y espero oír de ti pronto.",0.24851131439208984,0.6524066925048828,0.09908200055360794,0.08613647520542145,0.8936073780059814,0.02025614120066166
"7. Hi Biscuit, are you going to walk? Hey, Biscuit. I just wanted to play that for Biscuit. I wouldn't say I'm without goals. But I always struggle with this because they never really think about what I want to do in the next five years or so. I've come to fully understand and accept that I've never been able to predict the future, and I never will be able to. So that helps me with my anxietyjust not trying to predict the future or worry too much about how it will unfold since we never know. We've never been able to know; you've never been able to predict anything in your life, and neither have I. But in terms of long-term goals, things that I've advised friends who have asked, I would say, make a plan like you have 20 more years in your business and then retire; you're making a long-term goal. Then you follow that plan until it no longer serves you. Its either going to see you through to fruition, and everything will go as planned, or more likely, other things will happenlife will happenthat will take you in a different direction, and you'll make a new plan. Goals are great, but of course, its the journey to those goalsthat's the substance of life, and you have to hopefully enjoy that. Because whether the goal is achieved or not, the journey should be your joy. Obviously, your joy isn't just about working or not; it's about being responsible for your own happiness, which includes taking care of yourself financially. So, it's a mix of all those things. You have a long-term goal and a plan to get there, and you follow that plan until it doesn't serve you anymore, and then you make a new one. I don't know what else to say. What other advice I can give, but it sounds like youre doing great. Not fulfilling a goal isnt necessarily a failure, and failure isnt necessarily bad. So, control what you can and be on the edge of your seat for the rest. Good luck, what else?","7. Hola Biscuit, ¿vas a pasear? Hola, Biscuit. Solo quería poner eso para Biscuit. No diría que no tengo metas. Pero siempre lucho con esto porque nunca realmente pienso en lo que quiero hacer en los próximos cinco años o así. He llegado a entender y aceptar completamente que nunca he podido predecir el futuro, y nunca podré hacerlo. Eso me ayuda con mi ansiedad, simplemente no intentando predecir el futuro o preocuparme demasiado por cómo se desarrollará ya que nunca sabemos. Nunca hemos podido saberlo; nunca has podido predecir nada en tu vida, y yo tampoco. Pero en términos de metas a largo plazo, cosas que he aconsejado a amigos que han preguntado, diría, haz un plan como que tienes 20 años más en tu negocio y luego te jubilas; estás estableciendo una meta a largo plazo. Luego sigues ese plan hasta que ya no te sirva. O bien te llevará a la realización y todo saldrá como planeaste, o más probablemente, sucederán otras cosas, la vida sucederá, que te llevarán en una dirección diferente y harás un nuevo plan. Las metas son geniales, pero por supuesto, es el viaje hacia esas metas, eso es la sustancia de la vida, y esperas poder disfrutar de eso. Porque si se logra la meta o no, el viaje debe ser tu alegría. Obviamente, tu alegría no se trata solo de trabajar o no; se trata de ser responsable de tu propia felicidad, lo que incluye cuidarte financieramente. Así que es una mezcla de todas esas cosas. Tienes una meta a largo plazo y un plan para llegar allí, y sigues ese plan hasta que ya no te sirva más, y luego haces uno nuevo. No sé qué más decir. Qué otro consejo puedo dar, pero parece que lo estás haciendo genial. No cumplir una meta no es necesariamente un fracaso, y fracasar no es necesariamente malo. Entonces, controla lo que puedas y mantente al borde de tu asiento para el resto. Buena suerte, ¿qué más?",0.7884609699249268,0.20279210805892944,0.008746897801756859,0.02048610895872116,0.782521665096283,0.1969922035932541
"8. Sarah, what would be your favorite deep cut of yours? Like when a fan recognizes you on the street and they say, oh my God, I loved you in what's the thing someone could say they saw and loved you in, or heard you in, or knew that you were involved with that would make you most excited about that interaction?","8. Sarah, ¿cuál sería tu trabajo menos conocido favorito? Como cuando un fan te reconoce en la calle y dice, ""Dios mío, me encantaste en cuál es esa cosa que alguien podría decir que vio y le encantó de ti, o te oyó en, o supo que estabas involucrada y que te emocionaría más de esa interacción?""",0.013610700145363808,0.200254425406456,0.7861348390579224,0.0013249906478449702,0.10821905732154846,0.890455961227417
"9. Well, it's, you know, funny, I like that I've done various jobs. The way people recognize me varies; some know me from Star Trek Voyager, others from Howard Stern, and some from Monk. Then there's the time I was at Canter's, and a waitress, well into her seventies, asked me if I was who she thought I was. She wondered if I was the one from the movie 'Marry Me.' I've also been recognized just for my stand-up comedy, where people think I'm really dirty or edgy. And then there's 'The Way of the Gun,' a movie where I appeared just in the first scene before the credits. My character was described as a raving bitch, but it was directed by Christopher McQuarrie. It was his first movie, and during the shooting, I was actually punched in the face three times; once by accident by Ryan Phillippe, even though we practiced the scene. It was an accident, and he felt awful, but it was cool. They may have used the take with the actual hit because you can hear the impact. But that's definitely a deep cut for sure.","9. Bueno, es, sabes, gracioso, me gusta haber hecho trabajos diversos. La manera en que la gente me reconoce varía; algunos me conocen de Star Trek Voyager, otros de Howard Stern, y algunos de Monk. Luego está esa vez que estuve en Canter's, y una mesera, ya mayor, me preguntó si yo era quien ella creía que era. Se preguntaba si yo era la del filme 'Marry Me.' También me han reconocido solo por mi comedia en vivo, donde la gente piensa que soy realmente osada o atrevida. Y luego está 'The Way of the Gun,' una película donde aparecí solo en la primera escena antes de los créditos. Mi personaje fue descrito como una loca furiosa, pero fue dirigida por Christopher McQuarrie. Fue su primera película, y durante el rodaje, Ryan Phillippe me golpeó accidentalmente en la cara tres veces; una vez por accidente aunque practicamos la escena. Fue un accidente y él se sintió fatal, pero estuvo bien. Puede que hayan usado la toma con el golpe real porque se puede oír el impacto. Pero eso es definitivamente un trabajo profundo por seguro.",0.007928519509732723,0.1473022699356079,0.8447691798210144,0.001905109267681837,0.0926145538687706,0.9054803252220154
"10. Hi, Sarah, my name is Emily. I am nine years old, and I really want to be an actor. My mom is unsure about it because she thinks child actors are spoiled brats. My question is, do you ever work with kids? And it's my mom, right?","10. Hola, Sarah, mi nombre es Emily. Tengo nueve años y realmente quiero ser actriz. Mi mamá no está segura de ello porque piensa que los niños actores son niños mimados. Mi pregunta es, ¿alguna vez trabajas con niños? Y tiene razón mi mamá, ¿verdad?",0.3185685873031616,0.6568560004234314,0.024575386196374893,0.306194007396698,0.6462709903717041,0.0475349985063076
"11. Oh, this is difficult. I don't know how to answer this, Emily, because I was like you at your age. I just wanted to be an actor, I wanted to do musicals, I wanted to do it all. And I was so mad at my mom. She only let me be in school plays, but you know what? I was in school plays, and it worked out great. I kept a meticulous diary. But like when I was 12 or 13, its not like it was the deepest stuff, but it was important to me. And there was a time, my mom wouldn't let me sign up for this child modeling or whatever agencyyou just pay a fee, and they're supposed to get your kids into modeling or whatever. And my mom thought it was nonsense and said no. I wrote in my diary because I knew someone would read it someday, and I wanted them to know how I felt. But I did school plays, and they were amazing. And there are so many things you can do at 9 or 10 or 11. You can do local plays, community theater, school plays. And I think your mom is probably right because childhood takes forever, it feels like. But there's a lot you can do nowread monologues in your room, make up stuff with your friends. And remember, you don't have to be earning a living at nine. And my opinion on child actors is not that they're spoiled brats. Theyre working long hours, it's not all fun and games, and not all kids are cut out for that. Some thrive and then hit a hard wall. As for your question, I do work with kids. I've worked with kids on a musical based on a 10-year-old version of me. The rejection these kids face can be tough, it affects them in different ways. Some kids thrive, like Jodie Foster or Ron Howard or Selena Gomez. But not all make it through well. To have a real childhood to base your acting career on is important, to have lived experiences that aren't just on a film set. It will be worth it, I promise. But I couldn't wait to be an adult and be an actor. Even then, you don't necessarily get to be an actor. I was lucky, I was a stand-up, and that worked for me. But there are New York kids, Broadway veterans, like Zoe Glick, who played me Off-Broadway. She was brilliant, like a tiny Meryl Streep. She wasn't naturally like a little me; she built the character from the inside out. She carried the show, and then she aged out. Now she'll get new roles, but that's the industry. You've already started, your mom is doing the right thing, and you'll understand it one day.","11. Oh, esto es difícil. No sé cómo responder a esto, Emily, porque yo era como tú a tu edad. Solo quería ser actriz, quería hacer musicales, quería hacerlo todo. Y estaba tan enfadada con mi madre. Solo me dejaba participar en obras escolares, pero ¿sabes qué? Participé en obras escolares, y resultó genial. Mantenía un diario meticuloso. Pero como a los 12 o 13 años, no es que fuera lo más profundo, pero era importante para mí. Hubo un tiempo, mi madre no me dejaba inscribirme en esa agencia de modelaje infantil o lo que fuera: pagabas una tarifa y se suponía que ayudarían a tus hijos a entrar en el modelaje o lo que sea. Y mi madre pensaba que era una tontería y dijo que no. Escribí en mi diario porque sabía que alguien lo leería algún día, y quería que supieran cómo me sentía. Pero hice obras escolares, y fueron increíbles. Y hay tantas cosas que puedes hacer a los 9 o 10 u 11 años. Puedes hacer obras locales, teatro comunitario, obras escolares. Y creo que tu madre probablemente tiene razón porque la infancia se siente eterna. Pero hay mucho que puedes hacer ahora: leer monólogos en tu habitación, inventar cosas con tus amigos. Y recuerda, no tienes que ganarte la vida a los nueve. Y mi opinión sobre los niños actores no es que sean niños mimados. Trabajan largas horas, no todo es diversión y juegos, y no todos los niños están hechos para eso. Algunos prosperan y luego se topan con un muro. En cuanto a tu pregunta, sí trabajo con niños. He trabajado con niños en un musical basado en una versión de mí a los 10 años. El rechazo al que se enfrentan estos niños puede ser duro, los afecta de diferentes maneras. Algunos niños prosperan, como Jodie Foster o Ron Howard o Selena Gomez. Pero no todos lo llevan bien. Tener una infancia real en la que basar tu carrera actoral es importante, tener experiencias de vida que no sean solo en un set de filmación. Valdrá la pena, lo prometo. Pero yo no podía esperar a ser adulta y ser actriz. Incluso entonces, no necesariamente llegas a ser actriz. Tuve suerte, era comediante y eso funcionó para mí. Pero hay niños de Nueva York, veteranos de Broadway, como Zoe Glick, que me interpretó en Off-Broadway. Fue brillante, como una pequeña Meryl Streep. No era naturalmente como una pequeña yo; construyó el personaje desde dentro hacia afuera. Llevó el espectáculo y luego creció demasiado para el papel. Ahora conseguirá nuevos roles, pero así es la industria. Ya has comenzado, tu madre está haciendo lo correcto, y lo entenderás algún día.",0.8547706604003906,0.1341153383255005,0.011114107444882393,0.3149782717227936,0.570519745349884,0.11450199782848358
"12. Hey, Sarah, your friend Mark here. Longtime fans love your comedy. We think it's getting better every year. Please don't ever stop.","12. Hola, Sarah, aquí tu amigo Mark. Los fanáticos de siempre aman tu comedia. Creemos que mejora cada año. Por favor, nunca dejes de hacerlo.",0.003818437224254012,0.04894108325242996,0.9472405314445496,0.0020895975176244974,0.005129645578563213,0.992780864238739
"13. Thanks, Mark.","13. Gracias, Mark.",0.02240423671901226,0.19357402622699738,0.78402179479599,0.0015247195260599256,0.09078968316316605,0.9076855778694153
"14. I just listened to your recent podcast where you had a call from a listener struggling with gas due to a surgery gone wrong 47 years ago. And yes, it's a tricky situation. But at the end of your segment on this, you said you're sure your listeners will be calling in and well, I'm one of them.","14. Acabo de escuchar tu reciente podcast donde tuviste una llamada de una oyente que lucha con gases debido a una cirugía que salió mal hace 47 años. Y sí, es una situación complicada. Pero al final de tu segmento sobre esto, dijiste que estás segura de que tus oyentes llamarían, y bueno, yo soy uno de ellos.",0.2521388828754425,0.6585368514060974,0.08932431787252426,0.04750218242406845,0.8849256038665771,0.067572221159935
"15. Oh, good.","15. Ah, qué bien.",0.011159847490489483,0.09187863022089005,0.8969614505767822,0.0015326438006013632,0.015560676343739033,0.9829067587852478
