English,Spanish,Spanish_NEU,Spanish_NEG,Spanish_POS,English_NEU,English_NEG,English_POS
"It’s 2009 Alyssa Elliot is sitting at her desk at work, absolutely drowning in anxiety. The mortgage company has been calling and calling the debts and bills are piling up. And this isn’t like Alyssa, who has always done everything by the book. But that doesn’t matter to the debt collectors, the courts, even the people she’s confiding in, someone has to be held responsible. Even if that person only had the best intentions.","Es 2009, Alyssa Elliot está sentada en su escritorio en el trabajo, absolutamente ahogada en ansiedad. La compañía hipotecaria ha estado llamando y llamando porque las deudas y las facturas se están acumulando. Y esto no es propio de Alyssa, que siempre ha hecho todo según las reglas. Pero eso no les importa a los cobradores de deudas, a los tribunales, ni siquiera a las personas en las que ella confía: alguien tiene que ser considerado responsable. Incluso si esa persona sólo tuviera las mejores intenciones.",0.950365782,0.045811929,0.00382226,0.767613411,0.226483688,0.005902887
"You say things like I couldn’t have foreseen that this would happen, but like I really couldn’t. At the time I was in my early 20s I was young. I didn’t think that this would be what happens to me.","Dices cosas como si no hubiera podido prever que esto sucedería, pero realmente no podía. Cuando tenía poco más de 20 años, era joven. No pensé que esto sería lo que me pasaría.",0.799058497,0.180481151,0.020460334,0.837934434,0.152790219,0.00927531
"This is Last Day, a show about the moments that change us. I’m your host Stephanie Wittels Wachs. Today, the story of a decision that became $100,000 mistake, and how to make peace with that once you’re finally able to come up for air.","Este es Last Day, un programa sobre los momentos que nos cambian. Soy su anfitriona Stephanie Wittels Wachs. Hoy, la historia de una decisión que se convirtió en un error de 100.000 dólares y cómo hacer las paces con eso una vez que finalmente puedas salir a tomar aire.",0.024352297,0.552672744,0.422974944,0.005895847,0.930141151,0.063963063
"Alyssa grew up in Boise, Idaho with her mom, dad and sister and for all of you non Midwesterners,","Alyssa creció en Boise, Idaho con su mamá, su papá y su hermana y para todos ustedes que no son del Medio Oeste,",0.027817095,0.615897417,0.356285512,0.003801415,0.940731466,0.055467069
That is with an S not a Z biggest pet peeve.,"Eso es con una S, no con una Z, lo que más le molesta.",0.744762957,0.236863896,0.018373104,0.946206629,0.049390186,0.004403212
"Alyssa is childhood in Boise with an S not a , Z, those were the good days, at least in hindsight.","Alyssa es la infancia en Boise con una S, no una Z, esos fueron los buenos días, al menos en retrospectiva.",0.01493881,0.441780984,0.543280244,0.011456461,0.659748971,0.328794599
"I had like what I think, or what I thought looking back was really great like early childhood, my parents were pretty cool and pretty creative. And my mom was one of those moms that everybody was jealous of and really loved. And that was like the coolest mom, she would, you know, bring treats to school and be really involved with like activities and crafts and fun stuff like that. And she was part of my girl scouts and you know, just the stuff that moms do when they’re really involved with their kids and it was off.","Me gustaba lo que pienso, o lo que pensaba mirando hacia atrás, que era realmente genial, como en la primera infancia, mis padres eran muy geniales y creativos. Y mi mamá era una de esas mamás de las que todo el mundo estaba celoso y realmente amaba. Y esa era como la mamá más genial, ella, ya sabes, traía golosinas a la escuela y se involucraba mucho en actividades similares, manualidades y cosas divertidas como esas. Y ella era parte de mis Girl Scouts y ya sabes, las cosas que hacen las mamás cuando están realmente involucradas con sus hijos y todo estaba mal.",0.010810849,0.103555568,0.885633588,0.002206464,0.035946745,0.961846888
She was like an early Pinterest mom before.,Antes era como una de las primeras mamás de Pinterest.,0.103099614,0.65782553,0.239074916,0.003617761,0.662091255,0.334291011
"I think she would have been a front runner in the contest click yeah, for sure. But yeah, like one year for my birthday, she forgot my presents. And we would always go camping for my birthday. And she panicked. We were camping two and a half hours from home in the mountains in north central Idaho. So she went to the gift shop at the little campground. And she found all these little tchotchkes and little Bitsy things, and she scavenged her way through the campground and begged of these random strangers to hide some of these presents admits their belongings. So I get to roam around the campground with these little clues. And then every different campsite I came to had a different tiny present that my mom had thought of and I was so excited by the action and the process of the thing that I didn’t even realize these are like ridiculous and stupid presents, like not things that I would have normally expected for a birthday. But it was like the magic of the thing that she had thought to conceive of in this weird circumstance was the best was so great. So that was kind of my mom in a nutshell was awesome.","Creo que ella habría sido una de las favoritas en el concurso, sí, seguro. Pero sí, como un año antes de mi cumpleaños, se olvidó de mis regalos. Y siempre íbamos a acampar para mi cumpleaños. Y ella entró en pánico. Estábamos acampando a dos horas y media de casa en las montañas del centro norte de Idaho. Entonces fue a la tienda de regalos del pequeño campamento. Y encontró todas estas pequeñas chucherías y pequeñas cosas de Bitsy, y se abrió camino por el campamento y les rogó a estos extraños al azar que escondieran algunos de estos regalos, admitiendo sus pertenencias. Entonces puedo deambular por el campamento con estas pequeñas pistas. Y luego, cada campamento al que vine tenía un pequeño regalo diferente que mi mamá había pensado y estaba tan emocionado por la acción y el proceso que ni siquiera me di cuenta de que eran regalos ridículos y estúpidos, como no cosas que normalmente hubiera esperado para un cumpleaños. Pero era como si la magia de lo que había pensado concebir en esta extraña circunstancia fuera lo mejor, fuera tan grandioso. Así que, en pocas palabras, mi mamá fue increíble.",0.176042989,0.761320114,0.06263686,0.158266008,0.797011197,0.044722825
"In many ways, Alissa’s childhood in Idaho was awesome, but it wasn’t carefree. Alyssa is the eldest daughter, and she’s a straight laced as they come. She was the kind of kid who only broke the rules when she wanted to read under the covers at night with a flashlight. And those are the kinds of kids who tend to catch on when the adults around them are having big, scary conversations. As a kid, did you talk about money? Did you talk about finances? Did you have any awareness of that?","En muchos sentidos, la infancia de Alissa en Idaho fue increíble, pero no sin preocupaciones. Alyssa es la hija mayor y es muy estricta. Ella era el tipo de niña que solo rompía las reglas cuando quería leer debajo de las sábanas por la noche con una linterna. Y ese es el tipo de niños que tienden a darse cuenta cuando los adultos que los rodean tienen conversaciones importantes y aterradoras. Cuando era niño, ¿hablaba de dinero? ¿Hablaste de finanzas? ¿Tenías alguna conciencia de eso?",0.03783115,0.623125911,0.339042932,0.03055785,0.592319548,0.37712267
