Idiom,Meaning,Idiom_NEU,Idiom_NEG,Idiom_POS,Meaning_NEU,Meaning_NEG,Meaning_POS
"A buen hambre, no hay pan duro.",Beggars can’t be choosers.,0.27441924810409546,0.5525150299072266,0.17306572198867798,0.8892431855201721,0.10481180250644684,0.005945040378719568
estar como unasopa,to be soaked to the bone,0.25489047169685364,0.6589221954345703,0.08618727326393127,0.8217435479164124,0.17173239588737488,0.00652407668530941
estar como un fideo,to be thin as a rail,0.6653274297714233,0.29028862714767456,0.04438390955328941,0.1275024712085724,0.852655827999115,0.019841723144054413
estar como un queso,to be hot (sexually attractive),0.739185094833374,0.22812628746032715,0.032688550651073456,0.0024608843959867954,0.07792986184358597,0.9196093082427979
no importar un pepino,to not care at all,0.6902990341186523,0.23799680173397064,0.07170417159795761,0.8842992782592773,0.10915004462003708,0.006550660822540522
ponerse como un tomate,to blush,0.8186661005020142,0.1490381509065628,0.03229578211903572,0.03163132071495056,0.8771750926971436,0.09119357168674469
ser del año de la pera,to be out of fashion,0.3744869530200958,0.46138837933540344,0.16412468254566193,0.23409472405910492,0.749316930770874,0.016588395461440086
ser pan comido,to be a piece of cake,0.1731913536787033,0.6770859956741333,0.14972269535064697,0.0841377004981041,0.8459405899047852,0.06992176920175552
acostarse con las gallinas,to go to sleep early,0.07538257539272308,0.5991523861885071,0.32546502351760864,0.011339258402585983,0.9540717601776123,0.03458905592560768
"A perro flaco, todo son pulgas.",When it rains it pours.,0.8874836564064026,0.09431573003530502,0.018200669437646866,0.03342580422759056,0.9325491786003113,0.034025028347969055
dar gato por liebre,to take for a ride,0.07004895061254501,0.8271795511245728,0.10277146100997925,0.0077328067272901535,0.946161150932312,0.0461060106754303
estar en la edad del pavo,to be at that difficult/awkward age,0.5860055088996887,0.39498284459114075,0.01901165582239628,0.699839174747467,0.2919193506240845,0.00824143085628748
La curiosidad mató al gato.,Don’t try to find out about something that doesn’t concern you.,0.6721847653388977,0.29539012908935547,0.032425038516521454,0.6740027070045471,0.31738659739494324,0.00861077755689621
¿Se te ha comido la lengua elgato?,Cat got your tongue?,0.8081604838371277,0.1766650378704071,0.015174482949078083,0.021243583410978317,0.9479568004608154,0.03079959936439991
costar un ojo de la cara,to cost an arm and a leg,0.6996815204620361,0.26281169056892395,0.037506744265556335,0.6708980798721313,0.32047703862190247,0.008624814450740814
estar hasta las narices,to be fed up,0.9007380604743958,0.07371146976947784,0.025550413876771927,0.9567332863807678,0.03933771699666977,0.003928908612579107
hablar hasta por los codos,to talk up a storm,0.3092765212059021,0.6483401656150818,0.0423833392560482,0.26590976119041443,0.7072638869285583,0.02682633511722088
no pegar ojo,to not sleep a wink,0.8385066986083984,0.12847168743610382,0.033021703362464905,0.4739364981651306,0.5033639669418335,0.02269948460161686
